Geneid	RNA STAR on KT001: mapped.bam
Zc3h14	1991
Troap	9
Clca2	0
1810013L24Rik	1088
Srsf7	2647
Fignl2	43
Sema6a	1105
Anapc15	259
Misp3	11
Nmb	110
Tcerg1	2290
Zfp712	187
Fam129c	145
Atp5g3	3141
Pifo	24
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	3713
Tlr3	248
Olfr1444	0
Olfr150	0
Ifi44	21
Trafd1	1869
Erfl	3
Krt80	5
Armc8	2120
Ppil4	1480
C530005A16Rik	93
Katnbl1	313
Gm21693	0
Spag9	8420
Gm5860	1
Taz	881
Gfpt1	1951
Abcc5	5480
Kcnmb4	484
Gm4013	9
Hpcal1	878
Tbc1d31	253
Tmem176b	537
Mir5110	0
Mir5108	0
Cyp3a13	24
Akap7	966
Ablim1	2913
Lcn5	0
Ulk1	2982
Cyp4b1	8
Golga3	2029
Mir1193	0
Wdyhv1	295
Traf1	29
Atoh1	0
Rxra	1017
Dapk3	1066
Mir7002	0
Mir6998	4
Ap3m2	3425
Sirt2	5538
Inhbc	0
Slit3	1697
Cts3	0
Olfr74	0
Dcakd	2563
Vps35l	1616
Cyhr1	4464
Taf10	905
Hagh	2064
Ogfod3	145
Syn1	29112
Glyatl3	0
Slx	0
Ccl27a	1545
Sqor	92
Fundc2	851
Rab5if	932
H1f5	5
Ankrd2	15
Pop4	691
Carnmt1	71
Iqcm	10
Clcc1	647
Magea2	0
Ilf3	2814
Tpd52l2	1314
Arhgap25	43
Banf1	1279
Tbc1d23	1023
4930473A02Rik	117
Pard3	865
Rorc	139
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2960
Pex5l	10020
Mtmr1	2105
Mtor	3002
Zfp758	450
Plekhh2	418
Adgrl3	3023
Golga5	754
Plekhb1	17295
Nufip1	402
Gm9866	379
Smap1	1347
Tepp	0
Acox2	12
Hars2	727
Gpa33	0
Sdhb	2974
Gmpr	1563
Krt90	9
Me1	1515
Klk11	13
Magt1	508
Mcam	665
Pbld1	2
Tab2	2833
Mettl27	147
Trmt1	2301
Vps37c	804
Sec23a	2987
Rara	1152
Med1	1382
Ap5b1	65
Bag5	1554
Pdcd2l	275
Ctcf	2395
Mnd1	3
Tktl1	3
Lix1	1321
Ctnnbl1	1078
Snph	19052
Raet1e	0
Ppm1m	446
Prkar1a	16236
Slc27a3	413
Impdh2	1038
Tiprl	1008
Uaca	247
Smim31	0
Calca	5
Mir6402	0
Phf3	3495
F930015N05Rik	12
9330020H09Rik	56
Gm13884	0
Gm7443	4
Ube2q2	1352
Rfx3	4182
Bri3	1058
Fbxo27	406
Eps15l1	2450
Tmprss15	1
Max	2176
Ttc8	742
Vti1b	2916
Cpsf3	1198
Nlgn1	2081
Casq2	18
Pidd1	53
Asb4	9
Orc4	1121
Mapkbp1	2237
Mospd1	259
Banf2	0
Dclk1	15419
Gpcpd1	2312
Sinhcaf	22
Acbd5	2596
Mir7073	0
Myo7a	771
4930548K13Rik	0
Luc7l2	7206
Dnah8	33
Evc	543
Shroom2	2459
1500009C09Rik	2148
Kmt2e	5362
Setd5	3343
Pcyox1	2541
Arpp21	4375
Iyd	122
Mir7077	1
Smim4	112
