Geneid	RNA STAR on KT002: mapped.bam
Zc3h14	2257
Troap	7
Clca2	0
1810013L24Rik	1272
Srsf7	2756
Fignl2	44
Sema6a	895
Anapc15	317
Misp3	17
Nmb	155
Tcerg1	2840
Zfp712	195
Fam129c	123
Atp5g3	3307
Pifo	21
Olfr1045	0
Olfr1049	0
Vsx1	2
Fyco1	4692
Tlr3	296
Olfr1444	0
Olfr150	0
Ifi44	11
Trafd1	2215
Erfl	0
Krt80	8
Armc8	2506
Ppil4	1668
C530005A16Rik	115
Katnbl1	416
Gm21693	0
Spag9	9344
Gm5860	0
Taz	1045
Gfpt1	2168
Abcc5	5922
Kcnmb4	748
Gm4013	7
Hpcal1	978
Tbc1d31	313
Tmem176b	597
Mir5110	0
Mir5108	0
Cyp3a13	50
Akap7	1255
Ablim1	4427
Lcn5	0
Ulk1	3649
Cyp4b1	3
Golga3	2098
Mir1193	1
Wdyhv1	294
Traf1	43
Atoh1	0
Rxra	982
Dapk3	1164
Mir7002	0
Mir6998	4
Ap3m2	4001
Sirt2	6560
Inhbc	2
Slit3	1824
Cts3	0
Olfr74	0
Dcakd	2882
Vps35l	1731
Cyhr1	4986
Taf10	934
Hagh	2510
Ogfod3	117
Syn1	37611
Glyatl3	0
Slx	0
Ccl27a	1772
Sqor	93
Fundc2	884
Rab5if	1158
H1f5	0
Ankrd2	27
Pop4	762
Carnmt1	77
Iqcm	12
Clcc1	669
Magea2	0
Ilf3	3108
Tpd52l2	1613
Arhgap25	151
Banf1	1511
Tbc1d23	1151
4930473A02Rik	166
Pard3	1131
Rorc	119
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	3373
Pex5l	8243
Mtmr1	2314
Mtor	3754
Zfp758	424
Plekhh2	505
Adgrl3	3128
Golga5	894
Plekhb1	19337
Nufip1	490
Gm9866	442
Smap1	1685
Tepp	2
Acox2	2
Hars2	958
Gpa33	0
Sdhb	3303
Gmpr	1941
Krt90	6
Me1	1663
Klk11	22
Magt1	464
Mcam	583
Pbld1	10
Tab2	3119
Mettl27	215
Trmt1	2763
Vps37c	901
Sec23a	3202
Rara	1297
Med1	1571
Ap5b1	76
Bag5	1348
Pdcd2l	315
Ctcf	2463
Mnd1	12
Tktl1	5
Lix1	1621
Ctnnbl1	972
Snph	21056
Raet1e	0
Ppm1m	511
Prkar1a	17872
Slc27a3	534
Impdh2	1187
Tiprl	1143
Uaca	274
Smim31	2
Calca	27
Mir6402	0
Phf3	3888
F930015N05Rik	22
9330020H09Rik	52
Gm13884	0
Gm7443	2
Ube2q2	1587
Rfx3	5839
Bri3	1168
Fbxo27	468
Eps15l1	2869
Tmprss15	0
Max	2426
Ttc8	834
Vti1b	3158
Cpsf3	1232
Nlgn1	2585
Casq2	40
Pidd1	91
Asb4	10
Orc4	1344
Mapkbp1	2706
Mospd1	301
Banf2	0
Dclk1	19230
Gpcpd1	3072
Sinhcaf	23
Acbd5	3019
Mir7073	0
Myo7a	730
4930548K13Rik	0
Luc7l2	9309
Dnah8	35
Evc	538
Shroom2	2667
1500009C09Rik	2798
Kmt2e	6668
Setd5	4272
Pcyox1	3332
Arpp21	5901
Iyd	327
Mir7077	0
Smim4	128
Smc6	1645
Nsmf	40542
Hmbs	573
Slc35b1	1388
Mir7081	0
Synj2	2110
Suds3	3625
Ptk2b	49195
Gfm2	1179
Rlim	2046
Ddt	558
Epha3	419
Gatad2a	1402
Shc1	339
Anks1b	15383
Cdk6	157
Cdk5r2	8943
Cdk5r1	9158
Kdm1a	1743
Olfr192	0
Scaf4	2261
4930557J02Rik	0
6030466F02Rik	1
Plcxd2	1179
Morc2a	1965
Atp6v1c2	16
C5ar1	11
Map1a	56695
Gja5	6
Runx2	974
Gja3	27
Ackr3	633
Socs1	11
Sort1	28055
Rangrf	366
Phyhd1	993
Slc4a9	5
Specc1	4322
Gtf2a2	759
Deaf1	2175
Mtarc1	9
Set	4942
Glra3	34
Dnhd1	398
Tmem247	0
Pgpep1l	38
Notch3	298
Gtsf1l	4
Chml	135
Rnf212	0
Tceal8	1441
Olfr935	0
Gm5087	24
Slco6b1	0
Ranbp3	2678
Parp6	5400
Gng10	1421
Mrps18b	302
D16Ertd472e	578
2310039H08Rik	65
Rps10	2153
Arih1	3590
Dancr	128
9530026P05Rik	17
Itgal	5
Mir6408	0
Sirt6	828
Rgs12	1266
Gm10681	0
Hfe	132
Tdrd7	934
Mir1298	0
Ak2	1118
Znhit1	1473
Prx	88
4930509K18Rik	0
Zxdb	280
Alas2	71
Fiz1	625
Doxl1	0
Serpinh1	371
Vmn2r65	0
Myh3	21
Grm5	7596
Apol7e	0
Vill	8
1700123O12Rik	0
Ins2	0
Wnk1	9556
Tex14	10
Zbtb37	118
Egfem1	481
Eya1	643
Adgrg2	31
Nkain3	189
Cd2bp2	3298
Sapcd2	46
Kcng2	1469
Tecr	11018
Asmt	0
Tfg	1865
Gm12530	8
A930017M01Rik	285
Trpm3	5252
Trpc4	1501
Gm14296	0
Mtarc2	724
Itih5	1123
Adcy4	112
Mical1	304
Zc3hav1l	290
Lrch4	0
Gbp5	85
Wnk2	5496
Sec22a	302
Ahsa2	853
Tfeb	278
Tgm1	10
Dynlt1f	12
D7Ertd443e	200
Tlcd2	7
Bend5	165
Cbwd1	295
Lrch2	834
Zdhhc6	783
Cbx3	1044
Fndc4	2929
Slc25a28	1309
Gbp4	162
Cdkl3	392
Mir6410	0
Etfrf1	505
Gm10549	4
Atn1	9248
Zfp111	417
Sema3b	45
Rbm43	354
S100a3	1
Kif18b	7
