Geneid	RNA STAR on KT003: mapped.bam
Zc3h14	1733
Troap	8
Clca2	0
1810013L24Rik	936
Srsf7	2117
Fignl2	52
Sema6a	1244
Anapc15	305
Misp3	13
Nmb	141
Tcerg1	1811
Zfp712	176
Fam129c	128
Atp5g3	3338
Pifo	21
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2801
Tlr3	236
Olfr1444	0
Olfr150	0
Ifi44	7
Trafd1	1824
Erfl	4
Krt80	9
Armc8	1737
Ppil4	1352
C530005A16Rik	76
Katnbl1	347
Gm21693	0
Spag9	7254
Gm5860	0
Taz	862
Gfpt1	1636
Abcc5	4159
Kcnmb4	621
Gm4013	8
Hpcal1	949
Tbc1d31	205
Tmem176b	537
Mir5110	0
Mir5108	0
Cyp3a13	44
Akap7	869
Ablim1	2593
Lcn5	0
Ulk1	2824
Cyp4b1	4
Golga3	1642
Mir1193	0
Wdyhv1	312
Traf1	35
Atoh1	0
Rxra	939
Dapk3	1412
Mir7002	0
Mir6998	3
Ap3m2	3202
Sirt2	7133
Inhbc	0
Slit3	936
Cts3	0
Olfr74	0
Dcakd	3311
Vps35l	1588
Cyhr1	4998
Taf10	1102
Hagh	2183
Ogfod3	134
Syn1	38325
Glyatl3	0
Slx	0
Ccl27a	1403
Sqor	71
Fundc2	855
Rab5if	941
H1f5	1
Ankrd2	16
Pop4	725
Carnmt1	69
Iqcm	1
Clcc1	541
Magea2	0
Ilf3	2688
Tpd52l2	1364
Arhgap25	60
Banf1	1583
Tbc1d23	899
4930473A02Rik	129
Pard3	807
Rorc	130
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2956
Pex5l	7883
Mtmr1	1766
Mtor	2637
Zfp758	351
Plekhh2	359
Adgrl3	2432
Golga5	749
Plekhb1	23959
Nufip1	397
Gm9866	347
Smap1	1123
Tepp	0
Acox2	10
Hars2	633
Gpa33	0
Sdhb	3406
Gmpr	2042
Krt90	12
Me1	1914
Klk11	8
Magt1	562
Mcam	655
Pbld1	2
Tab2	2677
Mettl27	203
Trmt1	2466
Vps37c	883
Sec23a	2685
Rara	1281
Med1	1112
Ap5b1	53
Bag5	1451
Pdcd2l	256
Ctcf	2032
Mnd1	16
Tktl1	0
Lix1	1770
Ctnnbl1	1151
Snph	20064
Raet1e	0
Ppm1m	479
Prkar1a	14818
Slc27a3	302
Impdh2	1200
Tiprl	1158
Uaca	152
Smim31	0
Calca	4
Mir6402	1
Phf3	2893
F930015N05Rik	17
9330020H09Rik	47
Gm13884	0
Gm7443	3
Ube2q2	1188
Rfx3	3399
Bri3	1196
Fbxo27	438
Eps15l1	2250
Tmprss15	0
Max	2258
Ttc8	702
Vti1b	3152
Cpsf3	1185
Nlgn1	1897
Casq2	12
Pidd1	70
Asb4	7
Orc4	974
Mapkbp1	1811
Mospd1	302
Banf2	0
Dclk1	13380
Gpcpd1	1890
Sinhcaf	17
Acbd5	2549
Mir7073	0
Myo7a	637
4930548K13Rik	0
Luc7l2	6172
Dnah8	30
Evc	512
Shroom2	2581
1500009C09Rik	2820
Kmt2e	4581
Setd5	3036
Pcyox1	2459
Arpp21	4533
Iyd	106
Mir7077	0
Smim4	130
Smc6	1123
Nsmf	38925
Hmbs	498
Slc35b1	1178
Mir7081	0
Synj2	2410
Suds3	3581
Ptk2b	42541
Gfm2	921
Rlim	1737
Ddt	615
Epha3	310
Gatad2a	1223
Shc1	256
Anks1b	12788
Cdk6	90
Cdk5r2	9860
Cdk5r1	8575
Kdm1a	1317
Olfr192	0
Scaf4	1587
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	734
Morc2a	1318
Atp6v1c2	14
C5ar1	1
Map1a	50202
Gja5	10
Runx2	901
Gja3	17
Ackr3	467
Socs1	30
Sort1	23067
Rangrf	333
Phyhd1	577
Slc4a9	1
Specc1	3940
Gtf2a2	608
Deaf1	2083
Mtarc1	2
Set	5245
Glra3	19
Dnhd1	186
Tmem247	0
Pgpep1l	29
Notch3	210
Gtsf1l	4
Chml	89
Rnf212	2
Tceal8	1536
Olfr935	0
Gm5087	17
Slco6b1	0
Ranbp3	2579
Parp6	4796
Gng10	1370
Mrps18b	294
D16Ertd472e	483
2310039H08Rik	89
Rps10	2382
Arih1	2640
Dancr	122
9530026P05Rik	9
Itgal	6
Mir6408	0
Sirt6	697
Rgs12	1108
Gm10681	0
Hfe	115
Tdrd7	691
Mir1298	0
Ak2	908
Znhit1	1599
Prx	40
4930509K18Rik	0
Zxdb	282
Alas2	50
Fiz1	711
Doxl1	0
Serpinh1	379
Vmn2r65	0
Myh3	23
Grm5	6005
Apol7e	0
Vill	7
1700123O12Rik	0
Ins2	19
Wnk1	7849
Tex14	7
Zbtb37	49
Egfem1	396
Eya1	402
Adgrg2	18
Nkain3	106
Cd2bp2	2962
Sapcd2	42
Kcng2	1172
Tecr	12824
Asmt	1
Tfg	1525
Gm12530	6
A930017M01Rik	203
Trpm3	3730
Trpc4	1150
Gm14296	0
Mtarc2	654
Itih5	583
Adcy4	70
Mical1	201
Zc3hav1l	218
Lrch4	0
Gbp5	37
Wnk2	3767
Sec22a	295
Ahsa2	549
Tfeb	351
Tgm1	14
Dynlt1f	15
D7Ertd443e	184
Tlcd2	11
Bend5	160
Cbwd1	315
Lrch2	620
Zdhhc6	772
Cbx3	833
Fndc4	2884
Slc25a28	1086
Gbp4	40
Cdkl3	341
Mir6410	0
Etfrf1	448
Gm10549	3
Atn1	7968
Zfp111	273
Sema3b	124
Rbm43	329
S100a3	11
Kif18b	10
Hsh2d	0
Sgsm2	5345
Sem1	1188
Shd	383
Lcp1	67
H2-Q7	0
Gjb5	0
Rnps1	3130
Gpr83	415
Cyp2d9	1
Rab23	963
Ext2	794
Scin	38
Clec11a	126
Scg2	4343
Map7d2	3916
Tectb	8
Spata3	33
Ola1	3765
Lrrc46	44
Tmigd3	3
Dpep2	4
Slc25a51	3985
Ubald2	4
6720489N17Rik	167
Zfp703	744
Slc35g2	239
Clasp2	6640
Pak6	1670
Smim19	575
Heph	165
Rhox2a	0
Cd209b	0
Prame	0
Mgam	0
Sh3d19	680
Dab2	272
Arhgap44	4993
Ppp1r32	113
Tead3	101
Ctps2	731
Gps1	2637
Cdh16	1
Shmt2	865
Ncor1	8893
Dhrs3	429
Rs1	16
Rps7	4517
Klk5	2
Gm4719	0
D030068K23Rik	29
Gm21828	0
Gm15880	1
4930547E08Rik	6
Mpig6b	3
Lgi1	6619
Cep131	1153
Masp1	228
Ascl1	260
Mas1	1410
