Geneid	RNA STAR on KT004: mapped.bam
Zc3h14	541
Troap	9
Clca2	0
1810013L24Rik	338
Srsf7	757
Fignl2	24
Sema6a	470
Anapc15	237
Misp3	11
Nmb	79
Tcerg1	510
Zfp712	32
Fam129c	47
Atp5g3	1607
Pifo	10
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	1303
Tlr3	99
Olfr1444	3
Olfr150	0
Ifi44	6
Trafd1	985
Erfl	2
Krt80	0
Armc8	469
Ppil4	533
C530005A16Rik	43
Katnbl1	128
Gm21693	0
Spag9	2452
Gm5860	0
Taz	486
Gfpt1	552
Abcc5	1467
Kcnmb4	488
Gm4013	3
Hpcal1	383
Tbc1d31	84
Tmem176b	368
Mir5110	0
Mir5108	0
Cyp3a13	29
Akap7	367
Ablim1	1346
Lcn5	0
Ulk1	1270
Cyp4b1	7
Golga3	609
Mir1193	0
Wdyhv1	152
Traf1	27
Atoh1	0
Rxra	670
Dapk3	1240
Mir7002	0
Mir6998	0
Ap3m2	1326
Sirt2	4573
Inhbc	0
Slit3	284
Cts3	0
Olfr74	0
Dcakd	2442
Vps35l	1104
Cyhr1	3601
Taf10	1046
Hagh	981
Ogfod3	114
Syn1	22828
Glyatl3	0
Slx	0
Ccl27a	843
Sqor	29
Fundc2	424
Rab5if	713
H1f5	2
Ankrd2	11
Pop4	466
Carnmt1	24
Iqcm	4
Clcc1	232
Magea2	0
Ilf3	1116
Tpd52l2	775
Arhgap25	26
Banf1	1218
Tbc1d23	232
4930473A02Rik	45
Pard3	262
Rorc	73
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	1880
Pex5l	3249
Mtmr1	609
Mtor	962
Zfp758	74
Plekhh2	136
Adgrl3	819
Golga5	286
Plekhb1	23083
Nufip1	190
Gm9866	196
Smap1	235
Tepp	0
Acox2	1
Hars2	257
Gpa33	0
Sdhb	2202
Gmpr	1349
Krt90	15
Me1	820
Klk11	5
Magt1	267
Mcam	280
Pbld1	0
Tab2	847
Mettl27	128
Trmt1	2216
Vps37c	428
Sec23a	721
Rara	1025
Med1	490
Ap5b1	12
Bag5	633
Pdcd2l	134
Ctcf	716
Mnd1	6
Tktl1	0
Lix1	930
Ctnnbl1	720
Snph	15882
Raet1e	0
Ppm1m	328
Prkar1a	5802
Slc27a3	92
Impdh2	702
Tiprl	403
Uaca	74
Smim31	0
Calca	5
Mir6402	0
Phf3	865
F930015N05Rik	16
9330020H09Rik	43
Gm13884	0
Gm7443	0
Ube2q2	371
Rfx3	642
Bri3	1106
Fbxo27	184
Eps15l1	869
Tmprss15	0
Max	881
Ttc8	152
Vti1b	2421
Cpsf3	425
Nlgn1	544
Casq2	11
Pidd1	52
Asb4	1
Orc4	294
Mapkbp1	729
Mospd1	125
Banf2	0
Dclk1	5240
Gpcpd1	469
Sinhcaf	1
Acbd5	1001
Mir7073	0
Myo7a	328
4930548K13Rik	0
Luc7l2	2313
Dnah8	22
Evc	388
Shroom2	852
1500009C09Rik	2182
Kmt2e	853
Setd5	800
Pcyox1	1000
Arpp21	1333
Iyd	62
Mir7077	0
Smim4	74
Smc6	402
Nsmf	36352
Hmbs	324
Slc35b1	747
Mir7081	0
Synj2	998
Suds3	2836
Ptk2b	17339
Gfm2	488
Rlim	810
Ddt	618
Epha3	72
Gatad2a	743
Shc1	127
Anks1b	4063
Cdk6	26
Cdk5r2	6900
Cdk5r1	2532
Kdm1a	683
Olfr192	0
Scaf4	598
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	183
Morc2a	593
Atp6v1c2	5
C5ar1	1
Map1a	35183
Gja5	5
Runx2	442
Gja3	1
Ackr3	89
Socs1	9
Sort1	10527
Rangrf	269
Phyhd1	361
Slc4a9	6
Specc1	1531
Gtf2a2	347
Deaf1	1734
Mtarc1	0
Set	2501
Glra3	14
Dnhd1	113
Tmem247	0
Pgpep1l	23
Notch3	62
Gtsf1l	3
Chml	26
Rnf212	3
Tceal8	533
Olfr935	0
Gm5087	2
Slco6b1	1
Ranbp3	1645
Parp6	3188
Gng10	616
Mrps18b	147
D16Ertd472e	205
2310039H08Rik	86
Rps10	2151
Arih1	843
Dancr	61
9530026P05Rik	1
Itgal	5
Mir6408	0
Sirt6	661
Rgs12	666
Gm10681	0
Hfe	59
Tdrd7	251
Mir1298	0
Ak2	527
Znhit1	1613
Prx	20
4930509K18Rik	0
Zxdb	90
Alas2	42
Fiz1	505
Doxl1	0
Serpinh1	166
Vmn2r65	0
Myh3	9
Grm5	1324
Apol7e	0
Vill	16
1700123O12Rik	0
Ins2	0
Wnk1	3416
Tex14	2
Zbtb37	11
Egfem1	262
Eya1	132
Adgrg2	6
Nkain3	23
Cd2bp2	1615
Sapcd2	24
Kcng2	993
Tecr	8285
Asmt	0
Tfg	396
Gm12530	5
A930017M01Rik	72
Trpm3	726
Trpc4	466
Gm14296	0
Mtarc2	297
Itih5	220
Adcy4	35
Mical1	190
Zc3hav1l	33
Lrch4	0
Gbp5	18
Wnk2	2173
Sec22a	163
Ahsa2	231
Tfeb	252
Tgm1	10
Dynlt1f	10
D7Ertd443e	71
Tlcd2	4
Bend5	120
Cbwd1	86
Lrch2	146
Zdhhc6	343
Cbx3	187
Fndc4	2181
Slc25a28	1092
Gbp4	7
Cdkl3	214
Mir6410	0
Etfrf1	183
Gm10549	0
Atn1	3222
Zfp111	87
Sema3b	34
