Geneid	RNA STAR on KT005: mapped.bam
Zc3h14	2007
Troap	7
Clca2	0
1810013L24Rik	899
Srsf7	1992
Fignl2	34
Sema6a	1092
Anapc15	308
Misp3	6
Nmb	73
Tcerg1	1778
Zfp712	154
Fam129c	77
Atp5g3	3831
Pifo	16
Olfr1045	0
Olfr1049	0
Vsx1	1
Fyco1	1770
Tlr3	227
Olfr1444	0
Olfr150	0
Ifi44	16
Trafd1	1466
Erfl	0
Krt80	10
Armc8	1756
Ppil4	1350
C530005A16Rik	117
Katnbl1	318
Gm21693	0
Spag9	6800
Gm5860	0
Taz	583
Gfpt1	1645
Abcc5	2856
Kcnmb4	590
Gm4013	22
Hpcal1	1026
Tbc1d31	169
Tmem176b	596
Mir5110	0
Mir5108	0
Cyp3a13	27
Akap7	882
Ablim1	2183
Lcn5	0
Ulk1	2322
Cyp4b1	6
Golga3	1478
Mir1193	0
Wdyhv1	304
Traf1	27
Atoh1	0
Rxra	879
Dapk3	1137
Mir7002	0
Mir6998	0
Ap3m2	3191
Sirt2	6115
Inhbc	0
Slit3	1037
Cts3	0
Olfr74	0
Dcakd	2794
Vps35l	1494
Cyhr1	4476
Taf10	963
Hagh	2328
Ogfod3	128
Syn1	26783
Glyatl3	0
Slx	0
Ccl27a	1093
Sqor	93
Fundc2	893
Rab5if	1128
H1f5	2
Ankrd2	23
Pop4	688
Carnmt1	67
Iqcm	6
Clcc1	562
Magea2	0
Ilf3	2217
Tpd52l2	1401
Arhgap25	50
Banf1	1615
Tbc1d23	772
4930473A02Rik	52
Pard3	868
Rorc	101
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2679
Pex5l	7790
Mtmr1	1679
Mtor	2298
Zfp758	393
Plekhh2	308
Adgrl3	2217
Golga5	695
Plekhb1	21794
Nufip1	396
Gm9866	436
Smap1	1280
Tepp	0
Acox2	4
Hars2	502
Gpa33	0
Sdhb	3791
Gmpr	1735
Krt90	5
Me1	1794
Klk11	19
Magt1	439
Mcam	596
Pbld1	1
Tab2	2355
Mettl27	158
Trmt1	1667
Vps37c	758
Sec23a	2817
Rara	918
Med1	983
Ap5b1	58
Bag5	1597
Pdcd2l	281
Ctcf	2137
Mnd1	9
Tktl1	4
Lix1	1677
Ctnnbl1	1067
Snph	17126
Raet1e	0
Ppm1m	382
Prkar1a	15664
Slc27a3	232
Impdh2	1097
Tiprl	1103
Uaca	170
Smim31	0
Calca	12
Mir6402	0
Phf3	2622
F930015N05Rik	14
9330020H09Rik	54
Gm13884	0
Gm7443	1
Ube2q2	1337
Rfx3	2935
Bri3	1247
Fbxo27	380
Eps15l1	1604
Tmprss15	0
Max	2120
Ttc8	460
Vti1b	3208
Cpsf3	1208
Nlgn1	1751
Casq2	20
Pidd1	33
Asb4	9
Orc4	903
Mapkbp1	1366
Mospd1	229
Banf2	1
Dclk1	13136
Gpcpd1	1703
Sinhcaf	10
Acbd5	2303
Mir7073	0
Myo7a	453
4930548K13Rik	0
Luc7l2	4299
Dnah8	20
