Geneid	RNA STAR on KT006: mapped.bam
Zc3h14	1178
Troap	8
Clca2	0
1810013L24Rik	661
Srsf7	1580
Fignl2	41
Sema6a	698
Anapc15	226
Misp3	11
Nmb	82
Tcerg1	1343
Zfp712	106
Fam129c	61
Atp5g3	2255
Pifo	5
Olfr1045	0
Olfr1049	0
Vsx1	1
Fyco1	2117
Tlr3	142
Olfr1444	0
Olfr150	0
Ifi44	3
Trafd1	1351
Erfl	0
Krt80	3
Armc8	1182
Ppil4	940
C530005A16Rik	79
Katnbl1	221
Gm21693	0
Spag9	5026
Gm5860	0
Taz	610
Gfpt1	1085
Abcc5	3114
Kcnmb4	414
Gm4013	5
Hpcal1	554
Tbc1d31	131
Tmem176b	335
Mir5110	0
Mir5108	0
Cyp3a13	22
Akap7	654
Ablim1	1651
Lcn5	0
Ulk1	1836
Cyp4b1	4
Golga3	1013
Mir1193	0
Wdyhv1	217
Traf1	20
Atoh1	0
Rxra	699
Dapk3	909
Mir7002	0
Mir6998	4
Ap3m2	1987
Sirt2	4302
Inhbc	0
Slit3	688
Cts3	0
Olfr74	0
Dcakd	2330
Vps35l	1104
Cyhr1	3159
Taf10	713
Hagh	1506
Ogfod3	82
Syn1	23692
Glyatl3	1
Slx	0
Ccl27a	1178
Sqor	54
Fundc2	599
Rab5if	706
H1f5	2
Ankrd2	5
Pop4	493
Carnmt1	46
Iqcm	7
Clcc1	373
Magea2	0
Ilf3	1860
Tpd52l2	997
Arhgap25	29
Banf1	1035
Tbc1d23	709
4930473A02Rik	78
Pard3	571
Rorc	89
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	1876
Pex5l	5794
Mtmr1	1271
Mtor	1821
Zfp758	231
Plekhh2	272
Adgrl3	1731
Golga5	542
Plekhb1	14301
Nufip1	298
Gm9866	234
Smap1	738
Tepp	0
Acox2	0
Hars2	480
Gpa33	0
Sdhb	2484
Gmpr	1364
Krt90	10
Me1	1002
Klk11	8
Magt1	343
Mcam	410
Pbld1	0
Tab2	1770
Mettl27	125
Trmt1	1900
Vps37c	494
Sec23a	1844
Rara	861
Med1	705
Ap5b1	40
Bag5	926
Pdcd2l	194
Ctcf	1352
Mnd1	13
Tktl1	1
Lix1	1326
Ctnnbl1	800
Snph	14905
Raet1e	0
Ppm1m	312
Prkar1a	10078
Slc27a3	228
Impdh2	776
Tiprl	780
Uaca	168
Smim31	1
Calca	2
Mir6402	0
Phf3	2080
F930015N05Rik	18
9330020H09Rik	40
Gm13884	0
Gm7443	4
Ube2q2	790
Rfx3	2577
Bri3	944
Fbxo27	336
Eps15l1	1497
Tmprss15	0
Max	1578
Ttc8	458
Vti1b	2207
Cpsf3	778
Nlgn1	1195
Casq2	11
Pidd1	38
Asb4	9
Orc4	747
Mapkbp1	1257
Mospd1	195
Banf2	0
Dclk1	9441
Gpcpd1	1320
Sinhcaf	9
Acbd5	1817
Mir7073	0
Myo7a	347
4930548K13Rik	0
Luc7l2	4545
Dnah8	12
Evc	384
Shroom2	1639
1500009C09Rik	1759
Kmt2e	3109
Setd5	2031
Pcyox1	1571
Arpp21	3036
Iyd	62
Mir7077	0
Smim4	97
Smc6	811
Nsmf	28767
Hmbs	352
Slc35b1	750
Mir7081	1
Synj2	1585
Suds3	2521
Ptk2b	27107
Gfm2	584
Rlim	1116
Ddt	449
Epha3	245
Gatad2a	751
Shc1	162
Anks1b	9030
Cdk6	81
Cdk5r2	6814
Cdk5r1	5610
Kdm1a	929
Olfr192	0
Scaf4	1120
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	387
Morc2a	907
Atp6v1c2	5
C5ar1	6
Map1a	36100
Gja5	8
Runx2	657
Gja3	8
Ackr3	232
Socs1	12
Sort1	15970
Rangrf	225
Phyhd1	433
Slc4a9	5
Specc1	2558
Gtf2a2	435
Deaf1	1423
Mtarc1	3
Set	3348
Glra3	10
Dnhd1	171
Tmem247	0
Pgpep1l	16
Notch3	150
Gtsf1l	2
Chml	55
Rnf212	0
Tceal8	1098
Olfr935	0
Gm5087	19
Slco6b1	0
Ranbp3	1712
Parp6	3103
Gng10	1105
Mrps18b	151
D16Ertd472e	296
2310039H08Rik	80
Rps10	1803
Arih1	1873
Dancr	95
9530026P05Rik	8
Itgal	4
Mir6408	0
Sirt6	481
Rgs12	578
Gm10681	0
Hfe	61
Tdrd7	464
Mir1298	0
Ak2	658
Znhit1	1183
Prx	23
4930509K18Rik	0
Zxdb	187
Alas2	34
Fiz1	490
Doxl1	0
Serpinh1	273
Vmn2r65	0
Myh3	18
Grm5	4378
Apol7e	0
Vill	4
1700123O12Rik	0
Ins2	0
Wnk1	5586
Tex14	14
Zbtb37	47
Egfem1	278
Eya1	327
Adgrg2	22
Nkain3	69
Cd2bp2	1814
Sapcd2	21
Kcng2	742
Tecr	8149
Asmt	0
Tfg	951
Gm12530	2
A930017M01Rik	157
Trpm3	2230
Trpc4	890
Gm14296	0
Mtarc2	404
Itih5	440
Adcy4	68
Mical1	154
Zc3hav1l	118
Lrch4	0
Gbp5	20
Wnk2	2539
Sec22a	191
Ahsa2	383
Tfeb	186
Tgm1	19
Dynlt1f	3
D7Ertd443e	95
Tlcd2	5
Bend5	121
Cbwd1	200
Lrch2	367
Zdhhc6	491
Cbx3	520
Fndc4	2061
Slc25a28	795
Gbp4	19
