Geneid	RNA STAR on KT007: mapped.bam
Zc3h14	1250
Troap	7
Clca2	0
1810013L24Rik	550
Srsf7	1485
Fignl2	26
Sema6a	864
Anapc15	258
Misp3	4
Nmb	73
Tcerg1	1365
Zfp712	119
Fam129c	72
Atp5g3	2070
Pifo	4
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2650
Tlr3	157
Olfr1444	0
Olfr150	0
Ifi44	35
Trafd1	1278
Erfl	0
Krt80	8
Armc8	1309
Ppil4	1053
C530005A16Rik	99
Katnbl1	211
Gm21693	0
Spag9	5327
Gm5860	0
Taz	532
Gfpt1	1221
Abcc5	2842
Kcnmb4	418
Gm4013	4
Hpcal1	579
Tbc1d31	174
Tmem176b	347
Mir5110	0
Mir5108	0
Cyp3a13	41
Akap7	661
Ablim1	2023
Lcn5	0
Ulk1	1996
Cyp4b1	0
Golga3	1210
Mir1193	0
Wdyhv1	190
Traf1	35
Atoh1	0
Rxra	577
Dapk3	851
Mir7002	0
Mir6998	0
Ap3m2	2078
Sirt2	4834
Inhbc	0
Slit3	661
Cts3	0
Olfr74	0
Dcakd	2305
Vps35l	1113
Cyhr1	3065
Taf10	747
Hagh	1402
Ogfod3	103
Syn1	27552
Glyatl3	0
Slx	0
Ccl27a	996
Sqor	51
Fundc2	553
Rab5if	725
H1f5	0
Ankrd2	2
Pop4	512
Carnmt1	37
Iqcm	7
Clcc1	368
Magea2	0
Ilf3	1889
Tpd52l2	975
Arhgap25	20
Banf1	1090
Tbc1d23	657
4930473A02Rik	108
Pard3	650
Rorc	83
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2000
Pex5l	5594
Mtmr1	1304
Mtor	1808
Zfp758	284
Plekhh2	316
Adgrl3	1858
Golga5	551
Plekhb1	17294
Nufip1	276
Gm9866	218
Smap1	741
Tepp	0
Acox2	0
Hars2	427
Gpa33	0
Sdhb	2339
Gmpr	1311
Krt90	5
Me1	1381
Klk11	8
Magt1	398
Mcam	534
Pbld1	0
Tab2	2022
Mettl27	153
Trmt1	1782
Vps37c	612
Sec23a	1870
Rara	775
Med1	890
Ap5b1	29
Bag5	939
Pdcd2l	193
Ctcf	1357
Mnd1	8
Tktl1	1
Lix1	1204
Ctnnbl1	743
Snph	14330
Raet1e	0
Ppm1m	321
Prkar1a	9476
Slc27a3	215
Impdh2	737
Tiprl	718
Uaca	156
Smim31	0
Calca	8
Mir6402	0
Phf3	2484
F930015N05Rik	12
9330020H09Rik	39
Gm13884	0
Gm7443	1
Ube2q2	878
Rfx3	2708
Bri3	837
Fbxo27	333
Eps15l1	1708
Tmprss15	0
Max	1811
Ttc8	509
Vti1b	2165
Cpsf3	823
Nlgn1	1334
Casq2	22
Pidd1	54
Asb4	7
Orc4	718
Mapkbp1	1328
Mospd1	166
Banf2	0
Dclk1	9117
Gpcpd1	1323
Sinhcaf	8
Acbd5	1690
Mir7073	0
Myo7a	394
4930548K13Rik	0
Luc7l2	5332
Dnah8	23
Evc	326
Shroom2	1947
1500009C09Rik	1746
Kmt2e	3688
Setd5	2188
Pcyox1	1553
Arpp21	2962
Iyd	67
Mir7077	0
Smim4	94
Smc6	846
Nsmf	26237
Hmbs	375
Slc35b1	724
Mir7081	0
Synj2	1564
Suds3	2361
Ptk2b	28239
Gfm2	555
Rlim	1061
Ddt	502
Epha3	204
Gatad2a	862
Shc1	218
Anks1b	9640
Cdk6	43
Cdk5r2	6195
Cdk5r1	5441
Kdm1a	902
Olfr192	0
Scaf4	1355
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	507
Morc2a	1069
Atp6v1c2	6
C5ar1	4
Map1a	41451
Gja5	2
Runx2	665
Gja3	20
Ackr3	251
Socs1	13
Sort1	16047
Rangrf	240
Phyhd1	378
Slc4a9	5
Specc1	2592
Gtf2a2	522
Deaf1	1558
Mtarc1	0
Set	3424
Glra3	19
Dnhd1	185
Tmem247	0
Pgpep1l	10
Notch3	180
Gtsf1l	2
Chml	101
Rnf212	0
Tceal8	1160
Olfr935	0
Gm5087	12
Slco6b1	0
Ranbp3	1646
Parp6	3046
Gng10	977
Mrps18b	203
D16Ertd472e	333
2310039H08Rik	63
Rps10	1746
Arih1	1820
Dancr	114
9530026P05Rik	4
Itgal	2
Mir6408	0
Sirt6	519
Rgs12	752
Gm10681	0
Hfe	53
Tdrd7	539
Mir1298	0
Ak2	685
Znhit1	1102
Prx	54
4930509K18Rik	0
Zxdb	204
Alas2	40
Fiz1	497
Doxl1	0
Serpinh1	294
Vmn2r65	0
Myh3	15
Grm5	4627
Apol7e	0
Vill	4
1700123O12Rik	0
Ins2	5
Wnk1	6696
Tex14	2
Zbtb37	34
Egfem1	281
Eya1	309
Adgrg2	21
Nkain3	84
Cd2bp2	1826
Sapcd2	3
Kcng2	700
Tecr	8471
Asmt	4
Tfg	1220
Gm12530	5
A930017M01Rik	117
Trpm3	2211
Trpc4	935
Gm14296	0
Mtarc2	395
Itih5	426
Adcy4	58
Mical1	157
Zc3hav1l	150
Lrch4	0
Gbp5	67
Wnk2	2703
Sec22a	220
Ahsa2	458
Tfeb	175
Tgm1	3
Dynlt1f	0
D7Ertd443e	124
Tlcd2	1
Bend5	110
Cbwd1	245
Lrch2	398
Zdhhc6	469
Cbx3	471
Fndc4	1969
Slc25a28	789
Gbp4	31
Cdkl3	256
Mir6410	0
Etfrf1	310
Gm10549	3
Atn1	6152
Zfp111	229
Sema3b	48
Rbm43	176
S100a3	2
Kif18b	7
Hsh2d	0
Sgsm2	4053
Sem1	907
Shd	219
Lcp1	46
H2-Q7	0
Gjb5	0
Rnps1	2162
Gpr83	316
Cyp2d9	0
Rab23	647
Ext2	540
Scin	4
Clec11a	95
Scg2	2852
Map7d2	2653
Tectb	4
Spata3	17
Ola1	2783
Lrrc46	34
Tmigd3	2
Dpep2	5
Slc25a51	2775
