Geneid	RNA STAR on KT008: mapped.bam
Zc3h14	1067
Troap	6
Clca2	0
1810013L24Rik	574
Srsf7	1329
Fignl2	41
Sema6a	789
Anapc15	227
Misp3	5
Nmb	78
Tcerg1	1030
Zfp712	80
Fam129c	68
Atp5g3	1940
Pifo	3
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	1743
Tlr3	155
Olfr1444	0
Olfr150	0
Ifi44	4
Trafd1	1134
Erfl	0
Krt80	0
Armc8	980
Ppil4	792
C530005A16Rik	55
Katnbl1	205
Gm21693	0
Spag9	3978
Gm5860	0
Taz	448
Gfpt1	998
Abcc5	2370
Kcnmb4	340
Gm4013	12
Hpcal1	643
Tbc1d31	102
Tmem176b	289
Mir5110	0
Mir5108	0
Cyp3a13	16
Akap7	544
Ablim1	1424
Lcn5	0
Ulk1	1698
Cyp4b1	3
Golga3	901
Mir1193	2
Wdyhv1	177
Traf1	17
Atoh1	0
Rxra	647
Dapk3	960
Mir7002	0
Mir6998	1
Ap3m2	2141
Sirt2	4319
Inhbc	0
Slit3	442
Cts3	0
Olfr74	0
Dcakd	2531
Vps35l	1000
Cyhr1	3258
Taf10	776
Hagh	1330
Ogfod3	65
Syn1	31291
Glyatl3	0
Slx	0
Ccl27a	991
Sqor	36
Fundc2	514
Rab5if	680
H1f5	0
Ankrd2	4
Pop4	487
Carnmt1	30
Iqcm	3
Clcc1	302
Magea2	0
Ilf3	1611
Tpd52l2	934
Arhgap25	32
Banf1	1359
Tbc1d23	512
4930473A02Rik	80
Pard3	532
Rorc	58
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	1680
Pex5l	3711
Mtmr1	1032
Mtor	1631
Zfp758	203
Plekhh2	205
Adgrl3	1514
Golga5	436
Plekhb1	17059
Nufip1	272
Gm9866	202
Smap1	509
Tepp	0
Acox2	1
Hars2	395
Gpa33	0
Sdhb	2258
Gmpr	1454
Krt90	5
Me1	941
Klk11	6
Magt1	302
Mcam	314
Pbld1	3
Tab2	1727
Mettl27	142
Trmt1	1656
Vps37c	503
Sec23a	1622
Rara	883
Med1	575
Ap5b1	22
Bag5	921
Pdcd2l	160
Ctcf	1157
Mnd1	4
Tktl1	0
Lix1	1279
Ctnnbl1	741
