Geneid	RNA STAR on KT009: mapped.bam
Zc3h14	2017
Troap	8
Clca2	0
1810013L24Rik	1073
Srsf7	2405
Fignl2	56
Sema6a	1529
Anapc15	252
Misp3	12
Nmb	63
Tcerg1	2255
Zfp712	195
Fam129c	101
Atp5g3	3050
Pifo	25
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	3181
Tlr3	324
Olfr1444	0
Olfr150	0
Ifi44	19
Trafd1	1750
Erfl	1
Krt80	16
Armc8	2113
Ppil4	1411
C530005A16Rik	83
Katnbl1	330
Gm21693	0
Spag9	8337
Gm5860	0
Taz	894
Gfpt1	1967
Abcc5	5012
Kcnmb4	529
Gm4013	15
Hpcal1	911
Tbc1d31	211
Tmem176b	628
Mir5110	0
Mir5108	0
Cyp3a13	27
Akap7	913
Ablim1	3054
Lcn5	0
Ulk1	2971
Cyp4b1	3
Golga3	1776
Mir1193	0
Wdyhv1	281
Traf1	35
Atoh1	0
Rxra	998
Dapk3	1091
Mir7002	0
Mir6998	3
Ap3m2	3317
Sirt2	6442
Inhbc	0
Slit3	1342
Cts3	0
Olfr74	0
Dcakd	3029
Vps35l	1683
Cyhr1	4457
Taf10	984
Hagh	1897
Ogfod3	163
Syn1	37364
Glyatl3	0
Slx	0
Ccl27a	1429
Sqor	95
Fundc2	926
Rab5if	986
H1f5	3
Ankrd2	8
Pop4	703
Carnmt1	73
Iqcm	8
Clcc1	632
Magea2	0
Ilf3	2681
Tpd52l2	1400
Arhgap25	53
Banf1	1470
Tbc1d23	1111
4930473A02Rik	94
Pard3	1012
Rorc	120
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	3061
Pex5l	8724
Mtmr1	2010
Mtor	2911
Zfp758	356
Plekhh2	410
Adgrl3	2722
Golga5	831
Plekhb1	23638
Nufip1	362
Gm9866	379
Smap1	1373
Tepp	0
Acox2	8
Hars2	736
Gpa33	0
Sdhb	3118
Gmpr	1695
Krt90	15
Me1	1686
Klk11	8
Magt1	598
Mcam	826
Pbld1	6
Tab2	3341
Mettl27	184
Trmt1	2267
Vps37c	912
Sec23a	2887
Rara	1058
Med1	1206
Ap5b1	89
Bag5	1466
Pdcd2l	328
Ctcf	2283
Mnd1	6
Tktl1	0
Lix1	1667
Ctnnbl1	1047
Snph	18923
Raet1e	0
Ppm1m	426
Prkar1a	15652
Slc27a3	241
Impdh2	1012
Tiprl	1042
Uaca	333
Smim31	0
Calca	7
Mir6402	0
Phf3	3531
F930015N05Rik	17
9330020H09Rik	46
Gm13884	0
Gm7443	3
Ube2q2	1370
Rfx3	3509
Bri3	1157
Fbxo27	490
Eps15l1	2327
Tmprss15	0
Max	2465
Ttc8	606
Vti1b	3218
Cpsf3	1067
Nlgn1	2146
Casq2	17
Pidd1	75
Asb4	18
Orc4	1108
Mapkbp1	2028
Mospd1	309
Banf2	0
Dclk1	15077
Gpcpd1	2403
Sinhcaf	25
Acbd5	2738
Mir7073	0
Myo7a	636
4930548K13Rik	0
Luc7l2	6528
Dnah8	23
Evc	500
Shroom2	2629
1500009C09Rik	2135
Kmt2e	5375
Setd5	3311
Pcyox1	2626
Arpp21	4133
Iyd	209
Mir7077	0
Smim4	156
Smc6	1473
Nsmf	32693
Hmbs	459
Slc35b1	1080
Mir7081	0
Synj2	2815
Suds3	3097
Ptk2b	41296
Gfm2	862
Rlim	1679
Ddt	665
Epha3	337
Gatad2a	1322
Shc1	314
Anks1b	13638
Cdk6	151
Cdk5r2	9388
Cdk5r1	7528
Kdm1a	1522
Olfr192	0
Scaf4	1827
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	624
Morc2a	1501
Atp6v1c2	5
C5ar1	15
Map1a	49024
Gja5	17
Runx2	829
Gja3	15
Ackr3	363
Socs1	16
Sort1	24689
Rangrf	288
Phyhd1	494
Slc4a9	2
Specc1	4279
Gtf2a2	632
Deaf1	2079
Mtarc1	11
Set	4798
Glra3	10
Dnhd1	264
Tmem247	0
Pgpep1l	19
Notch3	319
Gtsf1l	7
Chml	121
Rnf212	0
Tceal8	1581
Olfr935	0
Gm5087	8
Slco6b1	0
Ranbp3	2188
Parp6	4257
Gng10	1273
Mrps18b	347
D16Ertd472e	677
2310039H08Rik	100
Rps10	2256
Arih1	3176
Dancr	126
9530026P05Rik	8
Itgal	9
Mir6408	0
Sirt6	620
Rgs12	998
