Geneid	RNA STAR on KT010: mapped.bam
Zc3h14	1945
Troap	9
Clca2	0
1810013L24Rik	1170
Srsf7	2449
Fignl2	51
Sema6a	950
Anapc15	227
Misp3	5
Nmb	32
Tcerg1	2580
Zfp712	182
Fam129c	82
Atp5g3	2506
Pifo	20
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2954
Tlr3	446
Olfr1444	0
Olfr150	0
Ifi44	15
Trafd1	1453
Erfl	1
Krt80	5
Armc8	2266
Ppil4	1577
C530005A16Rik	89
Katnbl1	281
Gm21693	0
Spag9	10831
Gm5860	2
Taz	747
Gfpt1	2571
Abcc5	4521
Kcnmb4	322
Gm4013	5
Hpcal1	781
Tbc1d31	244
Tmem176b	531
Mir5110	0
Mir5108	0
Cyp3a13	19
Akap7	834
Ablim1	3281
Lcn5	0
Ulk1	3032
Cyp4b1	11
Golga3	2494
Mir1193	0
Wdyhv1	218
Traf1	22
Atoh1	0
Rxra	956
Dapk3	775
Mir7002	0
Mir6998	1
Ap3m2	3807
Sirt2	3841
Inhbc	0
Slit3	2603
Cts3	0
Olfr74	0
Dcakd	1977
Vps35l	1352
Cyhr1	3327
Taf10	483
Hagh	1404
Ogfod3	121
Syn1	25375
Glyatl3	0
Slx	0
Ccl27a	1116
Sqor	94
Fundc2	790
Rab5if	730
H1f5	7
Ankrd2	16
Pop4	417
Carnmt1	102
Iqcm	4
Clcc1	516
Magea2	0
Ilf3	2564
Tpd52l2	1115
Arhgap25	53
Banf1	663
Tbc1d23	1005
4930473A02Rik	57
Pard3	953
Rorc	89
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2775
Pex5l	10698
Mtmr1	2091
Mtor	3593
Zfp758	410
Plekhh2	403
Adgrl3	4163
Golga5	743
Plekhb1	9974
Nufip1	369
Gm9866	410
Smap1	1512
Tepp	3
Acox2	10
Hars2	682
Gpa33	0
Sdhb	1918
Gmpr	1110
Krt90	2
Me1	1420
Klk11	13
Magt1	500
Mcam	522
Pbld1	1
Tab2	3090
Mettl27	147
Trmt1	1453
Vps37c	754
Sec23a	3259
Rara	603
Med1	1711
Ap5b1	111
Bag5	1290
Pdcd2l	201
Ctcf	2602
Mnd1	13
Tktl1	3
Lix1	1144
Ctnnbl1	1062
Snph	14355
Raet1e	0
Ppm1m	268
Prkar1a	16885
Slc27a3	199
Impdh2	890
Tiprl	1006
Uaca	273
Smim31	0
Calca	8
Mir6402	0
Phf3	3697
F930015N05Rik	15
9330020H09Rik	30
Gm13884	0
Gm7443	1
Ube2q2	1620
Rfx3	3930
Bri3	556
Fbxo27	330
Eps15l1	1967
Tmprss15	0
Max	1759
Ttc8	621
Vti1b	2196
Cpsf3	1148
Nlgn1	3115
Casq2	43
Pidd1	40
Asb4	14
Orc4	1108
Mapkbp1	2026
Mospd1	245
Banf2	0
Dclk1	18334
Gpcpd1	2258
Sinhcaf	12
Acbd5	2637
Mir7073	0
Myo7a	657
4930548K13Rik	0
Luc7l2	5336
Dnah8	26
Evc	442
Shroom2	2603
1500009C09Rik	1534
Kmt2e	5317
Setd5	3766
Pcyox1	2855
Arpp21	3881
Iyd	164
Mir7077	0
Smim4	76
Smc6	1618
Nsmf	21541
Hmbs	397
Slc35b1	907
Mir7081	0
Synj2	3145
Suds3	2158
Ptk2b	38831
Gfm2	755
Rlim	1827
Ddt	381
Epha3	604
Gatad2a	1078
Shc1	249
Anks1b	13535
Cdk6	118
Cdk5r2	5826
Cdk5r1	6151
Kdm1a	1473
Olfr192	0
Scaf4	1883
4930557J02Rik	0
6030466F02Rik	2
Plcxd2	866
Morc2a	1577
Atp6v1c2	29
C5ar1	12
Map1a	52446
Gja5	17
Runx2	615
Gja3	18
Ackr3	432
Socs1	11
Sort1	27071
Rangrf	193
Phyhd1	272
Slc4a9	4
Specc1	4657
Gtf2a2	388
Deaf1	1179
Mtarc1	1
Set	4210
Glra3	94
Dnhd1	178
Tmem247	0
Pgpep1l	22
Notch3	367
Gtsf1l	4
Chml	180
Rnf212	0
Tceal8	1164
Olfr935	0
Gm5087	26
Slco6b1	0
Ranbp3	1644
Parp6	3144
Gng10	884
Mrps18b	239
D16Ertd472e	532
2310039H08Rik	39
Rps10	1251
Arih1	3560
Dancr	60
9530026P05Rik	26
Itgal	9
Mir6408	0
Sirt6	441
Rgs12	885
Gm10681	0
Hfe	145
Tdrd7	867
Mir1298	0
Ak2	647
Znhit1	848
Prx	51
4930509K18Rik	0
Zxdb	218
Alas2	46
Fiz1	414
Doxl1	0
Serpinh1	515
Vmn2r65	0
Myh3	16
Grm5	9029
Apol7e	1
Vill	4
1700123O12Rik	0
Ins2	1
Wnk1	9926
Tex14	4
Zbtb37	215
Egfem1	287
Eya1	622
Adgrg2	34
Nkain3	471
Cd2bp2	2429
Sapcd2	39
Kcng2	696
Tecr	8024
Asmt	2
Tfg	1851
Gm12530	4
A930017M01Rik	231
Trpm3	4544
Trpc4	1260
Gm14296	0
Mtarc2	578
Itih5	1232
Adcy4	111
Mical1	204
Zc3hav1l	312
Lrch4	0
Gbp5	81
Wnk2	4569
Sec22a	283
Ahsa2	662
Tfeb	184
Tgm1	6
Dynlt1f	3
D7Ertd443e	128
Tlcd2	0
Bend5	110
Cbwd1	331
Lrch2	955
Zdhhc6	680
Cbx3	914
Fndc4	1953
Slc25a28	675
Gbp4	57
Cdkl3	315
Mir6410	0
Etfrf1	401
Gm10549	0
Atn1	8673
Zfp111	372
Sema3b	120
Rbm43	311
S100a3	7
Kif18b	16
Hsh2d	1
Sgsm2	3685
Sem1	841
Shd	213
Lcp1	290
H2-Q7	0
Gjb5	0
Rnps1	2524
Gpr83	452
Cyp2d9	1
Rab23	804
Ext2	832
Scin	46
Clec11a	129
Scg2	6637
Map7d2	5342
Tectb	3
Spata3	8
Ola1	4149
Lrrc46	33
Tmigd3	3
Dpep2	1
Slc25a51	3463
Ubald2	2
6720489N17Rik	98
Zfp703	774
Slc35g2	308
Clasp2	7602
Pak6	1187
Smim19	360
Heph	213
Rhox2a	0
Cd209b	1
Prame	0
Mgam	0
Sh3d19	977
Dab2	399
Arhgap44	4599
Ppp1r32	56
Tead3	70
Ctps2	712
Gps1	2204
Cdh16	0
Shmt2	572
Ncor1	12746
Dhrs3	306
Rs1	6
Rps7	2103
Klk5	3
Gm4719	0
D030068K23Rik	60
Gm21828	0
Gm15880	0
4930547E08Rik	5
Mpig6b	3
Lgi1	5016
Cep131	752
Masp1	258
Ascl1	270
Mas1	1316
Mapkapk2	514
Ppp2r5c	5355
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	539
Them5	1
Utp23	241
Ppcs	74
Mrpl19	645
Hormad1	0
Tctn2	368
Tppp3	876
Ooep	4
U2surp	2750
Foxi1	0
Plekhj1	570
Mir344-2	2
Mir465b-2	0
Mir465b-1	0
Cux1	1260
Gm45927	0
Mpv17	1105
Ankrd23	129
Hsf3	3
Radil	255
Gm10653	3
Tubb2a-ps2	1
Nanog	0
Nit1	671
Rnf25	872
Tmem33	3115
Slc6a18	0
Cd300lg	22
Osgin1	15
1110017D15Rik	47
Krtap21-1	0
Olfr1215	0
Snora65	30
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	13988
Evi2b	0
Stk35	828
Pex26	317
Stard7	2088
Stat5b	467
Ubac1	839
Stat5a	56
Eva1c	33
Dab1	4674
Gpx6	0
Clba1	156
Ifi27l2b	1
Mical3	3115
Gm10516	174
Cilk1	1128
Slc38a10	1768
Zfp451	759
Bloc1s4	278
Abhd17c	1028
Acad10	66
Snx10	2509
Sh2d4a	3
Metrn	619
Rab43	613
Abcb8	845
D14Ertd670e	0
Optn	377
Sidt2	2221
Pum1	4136
Oxr1	6929
Gm11545	2
Cyp3a59	1
Zfat	238
4933402J10Rik	0
Mecp2	5791
Efcab12	120
Klrb1	0
Gnb1l	62
Ap1b1	3757
Gm14308	0
Tbc1d4	315
B4galnt1	2493
Nat8f7	0
Oxtr	143
Prickle2	13073
Gm2381	0
Gpr161	3827
Gm4297	0
Gm2030	0
Gm5934	0
Gm10488	0
Carmil1	876
Mir3059	0
Myo1b	349
Rngtt	1005
Larp4b	2430
Sh2b3	702
Gm7827	5
Ap4s1	718
Ntng2	637
Stk26	204
LOC666331	0
Mir297a-4	0
Mir6974	0
Ubap2l	5546
Tsen34	805
Sct	0
Nup98	1312
Nbr1	5494
Fen1	207
Xpo6	2650
Bak1	388
Mybl2	19
Vamp2	34371
Vamp1	2660
Ahi1	6710
Arpc4	2209
Ackr2	41
Agxt	0
Vps8	1477
H2-Ob	6
Mapk10	13950
Pccb	1355
Bpgm	1808
2310057M21Rik	546
Ubr7	993
Grifin	0
Lbh	1004
Hspa13	1379
Tspyl4	14289
Atp12a	2
Cutc	117
Sprtn	550
Prkd2	164
Proz	336
Ube2d2a	2441
Tdo2	216
Sult1b1	0
Polr3k	817
Tsc22d4	1509
Asb3	423
Mmp10	0
Gm14819	0
Wdr72	10
Eefsec	488
Ccdc57	272
Arhgap4	159
Mtf2	1069
Cxxc5	1658
Nmnat3	43
St3gal6	274
Rock1	1245
Atpif1	1999
Hyal1	246
Kitl	574
Krba1	1266
Gm4303	0
Pik3cd	831
Gm16405	0
Nfe2l1	8098
Btbd6	1138
Gm16381	0
Lpp	458
Gucy2d	1
Wac	4673
Setdb1	1446
Chn2	746
Rnpep	1027
Pcdh15	326
Kcnt1	796
2810459M11Rik	307
Gm10548	30
Yars2	266
Nudt12os	0
Fam49b	3624
Gm15093	0
Cacna1g	1488
Bcar1	2177
Crhr2	51
Iapp	0
Elavl4	1918
Gm19466	1
Gm4262	2
4930556M19Rik	16
1700026F02Rik	0
Mir7006	0
Kdm6a	1150
Mettl1	171
Aanat	8
Dnajc2	878
Mid1	238
Bcl11a	5658
Tpx2	100
1700001G11Rik	1
Mad2l1bp	99
Tars2	795
Mrps34	639
Pycard	41
Ints12	315
Mybphl	2
Trnau1ap	218
Krt20	30
Rreb1	3174
Ipcef1	980
Gnpda1	457
Ksr1	6818
Thbs3	756
Sart1	1821
Cuta	594
Syt17	1419
Amdhd2	216
Dgkk	14
Gprasp1	12106
Zfp7	216
Fam178b	2
Syce2	84
Tekt4	25
Ccl21d	0
Vezt	1706
Stil	12
Tbl2	901
Rrm2	53
St6galnac2	148
St3gal1	1150
Zfp317	705
Pdia6	4164
Mrpl1	448
Dcaf7	5461
Pdilt	2
Fendrr	22
Ccdc163	62
2410004B18Rik	406
Disp3	1397
Ccdc34	321
Rabggtb	1145
Mir17	0
Pex11b	748
Dand5	288
Mir22hg	391
Mir467a-4	0
AU019990	0
Mrps12	724
Exoc1	1354
4933417G07Rik	0
Gm10649	118
Nkx6-2	262
Lrrc75a	184
Slc23a2	3498
Atg13	2254
Gm13289	0
Setd2	2820
Nhsl1	2188
Ctsj	0
Cops7a	3567
Cops6	1582
Rpl21	5686
Derl3	50
Kctd18	320
D330050G23Rik	39
Inppl1	1003
Trp63	61
Mocs2	1053
Rnf34	1388
Ttc39a	19
Tmc7	503
Nkd2	333
Matn2	2278
Tmub1	365
Folh1	231
Stk32b	155
Sdf2l1	355
Ulk2	3591
Rhbg	0
Gm14204	102
Gm19277	0
Mir6404	0
Ralgps2	2099
Vmn2r95	0
Tiam1	4585
Ypel1	559
Klhl22	1910
Ndrg2	15758
Man2c1	1605
Gm14430	0
Setd6	265
Sis	3
Porcn	1842
Gm12250	7
Satb2	628
Mark3	2032
Itgb3	40
Zkscan3	617
Ripk4	10
Pde1a	5881
Enpp4	934
Gimap8	35
Igsf1	167
Fbf1	2437
Atraid	881
Mir496b	0
Dock9	12578
Wdr76	80
Crtac1	1680
Gm38402	4
Paqr7	1586
Phf23	848
Ms4a8a	0
Olfr1053	0
Tpm1	6137
Gramd4	935
Polk	312
Syne1	19142
Dbi	2456
Daxx	563
Cyp1a1	0
Cyp11b2	0
Cyp46a1	3848
Oog3	0
Eif4ebp3	114
Mprip	12263
Mir6411	0
Grin3a	645
Epc1	1275
Dnm1l	7052
Exoc3l4	36
