Geneid	RNA STAR on KT011: mapped.bam
Zc3h14	1602
Troap	6
Clca2	0
1810013L24Rik	786
Srsf7	1999
Fignl2	14
Sema6a	1002
Anapc15	209
Misp3	8
Nmb	42
Tcerg1	1725
Zfp712	118
Fam129c	85
Atp5g3	2357
Pifo	21
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2241
Tlr3	237
Olfr1444	0
Olfr150	0
Ifi44	9
Trafd1	1338
Erfl	1
Krt80	11
Armc8	1495
Ppil4	1339
C530005A16Rik	79
Katnbl1	250
Gm21693	0
Spag9	6958
Gm5860	0
Taz	546
Gfpt1	1513
Abcc5	3636
Kcnmb4	402
Gm4013	5
Hpcal1	683
Tbc1d31	214
Tmem176b	424
Mir5110	0
Mir5108	0
Cyp3a13	27
Akap7	801
Ablim1	2302
Lcn5	0
Ulk1	2346
Cyp4b1	5
Golga3	1514
Mir1193	0
Wdyhv1	226
Traf1	26
Atoh1	0
Rxra	720
Dapk3	753
Mir7002	0
Mir6998	3
Ap3m2	2738
Sirt2	4795
Inhbc	0
Slit3	1070
Cts3	0
Olfr74	0
Dcakd	2300
Vps35l	1186
Cyhr1	3244
Taf10	622
Hagh	1589
Ogfod3	96
Syn1	23653
Glyatl3	0
Slx	0
Ccl27a	1001
Sqor	69
Fundc2	643
Rab5if	673
H1f5	6
Ankrd2	13
Pop4	561
Carnmt1	40
Iqcm	6
Clcc1	441
Magea2	0
Ilf3	2173
Tpd52l2	963
Arhgap25	41
Banf1	972
Tbc1d23	700
4930473A02Rik	67
Pard3	820
Rorc	80
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2195
Pex5l	7051
Mtmr1	1566
Mtor	2039
Zfp758	292
Plekhh2	316
Adgrl3	2302
Golga5	592
Plekhb1	17567
Nufip1	309
Gm9866	273
Smap1	1087
Tepp	0
Acox2	6
Hars2	510
Gpa33	0
Sdhb	2279
Gmpr	1168
Krt90	8
Me1	1234
Klk11	7
Magt1	410
Mcam	553
Pbld1	0
Tab2	2464
Mettl27	161
Trmt1	1570
Vps37c	648
Sec23a	2451
Rara	657
Med1	988
Ap5b1	41
Bag5	1027
Pdcd2l	213
Ctcf	1827
Mnd1	6
Tktl1	0
Lix1	1231
Ctnnbl1	864
Snph	14137
Raet1e	0
Ppm1m	319
Prkar1a	12579
Slc27a3	193
Impdh2	841
Tiprl	831
Uaca	157
Smim31	0
Calca	5
Mir6402	0
Phf3	2576
F930015N05Rik	22
9330020H09Rik	34
Gm13884	0
Gm7443	1
Ube2q2	1104
Rfx3	3106
Bri3	622
Fbxo27	318
Eps15l1	1661
Tmprss15	0
Max	1857
Ttc8	545
Vti1b	2176
Cpsf3	901
Nlgn1	1680
Casq2	23
Pidd1	30
Asb4	6
Orc4	857
Mapkbp1	1374
Mospd1	190
Banf2	0
Dclk1	11228
Gpcpd1	1717
Sinhcaf	8
Acbd5	2142
Mir7073	0
Myo7a	447
4930548K13Rik	1
Luc7l2	4734
Dnah8	15
Evc	352
Shroom2	1976
1500009C09Rik	1540
Kmt2e	4014
Setd5	2370
Pcyox1	1982
Arpp21	3293
Iyd	105
Mir7077	0
Smim4	73
Smc6	1142
Nsmf	25994
Hmbs	359
Slc35b1	874
Mir7081	0
Synj2	1968
Suds3	2473
Ptk2b	31470
Gfm2	688
Rlim	1341
Ddt	411
Epha3	313
Gatad2a	988
Shc1	180
Anks1b	10424
Cdk6	75
Cdk5r2	6028
Cdk5r1	5444
Kdm1a	1057
Olfr192	0
Scaf4	1297
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	606
Morc2a	1108
Atp6v1c2	16
C5ar1	9
Map1a	33039
Gja5	5
Runx2	617
Gja3	15
Ackr3	332
Socs1	11
Sort1	19432
Rangrf	196
Phyhd1	330
Slc4a9	8
Specc1	3450
Gtf2a2	495
Deaf1	1352
Mtarc1	8
Set	3892
Glra3	15
Dnhd1	141
Tmem247	0
Pgpep1l	23
Notch3	194
Gtsf1l	0
Chml	97
Rnf212	0
Tceal8	1215
Olfr935	0
Gm5087	10
Slco6b1	0
Ranbp3	1576
Parp6	3278
Gng10	835
Mrps18b	226
D16Ertd472e	457
2310039H08Rik	63
Rps10	1655
Arih1	2743
Dancr	64
9530026P05Rik	13
Itgal	5
Mir6408	0
Sirt6	518
Rgs12	768
Gm10681	0
Hfe	64
Tdrd7	592
Mir1298	0
Ak2	615
Znhit1	1075
Prx	19
4930509K18Rik	0
Zxdb	179
Alas2	42
Fiz1	467
Doxl1	0
Serpinh1	364
Vmn2r65	0
Myh3	13
Grm5	5615
Apol7e	0
Vill	5
1700123O12Rik	0
Ins2	0
Wnk1	7381
Tex14	9
Zbtb37	91
Egfem1	256
Eya1	357
Adgrg2	23
Nkain3	148
Cd2bp2	2359
Sapcd2	28
Kcng2	656
Tecr	8603
Asmt	1
Tfg	1492
Gm12530	2
A930017M01Rik	196
Trpm3	2490
Trpc4	887
Gm14296	0
Mtarc2	482
Itih5	700
Adcy4	75
Mical1	160
Zc3hav1l	175
Lrch4	0
Gbp5	61
Wnk2	2745
Sec22a	220
Ahsa2	591
Tfeb	212
Tgm1	10
Dynlt1f	4
D7Ertd443e	169
Tlcd2	0
Bend5	90
Cbwd1	262
Lrch2	567
Zdhhc6	599
Cbx3	763
Fndc4	1835
Slc25a28	778
Gbp4	28
Cdkl3	282
Mir6410	0
Etfrf1	374
Gm10549	1
Atn1	6339
Zfp111	275
Sema3b	50
Rbm43	211
S100a3	1
Kif18b	7
Hsh2d	0
Sgsm2	3739
Sem1	869
Shd	195
Lcp1	104
H2-Q7	0
Gjb5	0
Rnps1	2551
Gpr83	364
Cyp2d9	0
Rab23	741
Ext2	646
Scin	28
Clec11a	102
Scg2	4180
Map7d2	3349
Tectb	6
Spata3	19
Ola1	3304
Lrrc46	21
Tmigd3	3
Dpep2	0
Slc25a51	3009
Ubald2	4
6720489N17Rik	112
Zfp703	551
Slc35g2	178
Clasp2	5477
Pak6	1002
Smim19	350
Heph	136
Rhox2a	0
Cd209b	0
Prame	0
Mgam	0
Sh3d19	602
Dab2	137
Arhgap44	3753
Ppp1r32	78
Tead3	52
Ctps2	562
Gps1	2140
Cdh16	0
Shmt2	570
Ncor1	8007
Dhrs3	239
Rs1	8
Rps7	2951
Klk5	0
Gm4719	0
D030068K23Rik	26
Gm21828	0
Gm15880	0
4930547E08Rik	2
Mpig6b	0
Lgi1	4929
Cep131	683
Masp1	189
Ascl1	199
Mas1	1264
Mapkapk2	390
Ppp2r5c	4877
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	659
Them5	0
Utp23	226
Ppcs	55
Mrpl19	550
Hormad1	0
Tctn2	271
Tppp3	1812
Ooep	0
U2surp	1892
Foxi1	0
Plekhj1	721
Mir344-2	5
Mir465b-2	0
Mir465b-1	0
Cux1	1112
Gm45927	5
Mpv17	983
Ankrd23	128
Hsf3	2
Radil	187
Gm10653	4
Tubb2a-ps2	0
Nanog	0
Nit1	518
Rnf25	980
Tmem33	2226
Slc6a18	0
Cd300lg	9
Osgin1	5
1110017D15Rik	87
Krtap21-1	0
Olfr1215	0
Snora65	28
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	12612
Evi2b	0
Stk35	647
Pex26	225
Stard7	2030
Stat5b	346
Ubac1	890
Stat5a	50
Eva1c	25
Dab1	3916
Gpx6	1
Clba1	157
Ifi27l2b	2
Mical3	2074
Gm10516	150
Cilk1	985
Slc38a10	1585
Zfp451	526
Bloc1s4	261
Abhd17c	1012
Acad10	79
Snx10	1872
Sh2d4a	4
Metrn	817
Rab43	575
Abcb8	698
D14Ertd670e	0
Optn	262
Sidt2	1775
Pum1	3375
Oxr1	3910
Gm11545	0
Cyp3a59	0
Zfat	189
4933402J10Rik	0
Mecp2	3831
Efcab12	129
Klrb1	0
Gnb1l	63
Ap1b1	3265
Gm14308	0
Tbc1d4	183
B4galnt1	2325
Nat8f7	0
Oxtr	135
Prickle2	8963
Gm2381	0
Gpr161	2030
Gm4297	0
Gm2030	0
Gm5934	0
Gm10488	0
Carmil1	753
Mir3059	0
Myo1b	196
Rngtt	737
Larp4b	1949
Sh2b3	620
Gm7827	7
Ap4s1	649
Ntng2	705
Stk26	168
LOC666331	0
Mir297a-4	0
Mir6974	0
Ubap2l	3874
Tsen34	876
Sct	1
Nup98	850
Nbr1	3757
Fen1	182
Xpo6	2162
Bak1	438
Mybl2	15
Vamp2	26088
Vamp1	2258
Ahi1	4598
Arpc4	2477
Ackr2	34
Agxt	0
Vps8	843
H2-Ob	4
Mapk10	10766
Pccb	1112
Bpgm	1880
2310057M21Rik	394
Ubr7	692
Grifin	1
Lbh	969
Hspa13	929
Tspyl4	9329
Atp12a	0
Cutc	84
Sprtn	413
Prkd2	129
Proz	301
Ube2d2a	2151
Tdo2	188
Sult1b1	0
Polr3k	644
Tsc22d4	1957
Asb3	326
Mmp10	0
Gm14819	0
Wdr72	1
Eefsec	468
Ccdc57	271
Arhgap4	110
Mtf2	966
Cxxc5	1689
Nmnat3	22
St3gal6	143
Rock1	860
Atpif1	2278
Hyal1	135
Kitl	379
Krba1	1037
Gm4303	0
Pik3cd	638
Gm16405	0
