Geneid	RNA STAR on KT012: mapped.bam
Zc3h14	1798
Troap	6
Clca2	0
1810013L24Rik	878
Srsf7	2146
Fignl2	41
Sema6a	1161
Anapc15	306
Misp3	8
Nmb	114
Tcerg1	2007
Zfp712	119
Fam129c	112
Atp5g3	3099
Pifo	5
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	3387
Tlr3	194
Olfr1444	0
Olfr150	0
Ifi44	16
Trafd1	1747
Erfl	2
Krt80	0
Armc8	1850
Ppil4	1446
C530005A16Rik	69
Katnbl1	393
Gm21693	0
Spag9	7042
Gm5860	1
Taz	832
Gfpt1	1663
Abcc5	4087
Kcnmb4	478
Gm4013	10
Hpcal1	798
Tbc1d31	227
Tmem176b	384
Mir5110	1
Mir5108	0
Cyp3a13	59
Akap7	1079
Ablim1	2477
Lcn5	0
Ulk1	2690
Cyp4b1	4
Golga3	1591
Mir1193	0
Wdyhv1	292
Traf1	27
Atoh1	0
Rxra	755
Dapk3	1203
Mir7002	0
Mir6998	3
Ap3m2	2777
Sirt2	6071
Inhbc	0
Slit3	878
Cts3	0
Olfr74	0
Dcakd	3470
Vps35l	1464
Cyhr1	4265
Taf10	1010
Hagh	2117
Ogfod3	124
Syn1	38381
Glyatl3	0
Slx	0
Ccl27a	1640
Sqor	59
Fundc2	916
Rab5if	1058
H1f5	1
Ankrd2	14
Pop4	685
Carnmt1	61
Iqcm	6
Clcc1	551
Magea2	0
Ilf3	2434
Tpd52l2	1346
Arhgap25	33
Banf1	1450
Tbc1d23	892
4930473A02Rik	114
Pard3	897
Rorc	111
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2792
Pex5l	7730
Mtmr1	1728
Mtor	2570
Zfp758	414
Plekhh2	379
Adgrl3	2634
Golga5	675
Plekhb1	19117
Nufip1	433
Gm9866	330
Smap1	922
Tepp	0
Acox2	0
Hars2	637
Gpa33	0
Sdhb	3151
Gmpr	1825
Krt90	7
Me1	1395
Klk11	6
Magt1	425
Mcam	609
Pbld1	2
Tab2	2869
Mettl27	150
Trmt1	2616
Vps37c	766
Sec23a	2538
Rara	1136
Med1	930
Ap5b1	63
Bag5	1268
Pdcd2l	309
Ctcf	2063
Mnd1	8
Tktl1	0
Lix1	1791
Ctnnbl1	1084
Snph	20583
Raet1e	0
Ppm1m	449
Prkar1a	13852
Slc27a3	222
Impdh2	1030
Tiprl	1107
Uaca	190
Smim31	0
Calca	2
Mir6402	0
Phf3	3381
F930015N05Rik	32
9330020H09Rik	55
Gm13884	0
Gm7443	3
Ube2q2	1064
Rfx3	3943
Bri3	1207
Fbxo27	507
Eps15l1	2487
Tmprss15	0
Max	2254
Ttc8	713
Vti1b	2868
Cpsf3	1017
Nlgn1	1906
Casq2	11
Pidd1	51
Asb4	5
Orc4	1063
Mapkbp1	1974
Mospd1	258
Banf2	0
Dclk1	12868
Gpcpd1	1998
Sinhcaf	8
Acbd5	2465
Mir7073	0
Myo7a	483
4930548K13Rik	0
Luc7l2	7413
Dnah8	17
Evc	456
Shroom2	2340
1500009C09Rik	2473
Kmt2e	5438
Setd5	2953
Pcyox1	2161
Arpp21	4107
Iyd	118
Mir7077	0
Smim4	97
Smc6	1222
Nsmf	37066
Hmbs	489
Slc35b1	1069
Mir7081	0
Synj2	2236
Suds3	3376
Ptk2b	38976
Gfm2	894
Rlim	1585
Ddt	563
Epha3	349
Gatad2a	1093
Shc1	233
Anks1b	13504
Cdk6	72
Cdk5r2	9695
Cdk5r1	8302
Kdm1a	1212
Olfr192	0
Scaf4	1864
4930557J02Rik	1
6030466F02Rik	0
Plcxd2	546
Morc2a	1385
Atp6v1c2	15
C5ar1	6
Map1a	55172
Gja5	11
Runx2	941
Gja3	6
Ackr3	359
Socs1	13
Sort1	21663
Rangrf	272
Phyhd1	535
Slc4a9	9
Specc1	3376
Gtf2a2	744
Deaf1	2214
Mtarc1	3
Set	5044
Glra3	30
Dnhd1	259
Tmem247	0
Pgpep1l	24
Notch3	233
Gtsf1l	2
Chml	103
Rnf212	0
Tceal8	1645
Olfr935	0
Gm5087	31
Slco6b1	0
Ranbp3	2273
Parp6	4349
Gng10	1372
Mrps18b	297
D16Ertd472e	473
2310039H08Rik	66
Rps10	2668
Arih1	2637
Dancr	148
9530026P05Rik	20
Itgal	4
Mir6408	0
Sirt6	728
Rgs12	826
Gm10681	0
Hfe	64
Tdrd7	672
Mir1298	0
Ak2	984
Znhit1	1560
Prx	41
4930509K18Rik	0
Zxdb	304
Alas2	63
Fiz1	654
Doxl1	0
Serpinh1	285
Vmn2r65	0
Myh3	20
Grm5	6007
Apol7e	0
Vill	9
1700123O12Rik	0
Ins2	0
Wnk1	8188
Tex14	14
Zbtb37	59
Egfem1	444
Eya1	453
Adgrg2	32
Nkain3	77
Cd2bp2	2440
Sapcd2	36
Kcng2	929
Tecr	11838
Asmt	0
Tfg	1505
Gm12530	1
A930017M01Rik	287
Trpm3	3143
Trpc4	1127
Gm14296	0
Mtarc2	562
Itih5	676
Adcy4	63
Mical1	249
Zc3hav1l	179
Lrch4	0
Gbp5	55
Wnk2	3605
Sec22a	255
Ahsa2	523
Tfeb	233
Tgm1	12
Dynlt1f	6
D7Ertd443e	125
Tlcd2	5
Bend5	199
Cbwd1	272
Lrch2	581
Zdhhc6	739
Cbx3	724
Fndc4	2620
Slc25a28	1142
Gbp4	41
Cdkl3	378
Mir6410	0
Etfrf1	458
Gm10549	2
Atn1	8966
Zfp111	280
Sema3b	21
Rbm43	272
S100a3	8
Kif18b	8
Hsh2d	3
Sgsm2	5565
Sem1	1252
Shd	277
Lcp1	40
H2-Q7	0
Gjb5	0
Rnps1	3081
Gpr83	321
Cyp2d9	0
Rab23	868
Ext2	710
Scin	16
Clec11a	157
Scg2	3496
Map7d2	3905
Tectb	11
Spata3	24
Ola1	3778
Lrrc46	46
Tmigd3	3
Dpep2	1
Slc25a51	3846
Ubald2	4
6720489N17Rik	149
Zfp703	660
Slc35g2	198
Clasp2	6647
Pak6	1703
Smim19	509
Heph	182
Rhox2a	0
Cd209b	0
Prame	0
Mgam	0
Sh3d19	526
Dab2	159
Arhgap44	4700
Ppp1r32	63
Tead3	81
Ctps2	729
Gps1	2444
Cdh16	0
Shmt2	821
Ncor1	9504
Dhrs3	315
Rs1	4
Rps7	4978
Klk5	1
Gm4719	0
D030068K23Rik	20
Gm21828	0
Gm15880	5
4930547E08Rik	5
Mpig6b	0
Lgi1	6766
Cep131	1097
Masp1	215
Ascl1	309
Mas1	1458
Mapkapk2	416
Ppp2r5c	6559
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	950
Them5	0
Utp23	322
Ppcs	80
Mrpl19	682
Hormad1	0
Tctn2	322
Tppp3	1661
Ooep	0
U2surp	2452
Foxi1	0
Plekhj1	1114
Mir344-2	0
Mir465b-2	0
Mir465b-1	0
Cux1	1403
Gm45927	0
Mpv17	1463
Ankrd23	237
Hsf3	7
Radil	279
Gm10653	1
Tubb2a-ps2	2
Nanog	0
Nit1	689
Rnf25	1569
Tmem33	2020
Slc6a18	0
Cd300lg	5
Osgin1	8
1110017D15Rik	93
Krtap21-1	0
Olfr1215	0
Snora65	59
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	19120
Evi2b	0
Stk35	753
Pex26	269
Stard7	2472
Stat5b	385
Ubac1	1199
Stat5a	67
Eva1c	44
Dab1	5161
Gpx6	4
Clba1	180
Ifi27l2b	0
Mical3	2732
Gm10516	245
Cilk1	1069
Slc38a10	2081
Zfp451	601
Bloc1s4	316
Abhd17c	1611
Acad10	100
Snx10	1835
Sh2d4a	5
Metrn	1159
Rab43	794
Abcb8	1037
D14Ertd670e	0
Optn	237
Sidt2	2425
Pum1	4589
Oxr1	3075
Gm11545	0
Cyp3a59	0
Zfat	272
4933402J10Rik	1
Mecp2	4821
Efcab12	160
Klrb1	0
Gnb1l	93
Ap1b1	4260
Gm14308	0
Tbc1d4	131
B4galnt1	3130
Nat8f7	2
Oxtr	98
Prickle2	10248
Gm2381	0
Gpr161	2292
Gm4297	0
Gm2030	0
Gm5934	0
Gm10488	0
Carmil1	1042
Mir3059	0
Myo1b	152
Rngtt	676
Larp4b	2321
Sh2b3	780
Gm7827	7
Ap4s1	857
Ntng2	1382
Stk26	131
LOC666331	0
Mir297a-4	0
Mir6974	0
Ubap2l	4633
Tsen34	1230
Sct	1
Nup98	1086
Nbr1	4027
Fen1	236
Xpo6	2826
Bak1	606
Mybl2	29
Vamp2	34190
Vamp1	2791
Ahi1	4750
Arpc4	3228
Ackr2	40
Agxt	2
Vps8	957
H2-Ob	2
Mapk10	13619
Pccb	1354
Bpgm	2131
2310057M21Rik	483
Ubr7	877
Grifin	1
Lbh	977
Hspa13	953
Tspyl4	9928
Atp12a	0
Cutc	86
Sprtn	520
Prkd2	148
Proz	409
Ube2d2a	2584
Tdo2	206
Sult1b1	0
Polr3k	775
Tsc22d4	2458
Asb3	264
Mmp10	0
Gm14819	0
Wdr72	0
Eefsec	726
Ccdc57	448
Arhgap4	158
Mtf2	1437
Cxxc5	2704
Nmnat3	30
St3gal6	74
Rock1	849
Atpif1	3096
Hyal1	112
Kitl	296
Krba1	1726
Gm4303	0
Pik3cd	708
Gm16405	0
Nfe2l1	7637
Btbd6	1819
Gm16381	0
Lpp	354
Gucy2d	0
Wac	3387
Setdb1	1302
Chn2	669
Rnpep	1478
Pcdh15	126
Kcnt1	718
2810459M11Rik	360
Gm10548	31
Yars2	264
Nudt12os	0
Fam49b	3485
Gm15093	0
Cacna1g	1491
Bcar1	2543
Crhr2	42
Iapp	0
Elavl4	1341
Gm19466	0
Gm4262	0
4930556M19Rik	2
