Geneid	RNA STAR on KT013: mapped.bam
Zc3h14	1577
Troap	17
Clca2	0
1810013L24Rik	969
Srsf7	2299
Fignl2	58
Sema6a	1468
Anapc15	305
Misp3	13
Nmb	94
Tcerg1	1780
Zfp712	123
Fam129c	109
Atp5g3	3099
Pifo	38
Olfr1045	0
Olfr1049	0
Vsx1	4
Fyco1	3071
Tlr3	259
Olfr1444	0
Olfr150	0
Ifi44	2
Trafd1	1722
Erfl	0
Krt80	12
Armc8	1654
Ppil4	1190
C530005A16Rik	96
Katnbl1	290
Gm21693	0
Spag9	7192
Gm5860	7
Taz	895
Gfpt1	1549
Abcc5	4318
Kcnmb4	630
Gm4013	17
Hpcal1	759
Tbc1d31	222
Tmem176b	534
Mir5110	0
Mir5108	0
Cyp3a13	80
Akap7	921
Ablim1	2883
Lcn5	0
Ulk1	2497
Cyp4b1	3
Golga3	1559
Mir1193	0
Wdyhv1	307
Traf1	58
Atoh1	0
Rxra	878
Dapk3	1114
Mir7002	0
Mir6998	2
Ap3m2	2771
Sirt2	7549
Inhbc	0
Slit3	782
Cts3	0
Olfr74	0
Dcakd	2752
Vps35l	1535
Cyhr1	4339
Taf10	1004
Hagh	2032
Ogfod3	151
Syn1	31120
Glyatl3	0
Slx	0
Ccl27a	1434
Sqor	117
Fundc2	814
Rab5if	904
H1f5	4
Ankrd2	6
Pop4	674
Carnmt1	60
Iqcm	14
Clcc1	532
Magea2	0
Ilf3	2390
Tpd52l2	1365
Arhgap25	105
Banf1	1405
Tbc1d23	858
4930473A02Rik	113
Pard3	783
Rorc	165
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2679
Pex5l	6662
Mtmr1	1483
Mtor	2392
Zfp758	354
Plekhh2	457
Adgrl3	1989
Golga5	718
Plekhb1	28368
Nufip1	394
Gm9866	288
Smap1	1096
Tepp	1
Acox2	2
Hars2	632
Gpa33	0
Sdhb	3105
Gmpr	1692
Krt90	14
Me1	1390
Klk11	4
Magt1	672
Mcam	995
Pbld1	3
Tab2	2796
Mettl27	148
Trmt1	2286
Vps37c	703
Sec23a	2278
Rara	1015
Med1	1021
Ap5b1	46
Bag5	1100
Pdcd2l	249
Ctcf	2121
Mnd1	6
Tktl1	0
Lix1	1549
Ctnnbl1	998
Snph	15958
Raet1e	0
Ppm1m	466
Prkar1a	13033
Slc27a3	240
Impdh2	1159
Tiprl	972
Uaca	221
Smim31	0
Calca	11
Mir6402	0
Phf3	2892
F930015N05Rik	10
9330020H09Rik	55
Gm13884	0
Gm7443	0
Ube2q2	1072
Rfx3	3653
Bri3	1258
Fbxo27	437
Eps15l1	1993
Tmprss15	0
Max	2255
Ttc8	652
Vti1b	2729
Cpsf3	1062
Nlgn1	1516
Casq2	33
Pidd1	68
Asb4	14
Orc4	988
Mapkbp1	1649
Mospd1	258
Banf2	0
Dclk1	10783
Gpcpd1	1734
Sinhcaf	22
Acbd5	2417
Mir7073	0
Myo7a	665
4930548K13Rik	0
Luc7l2	6329
Dnah8	19
Evc	482
Shroom2	2373
1500009C09Rik	2517
Kmt2e	4538
Setd5	2876
Pcyox1	2175
Arpp21	3919
Iyd	228
Mir7077	0
Smim4	123
Smc6	1251
Nsmf	34390
Hmbs	540
Slc35b1	1102
Mir7081	0
Synj2	1936
Suds3	2996
Ptk2b	35293
Gfm2	750
Rlim	1517
Ddt	588
Epha3	264
Gatad2a	1249
Shc1	236
Anks1b	10214
Cdk6	104
Cdk5r2	7236
Cdk5r1	7189
Kdm1a	1240
Olfr192	0
Scaf4	1726
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	620
Morc2a	1330
Atp6v1c2	11
C5ar1	4
Map1a	43811
Gja5	14
Runx2	717
Gja3	17
Ackr3	435
Socs1	12
Sort1	20017
Rangrf	289
Phyhd1	681
Slc4a9	6
Specc1	3505
Gtf2a2	660
Deaf1	2075
Mtarc1	2
Set	4483
Glra3	9
Dnhd1	213
Tmem247	0
Pgpep1l	24
Notch3	284
Gtsf1l	3
Chml	113
Rnf212	0
Tceal8	1409
Olfr935	0
Gm5087	11
Slco6b1	4
Ranbp3	2312
Parp6	3753
Gng10	1151
Mrps18b	288
D16Ertd472e	649
2310039H08Rik	129
Rps10	2433
Arih1	2516
Dancr	111
9530026P05Rik	15
Itgal	4
Mir6408	0
Sirt6	661
Rgs12	1083
Gm10681	0
Hfe	119
Tdrd7	671
Mir1298	0
Ak2	888
Znhit1	1365
Prx	34
4930509K18Rik	0
Zxdb	215
