Geneid	RNA STAR on KT014: mapped.bam
Zc3h14	1861
Troap	12
Clca2	0
1810013L24Rik	979
Srsf7	2781
Fignl2	83
Sema6a	1140
Anapc15	281
Misp3	8
Nmb	173
Tcerg1	2140
Zfp712	147
Fam129c	196
Atp5g3	3186
Pifo	33
Olfr1045	0
Olfr1049	0
Vsx1	4
Fyco1	4914
Tlr3	422
Olfr1444	0
Olfr150	0
Ifi44	4
Trafd1	2187
Erfl	7
Krt80	8
Armc8	1947
Ppil4	1389
C530005A16Rik	89
Katnbl1	388
Gm21693	0
Spag9	7289
Gm5860	0
Taz	1263
Gfpt1	1614
Abcc5	7359
Kcnmb4	551
Gm4013	21
Hpcal1	769
Tbc1d31	297
Tmem176b	696
Mir5110	0
Mir5108	0
Cyp3a13	68
Akap7	977
Ablim1	3037
Lcn5	0
Ulk1	3016
Cyp4b1	3
Golga3	1523
Mir1193	0
Wdyhv1	372
Traf1	38
Atoh1	0
Rxra	978
Dapk3	1306
Mir7002	0
Mir6998	13
Ap3m2	2750
Sirt2	7188
Inhbc	1
Slit3	915
Cts3	0
Olfr74	0
Dcakd	3215
Vps35l	1593
Cyhr1	4800
Taf10	1094
Hagh	2236
Ogfod3	169
Syn1	32763
Glyatl3	0
Slx	0
Ccl27a	2071
Sqor	104
Fundc2	726
Rab5if	881
H1f5	2
Ankrd2	5
Pop4	678
Carnmt1	64
Iqcm	18
Clcc1	642
Magea2	0
Ilf3	2906
Tpd52l2	1612
Arhgap25	50
Banf1	1593
Tbc1d23	1034
4930473A02Rik	180
Pard3	939
Rorc	216
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2915
Pex5l	6764
Mtmr1	1955
Mtor	2500
Zfp758	324
Plekhh2	554
Adgrl3	2230
Golga5	823
Plekhb1	22961
Nufip1	428
Gm9866	319
Smap1	1052
Tepp	2
Acox2	8
Hars2	884
Gpa33	0
Sdhb	3066
Gmpr	1639
Krt90	11
Me1	1524
Klk11	8
Magt1	687
Mcam	820
Pbld1	5
Tab2	2843
Mettl27	151
Trmt1	3159
Vps37c	875
Sec23a	2306
Rara	1140
Med1	1222
Ap5b1	61
Bag5	1121
Pdcd2l	297
Ctcf	1996
Mnd1	11
Tktl1	4
Lix1	1591
Ctnnbl1	996
Snph	19862
Raet1e	0
Ppm1m	517
Prkar1a	13068
Slc27a3	462
Impdh2	1188
Tiprl	1063
Uaca	219
Smim31	2
Calca	4
Mir6402	0
Phf3	3597
F930015N05Rik	26
9330020H09Rik	78
Gm13884	0
Gm7443	0
Ube2q2	1033
Rfx3	4686
Bri3	1309
Fbxo27	594
Eps15l1	2934
Tmprss15	0
Max	2395
Ttc8	1005
Vti1b	2787
Cpsf3	1216
Nlgn1	1590
Casq2	35
Pidd1	88
Asb4	8
Orc4	1309
Mapkbp1	2545
Mospd1	343
Banf2	0
Dclk1	12235
Gpcpd1	2159
Sinhcaf	32
Acbd5	2293
Mir7073	0
Myo7a	1049
4930548K13Rik	0
Luc7l2	8681
Dnah8	30
Evc	659
Shroom2	2157
1500009C09Rik	2569
Kmt2e	5827
Setd5	3734
Pcyox1	2136
Arpp21	4412
Iyd	151
Mir7077	0
Smim4	151
Smc6	1292
Nsmf	36600
Hmbs	632
Slc35b1	1305
Mir7081	0
Synj2	2218
Suds3	3452
Ptk2b	38264
Gfm2	1182
Rlim	1620
Ddt	651
Epha3	276
Gatad2a	1307
Shc1	409
Anks1b	11428
Cdk6	159
Cdk5r2	8191
Cdk5r1	7358
Kdm1a	1374
Olfr192	0
Scaf4	2511
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	478
Morc2a	1743
Atp6v1c2	22
C5ar1	8
Map1a	49146
Gja5	3
Runx2	1063
Gja3	18
Ackr3	426
Socs1	21
Sort1	20298
Rangrf	398
Phyhd1	846
Slc4a9	6
Specc1	3754
Gtf2a2	770
Deaf1	2073
Mtarc1	10
Set	4319
Glra3	11
Dnhd1	413
Tmem247	0
Pgpep1l	41
Notch3	344
Gtsf1l	11
Chml	87
Rnf212	1
Tceal8	1442
Olfr935	0
Gm5087	27
Slco6b1	0
Ranbp3	2604
Parp6	4415
Gng10	1225
Mrps18b	269
D16Ertd472e	520
2310039H08Rik	136
Rps10	2464
Arih1	2666
Dancr	163
9530026P05Rik	11
Itgal	4
Mir6408	0
Sirt6	850
Rgs12	941
Gm10681	0
Hfe	161
Tdrd7	696
Mir1298	0
Ak2	1309
Znhit1	1771
Prx	71
4930509K18Rik	0
Zxdb	235
Alas2	95
Fiz1	709
Doxl1	0
Serpinh1	672
Vmn2r65	0
Myh3	29
Grm5	5077
Apol7e	0
Vill	11
1700123O12Rik	0
Ins2	46
Wnk1	9315
Tex14	11
Zbtb37	89
Egfem1	391
Eya1	483
Adgrg2	37
Nkain3	89
Cd2bp2	2826
Sapcd2	43
Kcng2	1031
Tecr	12222
Asmt	1
Tfg	1526
Gm12530	11
A930017M01Rik	282
Trpm3	7389
Trpc4	1092
Gm14296	0
Mtarc2	620
Itih5	643
Adcy4	116
Mical1	320
Zc3hav1l	185
Lrch4	0
Gbp5	39
Wnk2	4230
Sec22a	279
Ahsa2	879
Tfeb	360
Tgm1	21
Dynlt1f	12
D7Ertd443e	187
Tlcd2	10
Bend5	163
Cbwd1	279
Lrch2	550
Zdhhc6	714
Cbx3	714
Fndc4	2880
Slc25a28	1223
Gbp4	31
Cdkl3	353
Mir6410	0
Etfrf1	475
Gm10549	4
Atn1	9336
Zfp111	319
Sema3b	227
Rbm43	314
S100a3	2
Kif18b	14
Hsh2d	1
Sgsm2	5953
Sem1	1074
Shd	351
Lcp1	58
H2-Q7	0
Gjb5	0
Rnps1	3064
Gpr83	350
Cyp2d9	1
Rab23	989
Ext2	795
Scin	33
Clec11a	109
Scg2	3270
Map7d2	3249
Tectb	10
Spata3	31
Ola1	3165
Lrrc46	76
Tmigd3	8
Dpep2	1
Slc25a51	4079
Ubald2	2
6720489N17Rik	178
Zfp703	644
Slc35g2	230
Clasp2	7985
Pak6	1771
Smim19	504
Heph	175
Rhox2a	0
Cd209b	2
Prame	0
Mgam	0
Sh3d19	1103
Dab2	610
Arhgap44	4108
Ppp1r32	127
Tead3	177
Ctps2	849
Gps1	2489
Cdh16	0
Shmt2	960
Ncor1	8990
Dhrs3	517
Rs1	19
Rps7	4319
Klk5	2
Gm4719	0
D030068K23Rik	43
Gm21828	0
Gm15880	7
4930547E08Rik	10
Mpig6b	4
Lgi1	6428
Cep131	1246
Masp1	198
Ascl1	221
Mas1	1478
Mapkapk2	502
Ppp2r5c	5703
Mir450b	0
Gm3448	0
Tbc1d21	1
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	1124
Them5	1
Utp23	314
Ppcs	87
Mrpl19	787
Hormad1	1
Tctn2	467
Tppp3	2238
Ooep	11
U2surp	2616
Foxi1	0
Plekhj1	1293
Mir344-2	0
Mir465b-2	0
Mir465b-1	0
Cux1	1446
Gm45927	5
Mpv17	1669
Ankrd23	385
Hsf3	8
Radil	281
Gm10653	0
Tubb2a-ps2	1
Nanog	2
Nit1	864
Rnf25	1947
Tmem33	2191
Slc6a18	0
Cd300lg	13
Osgin1	23
1110017D15Rik	108
Krtap21-1	0
Olfr1215	0
Snora65	55
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	18000
Evi2b	0
Stk35	902
Pex26	339
Stard7	2712
Stat5b	572
Ubac1	1317
Stat5a	123
Eva1c	62
Dab1	4165
Gpx6	2
Clba1	277
Ifi27l2b	3
Mical3	3319
Gm10516	307
Cilk1	1261
Slc38a10	2078
Zfp451	821
Bloc1s4	264
Abhd17c	1489
Acad10	187
Snx10	1590
Sh2d4a	0
Metrn	1621
Rab43	851
Abcb8	1144
D14Ertd670e	0
Optn	346
Sidt2	2891
Pum1	4285
Oxr1	2800
Gm11545	0
Cyp3a59	0
Zfat	346
4933402J10Rik	0
Mecp2	4762
Efcab12	332
Klrb1	0
Gnb1l	85
Ap1b1	4445
Gm14308	0
Tbc1d4	245
B4galnt1	3360
Nat8f7	0
Oxtr	89
Prickle2	8055
Gm2381	0
Gpr161	2516
Gm4297	0
Gm2030	0
Gm5934	0
Gm10488	0
Carmil1	1167
Mir3059	0
Myo1b	166
Rngtt	639
Larp4b	2473
Sh2b3	968
Gm7827	12
Ap4s1	871
Ntng2	1324
Stk26	179
LOC666331	0
Mir297a-4	0
Mir6974	0
Ubap2l	4615
Tsen34	1271
Sct	1
Nup98	1346
Nbr1	4993
Fen1	245
Xpo6	3261
Bak1	640
Mybl2	45
Vamp2	29209
Vamp1	3251
Ahi1	5561
Arpc4	3080
Ackr2	27
Agxt	0
Vps8	922
H2-Ob	2
Mapk10	10818
Pccb	1397
Bpgm	2045
2310057M21Rik	445
Ubr7	912
Grifin	10
Lbh	1190
Hspa13	724
Tspyl4	8915
Atp12a	0
Cutc	125
Sprtn	673
Prkd2	239
Proz	419
Ube2d2a	2476
Tdo2	175
Sult1b1	0
Polr3k	780
Tsc22d4	2926
Asb3	306
Mmp10	0
Gm14819	0
Wdr72	15
Eefsec	805
Ccdc57	520
Arhgap4	249
Mtf2	1592
Cxxc5	2583
Nmnat3	65
St3gal6	141
Rock1	1163
Atpif1	2677
Hyal1	245
Kitl	363
Krba1	2342
Gm4303	0
Pik3cd	1025
Gm16405	0
Nfe2l1	8506
Btbd6	1814
Gm16381	0
Lpp	316
Gucy2d	0
Wac	3037
Setdb1	1938
Chn2	946
Rnpep	1712
Pcdh15	201
Kcnt1	1011
2810459M11Rik	505
Gm10548	22
Yars2	315
Nudt12os	0
Fam49b	3004
Gm15093	0
Cacna1g	2046
Bcar1	3041
Crhr2	195
Iapp	0
Elavl4	1156
Gm19466	0
Gm4262	1
4930556M19Rik	16
1700026F02Rik	0
Mir7006	0
Kdm6a	751
Mettl1	150
Aanat	16
Dnajc2	918
Mid1	357
Bcl11a	5803
Tpx2	69
1700001G11Rik	13
Mad2l1bp	180
Tars2	1374
Mrps34	1187
Pycard	9
Ints12	242
Mybphl	0
Trnau1ap	360
Krt20	88
Rreb1	4944
Ipcef1	987
Gnpda1	672
Ksr1	6987
Thbs3	1519
Sart1	3044
Cuta	1239
Syt17	1905
Amdhd2	424
Dgkk	7
Gprasp1	10824
Zfp7	219
Fam178b	2
Syce2	148
Tekt4	40
Ccl21d	0
Vezt	1843
Stil	8
Tbl2	791
Rrm2	58
St6galnac2	320
St3gal1	951
Zfp317	769
Pdia6	4522
Mrpl1	487
Dcaf7	5226
Pdilt	1
Fendrr	56
Ccdc163	166
2410004B18Rik	585
Disp3	1988
Ccdc34	554
Rabggtb	1120
Mir17	0
Pex11b	1084
Dand5	417
Mir22hg	580
Mir467a-4	0
AU019990	0
Mrps12	1242
Exoc1	1296
4933417G07Rik	2
Gm10649	78
Nkx6-2	486
Lrrc75a	293
Slc23a2	3647
Atg13	2547
Gm13289	0
Setd2	2365
Nhsl1	1990
Ctsj	0
Cops7a	3695
Cops6	2210
Rpl21	11264
Derl3	112
Kctd18	401
D330050G23Rik	60
Inppl1	1351
Trp63	76
Mocs2	1249
Rnf34	1461
Ttc39a	64
Tmc7	577
Nkd2	191
Matn2	1493
Tmub1	539
Folh1	162
Stk32b	85
Sdf2l1	994
Ulk2	2535
Rhbg	0
Gm14204	135
Gm19277	0
Mir6404	0
Ralgps2	1631
Vmn2r95	0
Tiam1	4870
Ypel1	662
Klhl22	1928
Ndrg2	29417
Man2c1	3531
Gm14430	0
Setd6	564
Sis	2
Porcn	3257
Gm12250	0
Satb2	352
Mark3	2414
Itgb3	35
Zkscan3	1112
Ripk4	23
Pde1a	3121
Enpp4	667
Gimap8	28
Igsf1	227
Fbf1	3795
Atraid	1265
Mir496b	0
Dock9	9024
Wdr76	104
Crtac1	1324
Gm38402	7
Paqr7	2070
Phf23	1392
Ms4a8a	0
Olfr1053	0
Tpm1	5563
Gramd4	1059
Polk	341
Syne1	20362
Dbi	5222
Daxx	742
Cyp1a1	2
Cyp11b2	0
Cyp46a1	6711
Oog3	0
Eif4ebp3	523
Mprip	10771
Mir6411	0
Grin3a	410
Epc1	1694
Dnm1l	5261
Exoc3l4	49
Ccdc121	16
Defb21	0
Klk1	2
Rfc1	938
Rbp4	66
Rbp1	874
Gm1553	0
Esp16	0
Zfp850	136
Tnip1	1080
Smarcd1	4771
Kis2	0
Lpcat1	849
Dnm1	58449
Secisbp2l	4476
Rragd	2073
Lrp8	2914
Hsf4	392
Ampd3	617
Mgst2	2
Sh3bp1	2215
Usf1	2380
Wdr44	406
Adamts10	836
Col26a1	71
C2cd6	2
Gm27775	0
Mir24-1	0
Itpa	1166
Gm2026	0
Rint1	468
Vasp	256
Pla2g4a	58
Igfbp7	548
Gdf5	5
Rgl2	2927
Ptpra	5607
Rabggta	1122
Ccdc186	1046
Slc16a11	685
Timm10b	848
Arvcf	1208
Syt8	0
Kcnj15	0
Palld	260
Csde1	5434
Dctn6	1622
Slc26a1	40
Fgd4	1055
Tpk1	43
Mgme1	246
St7	927
Azin2	621
Rgs21	0
Ddit3	1006
Ltbp1	168
Cc2d2a	953
Dmp1	229
Gpr135	360
Ffar4	0
Aida	1027
Mir6418	0
A730020M07Rik	53
Homer3	1654
Hint3	98
Etfdh	671
Alg6	225
Slc44a5	1152
Tspan2	4951
Rufy3	5306
Als2	1464
Vgll1	0
Nus1	2000
Cttnbp2nl	513
Adamts18	22
Il19	2
Asb18	13
Mettl18	75
Zfp819	10
Tm4sf1	124
Ubap1	1397
1700049E22Rik	0
A730008H23Rik	0
Iqch	21
Slc2a4rg-ps	1029
Retreg1	909
A330048O09Rik	101
Fhl1	2372
Npbwr1	3
Hnrnpf	899
Sfxn4	431
Sfxn3	3246
2310057N15Rik	0
Camsap2	4776
A930033H14Rik	60
Psmc5	4619
Fli1	58
Peg12	2
Mlip	807
Ptx4	2
Cldn10	871
Rad18	93
Mrpl53	779
Tspan11	9
H2al2a	1
Nadsyn1	206
Trim42	0
Lrrc40	746
Spag16	80
Gvin1	0
Hmx1	0
Cxcl11	0
4933439C10Rik	872
Pdcd4	2448
Pik3c2g	2
Krtap4-9	0
Zeb2	7883
BC031181	2375
Scrt2	1704
Cyp39a1	55
Rpap3	479
Iltifb	0
Pmfbp1	0
Armcx3	972
Ccdc153	322
Lama1	53
Fanca	35
Naa30	1178
Ovch2	0
Nkg7	2
Rap1gap	8847
Chchd6	1169
Olfr78	7
Zfp57	417
Rapgef4	24538
Zbed4	136
Gtf2h3	630
Fcgrt	369
Mapk1	12911
Ahcyl1	13123
Cox7b2	8
Rgs17	1014
Mzf1	338
Cdk2ap1	354
Adam34	0
Srcin1	12947
Nphs1	112
Tsnaxip1	74
Phyh	2099
Vdac1	9829
Grb2	5945
Pax7	0
Elane	0
Zcchc18	5300
Smarcd3	1041
Khdc3	38
Rab5a	1812
Slc25a23	28752
Mir6975	0
Olfr15	0
Cd68	106
Sh3kbp1	1109
Mir6980	0
Mir6976	0
Pan3	1615
4930550C14Rik	5
Cobll1	376
Tmsb15a	0
Prl3c1	0
Dguok	701
Rpl3	11844
Cntn6	53
Ap1ar	2030
Barhl1	12
Fmn2	2434
Srfbp1	504
Actrt2	0
Ccdc30	627
Myl12a	632
Stard3nl	685
Xaf1	106
Kansl2	931
Otub1	8814
C2cd5	3218
Capza1	297
Asap1	1835
Alyref	442
Prkacb	7814
A630077J23Rik	12
Scyl2	827
1700095B10Rik	0
Gm12505	0
Fhad1os1	0
Rgs19	668
LOC100125594	0
AY702102	1
Ctbp1	7628
Txndc16	1658
Oxt	9
Mfap2	193
Strit1	0
Ncor2	13010
Slxl1	0
Avpr1b	21
Gm20556	0
4930452N14Rik	0
Fam229a	6
Skint3	0
Ckm	1
Ncan	8205
A830082K12Rik	183
Ablim2	5526
Fgf1	2624
Armt1	628
Ncbp3	531
Slc15a3	10
Ccnc	843
Atp2a3	180
2810004N23Rik	255
Rwdd1	755
Grtp1	57
Podxl	329
A330076C08Rik	36
4930532M18Rik	0
Zfp617	372
C1ql1	244
Bpnt1	1072
Ube3a	2658
Ubb	9074
Tyr	1
Nob1	974
Med21	566
Sostdc1	488
Ftsj3	1199
Gdpd3	71
Tjap1	1344
Mrps7	1311
Stau2	3280
Paqr5	143
Mir6940	0
Mir6939	5
Mir6942	3
Clasp1	2905
Rbm10	3440
Mrgprd	0
Slc41a3	35
Flot2	3208
Ccnyl1	307
Ecm1	377
Cd82	914
Anks1	1221
Syt6	124
Gm20609	0
Dnmt3a	2830
Mpv17l	1985
Pde4dip	6557
Pomgnt2	603
Mir6406	0
Ankrd10	2061
4930504C09Rik	0
Nsg1	3744
Prkar1b	15295
Tmem159	164
Thumpd1	1161
Brdt	478
Adgrv1	118
Ctu1	196
Cpa5	0
Ube2m	5416
Ccdc136	1258
Mrps35	490
Gpr84	10
Eva1a	411
Pcdhgb8	39
Znf41-ps	11
Tmem141	334
Rsph6a	1
Thy1	21162
Thrb	899
Thpo	934
Adam17	566
Prap1	7
Uox	5
Patl2	0
Tmem86a	239
Plce1	363
Gpr21	8
Olfr518	0
Olfr420	0
Olfr1340	0
Aknad1	0
Pde2a	11470
Rhbdf2	80
Mtmr11	255
Rps27l	242
Ppa1	1336
Mfap3l	2059
Ifi30	186
Cpvl	2
Nipbl	1931
Rbm12b1	392
1700029P11Rik	0
Defa29	0
1810012K16Rik	3
Ascl5	0
Nox4	5
Eral1	667
Insm2	6
Nqo2	262
4930526I15Rik	277
4930511M06Rik	19
1110038B12Rik	287
1110020A21Rik	20
Angel2	1664
Cpeb3	1197
Armh3	389
Dhx30	2599
Marchf1	512
Efemp2	323
Mmaa	1316
4933406K04Rik	0
Npy4r	0
Raet1b	0
Gpr12	742
Cstf2	2730
Hap1	3473
Gabra6	0
Ugt1a1	0
Ormdl2	88
Tec	15
Tom1	512
Sgpl1	986
Ang5	0
Hvcn1	145
1700109H08Rik	85
Nmrk2	22
Pi4k2b	83
Rtn4ip1	341
Sdr42e1	200
Ahctf1	1665
Stk31	4
Ctrb1	2
