Geneid	RNA STAR on KT015: mapped.bam
Zc3h14	1623
Troap	8
Clca2	1
1810013L24Rik	922
Srsf7	2056
Fignl2	27
Sema6a	1342
Anapc15	274
Misp3	6
Nmb	98
Tcerg1	1699
Zfp712	135
Fam129c	76
Atp5g3	4092
Pifo	39
Olfr1045	0
Olfr1049	0
Vsx1	4
Fyco1	2324
Tlr3	262
Olfr1444	0
Olfr150	0
Ifi44	6
Trafd1	1617
Erfl	0
Krt80	10
Armc8	1840
Ppil4	1241
C530005A16Rik	88
Katnbl1	348
Gm21693	0
Spag9	6696
Gm5860	1
Taz	858
Gfpt1	1585
Abcc5	3572
Kcnmb4	763
Gm4013	7
Hpcal1	977
Tbc1d31	143
Tmem176b	689
Mir5110	0
Mir5108	0
Cyp3a13	54
Akap7	944
Ablim1	2632
Lcn5	0
Ulk1	2359
Cyp4b1	2
Golga3	1362
Mir1193	3
Wdyhv1	356
Traf1	50
Atoh1	0
Rxra	913
Dapk3	1321
Mir7002	0
Mir6998	1
Ap3m2	2835
Sirt2	8028
Inhbc	0
Slit3	859
Cts3	0
Olfr74	0
Dcakd	2921
Vps35l	1585
Cyhr1	4686
Taf10	1187
Hagh	2405
Ogfod3	187
Syn1	30970
Glyatl3	0
Slx	0
Ccl27a	1273
Sqor	128
Fundc2	904
Rab5if	1011
H1f5	8
Ankrd2	24
Pop4	840
Carnmt1	58
Iqcm	0
Clcc1	586
Magea2	0
Ilf3	2390
Tpd52l2	1388
Arhgap25	73
Banf1	1762
Tbc1d23	712
4930473A02Rik	86
Pard3	811
Rorc	134
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2617
Pex5l	6555
Mtmr1	1607
Mtor	2238
Zfp758	313
Plekhh2	354
Adgrl3	1773
Golga5	742
Plekhb1	31819
Nufip1	419
Gm9866	283
Smap1	1101
Tepp	0
Acox2	9
Hars2	547
Gpa33	0
Sdhb	3903
Gmpr	1959
Krt90	18
Me1	1763
Klk11	10
Magt1	566
Mcam	788
Pbld1	2
Tab2	2454
Mettl27	204
Trmt1	2061
Vps37c	823
Sec23a	2444
Rara	883
Med1	905
Ap5b1	61
Bag5	1213
Pdcd2l	338
Ctcf	1966
Mnd1	18
Tktl1	0
Lix1	1576
Ctnnbl1	979
Snph	15225
Raet1e	0
Ppm1m	435
Prkar1a	13885
Slc27a3	276
Impdh2	1239
Tiprl	1079
Uaca	232
Smim31	0
Calca	3
Mir6402	3
Phf3	2393
F930015N05Rik	22
9330020H09Rik	52
Gm13884	0
Gm7443	0
Ube2q2	1089
Rfx3	3014
Bri3	1330
Fbxo27	344
Eps15l1	1827
Tmprss15	0
Max	2159
Ttc8	638
Vti1b	3051
Cpsf3	1161
Nlgn1	1619
Casq2	18
Pidd1	52
Asb4	9
Orc4	918
Mapkbp1	1483
Mospd1	292
Banf2	0
Dclk1	10969
Gpcpd1	1987
Sinhcaf	11
Acbd5	2350
Mir7073	0
Myo7a	493
4930548K13Rik	0
Luc7l2	5309
Dnah8	23
Evc	361
Shroom2	2285
1500009C09Rik	2723
Kmt2e	3395
Setd5	2504
Pcyox1	2534
Arpp21	3560
Iyd	169
Mir7077	0
Smim4	112
Smc6	1130
Nsmf	35323
Hmbs	540
Slc35b1	1196
Mir7081	0
Synj2	2000
Suds3	3253
Ptk2b	38884
Gfm2	732
Rlim	1500
Ddt	794
Epha3	327
Gatad2a	1249
Shc1	261
Anks1b	10148
Cdk6	63
Cdk5r2	8235
Cdk5r1	7335
Kdm1a	1318
Olfr192	0
Scaf4	1181
4930557J02Rik	0
6030466F02Rik	2
Plcxd2	692
Morc2a	1139
Atp6v1c2	15
C5ar1	12
Map1a	37047
Gja5	6
Runx2	537
Gja3	15
Ackr3	446
Socs1	12
Sort1	20516
Rangrf	331
Phyhd1	500
Slc4a9	2
Specc1	3426
Gtf2a2	682
Deaf1	2078
Mtarc1	1
Set	4816
Glra3	16
Dnhd1	202
Tmem247	0
Pgpep1l	15
Notch3	224
Gtsf1l	5
Chml	105
Rnf212	0
Tceal8	1492
Olfr935	0
Gm5087	18
Slco6b1	0
Ranbp3	2457
Parp6	4159
Gng10	1358
