Geneid	RNA STAR on KT016: mapped.bam
Zc3h14	1428
Troap	7
Clca2	0
1810013L24Rik	880
Srsf7	2245
Fignl2	34
Sema6a	798
Anapc15	226
Misp3	9
Nmb	58
Tcerg1	1880
Zfp712	132
Fam129c	94
Atp5g3	2180
Pifo	23
Olfr1045	0
Olfr1049	0
Vsx1	1
Fyco1	3023
Tlr3	248
Olfr1444	0
Olfr150	0
Ifi44	9
Trafd1	1462
Erfl	1
Krt80	8
Armc8	1590
Ppil4	1293
C530005A16Rik	59
Katnbl1	259
Gm21693	0
Spag9	6888
Gm5860	1
Taz	801
Gfpt1	1523
Abcc5	4557
Kcnmb4	384
Gm4013	4
Hpcal1	589
Tbc1d31	230
Tmem176b	360
Mir5110	0
Mir5108	0
Cyp3a13	30
Akap7	723
Ablim1	2501
Lcn5	0
Ulk1	2210
Cyp4b1	3
Golga3	1610
Mir1193	0
Wdyhv1	259
Traf1	14
Atoh1	0
Rxra	749
Dapk3	758
Mir7002	0
Mir6998	0
Ap3m2	2689
Sirt2	3948
Inhbc	0
Slit3	1528
Cts3	0
Olfr74	0
Dcakd	1737
Vps35l	1178
Cyhr1	3105
Taf10	616
Hagh	1480
Ogfod3	97
Syn1	19878
Glyatl3	1
Slx	0
Ccl27a	1277
Sqor	84
Fundc2	678
Rab5if	700
H1f5	1
Ankrd2	6
Pop4	427
Carnmt1	69
Iqcm	7
Clcc1	425
Magea2	0
Ilf3	2261
Tpd52l2	995
Arhgap25	54
Banf1	779
Tbc1d23	760
4930473A02Rik	79
Pard3	710
Rorc	73
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2329
Pex5l	7134
Mtmr1	1466
Mtor	2404
Zfp758	266
Plekhh2	399
Adgrl3	2288
Golga5	590
Plekhb1	9899
Nufip1	324
Gm9866	281
Smap1	1042
Tepp	0
Acox2	10
Hars2	709
Gpa33	0
Sdhb	2100
Gmpr	1050
Krt90	5
Me1	1280
Klk11	4
Magt1	365
Mcam	545
Pbld1	4
Tab2	2114
Mettl27	99
Trmt1	1647
Vps37c	592
Sec23a	2040
Rara	577
Med1	1172
Ap5b1	60
Bag5	998
Pdcd2l	180
Ctcf	1740
Mnd1	4
Tktl1	5
Lix1	1076
Ctnnbl1	779
Snph	12508
Raet1e	0
Ppm1m	353
Prkar1a	11804
Slc27a3	228
Impdh2	758
Tiprl	794
Uaca	217
Smim31	1
Calca	3
Mir6402	0
Phf3	2775
F930015N05Rik	15
9330020H09Rik	49
Gm13884	0
Gm7443	1
Ube2q2	1044
Rfx3	3351
Bri3	731
Fbxo27	300
Eps15l1	1798
Tmprss15	0
Max	1520
Ttc8	631
Vti1b	1982
Cpsf3	847
Nlgn1	1720
Casq2	15
Pidd1	57
Asb4	10
Orc4	896
Mapkbp1	1800
Mospd1	230
Banf2	0
Dclk1	12416
Gpcpd1	1743
Sinhcaf	16
Acbd5	1856
Mir7073	0
Myo7a	566
4930548K13Rik	0
Luc7l2	5887
Dnah8	20
Evc	380
Shroom2	1721
1500009C09Rik	1374
Kmt2e	4052
Setd5	2796
Pcyox1	2093
Arpp21	3507
Iyd	79
Mir7077	0
Smim4	84
Smc6	1083
Nsmf	23467
Hmbs	348
Slc35b1	812
Mir7081	4
Synj2	2127
Suds3	2314
Ptk2b	28333
Gfm2	820
Rlim	1286
Ddt	382
Epha3	390
Gatad2a	876
Shc1	210
Anks1b	9718
Cdk6	77
Cdk5r2	5580
Cdk5r1	5368
Kdm1a	1154
Olfr192	0
Scaf4	1639
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	622
Morc2a	1318
Atp6v1c2	11
C5ar1	6
Map1a	37169
Gja5	15
Runx2	628
Gja3	15
Ackr3	339
Socs1	13
Sort1	18158
Rangrf	202
Phyhd1	438
Slc4a9	2
Specc1	3018
Gtf2a2	487
Deaf1	1272
Mtarc1	4
Set	3256
Glra3	39
Dnhd1	275
Tmem247	0
Pgpep1l	26
Notch3	266
Gtsf1l	8
Chml	99
Rnf212	0
Tceal8	970
Olfr935	0
Gm5087	26
Slco6b1	0
Ranbp3	1689
Parp6	2976
Gng10	925
Mrps18b	204
D16Ertd472e	456
2310039H08Rik	66
Rps10	1543
Arih1	2242
Dancr	71
9530026P05Rik	13
Itgal	11
Mir6408	0
Sirt6	490
Rgs12	704
Gm10681	0
Hfe	75
Tdrd7	640
Mir1298	0
Ak2	762
Znhit1	908
Prx	50
4930509K18Rik	0
Zxdb	181
Alas2	46
Fiz1	469
Doxl1	0
Serpinh1	406
Vmn2r65	0
Myh3	20
Grm5	5815
Apol7e	0
Vill	7
1700123O12Rik	0
Ins2	4
Wnk1	7046
Tex14	5
Zbtb37	102
Egfem1	274
Eya1	354
Adgrg2	22
Nkain3	140
Cd2bp2	2188
Sapcd2	40
Kcng2	581
Tecr	6742
Asmt	3
Tfg	1191
Gm12530	6
A930017M01Rik	223
Trpm3	3432
Trpc4	875
Gm14296	0
Mtarc2	490
Itih5	646
Adcy4	77
Mical1	227
Zc3hav1l	187
Lrch4	0
Gbp5	60
Wnk2	3156
Sec22a	229
