Geneid	RNA STAR on KT017: mapped.bam
Zc3h14	1322
Troap	14
Clca2	0
1810013L24Rik	720
Srsf7	1561
Fignl2	36
Sema6a	1055
Anapc15	224
Misp3	9
Nmb	101
Tcerg1	1393
Zfp712	105
Fam129c	66
Atp5g3	2356
Pifo	26
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2806
Tlr3	161
Olfr1444	0
Olfr150	0
Ifi44	7
Trafd1	1595
Erfl	1
Krt80	0
Armc8	1409
Ppil4	1061
C530005A16Rik	85
Katnbl1	290
Gm21693	0
Spag9	5505
Gm5860	1
Taz	834
Gfpt1	1379
Abcc5	3688
Kcnmb4	404
Gm4013	9
Hpcal1	721
Tbc1d31	166
Tmem176b	425
Mir5110	0
Mir5108	0
Cyp3a13	55
Akap7	748
Ablim1	2044
Lcn5	0
Ulk1	2197
Cyp4b1	15
Golga3	1183
Mir1193	0
Wdyhv1	243
Traf1	23
Atoh1	0
Rxra	883
Dapk3	1101
Mir7002	0
Mir6998	10
Ap3m2	2257
Sirt2	5837
Inhbc	0
Slit3	840
Cts3	0
Olfr74	0
Dcakd	2823
Vps35l	1129
Cyhr1	3769
Taf10	793
Hagh	1655
Ogfod3	91
Syn1	28501
Glyatl3	0
Slx	0
Ccl27a	1302
Sqor	57
Fundc2	586
Rab5if	726
H1f5	0
Ankrd2	7
Pop4	549
Carnmt1	31
Iqcm	18
Clcc1	409
Magea2	0
Ilf3	2233
Tpd52l2	1169
Arhgap25	31
Banf1	1345
Tbc1d23	756
4930473A02Rik	113
Pard3	720
Rorc	98
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2462
Pex5l	7411
Mtmr1	1313
Mtor	2033
Zfp758	291
Plekhh2	350
Adgrl3	1907
Golga5	593
Plekhb1	20265
Nufip1	281
Gm9866	269
Smap1	827
Tepp	0
Acox2	1
Hars2	648
Gpa33	0
Sdhb	2623
Gmpr	1486
Krt90	11
Me1	1362
Klk11	27
Magt1	444
Mcam	729
Pbld1	1
Tab2	2133
Mettl27	141
Trmt1	2274
Vps37c	750
Sec23a	1843
Rara	974
Med1	933
Ap5b1	49
Bag5	990
Pdcd2l	222
Ctcf	1644
Mnd1	25
Tktl1	0
Lix1	1213
Ctnnbl1	753
Snph	16850
Raet1e	0
Ppm1m	448
Prkar1a	10713
Slc27a3	235
Impdh2	969
Tiprl	738
Uaca	222
Smim31	0
Calca	3
Mir6402	0
Phf3	2497
F930015N05Rik	22
9330020H09Rik	57
Gm13884	0
Gm7443	1
Ube2q2	863
Rfx3	2917
Bri3	1128
Fbxo27	360
Eps15l1	2051
Tmprss15	0
Max	1773
Ttc8	609
Vti1b	2446
Cpsf3	891
Nlgn1	1256
Casq2	15
Pidd1	67
Asb4	2
Orc4	717
Mapkbp1	1706
Mospd1	192
Banf2	0
Dclk1	10246
Gpcpd1	1543
Sinhcaf	23
Acbd5	1891
Mir7073	0
Myo7a	483
4930548K13Rik	0
Luc7l2	6072
Dnah8	27
