Geneid	RNA STAR on KT018: mapped.bam
Zc3h14	1511
Troap	0
Clca2	0
1810013L24Rik	889
Srsf7	1602
Fignl2	27
Sema6a	1201
Anapc15	290
Misp3	9
Nmb	93
Tcerg1	1395
Zfp712	93
Fam129c	48
Atp5g3	3777
Pifo	34
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	1400
Tlr3	257
Olfr1444	0
Olfr150	0
Ifi44	12
Trafd1	1325
Erfl	0
Krt80	6
Armc8	1418
Ppil4	1140
C530005A16Rik	78
Katnbl1	234
Gm21693	0
Spag9	5625
Gm5860	0
Taz	555
Gfpt1	1231
Abcc5	2530
Kcnmb4	656
Gm4013	6
Hpcal1	820
Tbc1d31	164
Tmem176b	638
Mir5110	0
Mir5108	0
Cyp3a13	21
Akap7	728
Ablim1	2440
Lcn5	0
Ulk1	2256
Cyp4b1	11
Golga3	1377
Mir1193	0
Wdyhv1	340
Traf1	40
Atoh1	0
Rxra	784
Dapk3	1246
Mir7002	0
Mir6998	0
Ap3m2	2943
Sirt2	7137
Inhbc	0
Slit3	734
Cts3	0
Olfr74	0
Dcakd	2934
Vps35l	1398
Cyhr1	4459
Taf10	1173
Hagh	2130
Ogfod3	199
Syn1	29196
Glyatl3	0
Slx	0
Ccl27a	952
Sqor	93
Fundc2	834
Rab5if	1019
H1f5	0
Ankrd2	22
Pop4	656
Carnmt1	69
Iqcm	0
Clcc1	416
Magea2	0
Ilf3	2085
Tpd52l2	1269
Arhgap25	49
Banf1	1605
Tbc1d23	676
4930473A02Rik	65
Pard3	762
Rorc	114
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2741
Pex5l	5742
Mtmr1	1361
Mtor	2167
Zfp758	225
Plekhh2	230
Adgrl3	1760
Golga5	690
Plekhb1	27368
Nufip1	352
Gm9866	358
Smap1	1081
Tepp	0
Acox2	10
Hars2	460
Gpa33	0
Sdhb	3560
Gmpr	1820
Krt90	10
Me1	2192
Klk11	6
Magt1	455
Mcam	640
Pbld1	0
Tab2	2403
Mettl27	146
Trmt1	1634
Vps37c	776
Sec23a	2132
Rara	931
Med1	813
Ap5b1	69
Bag5	1160
Pdcd2l	241
Ctcf	1712
Mnd1	17
Tktl1	0
Lix1	1574
Ctnnbl1	957
Snph	15163
Raet1e	0
Ppm1m	382
Prkar1a	12181
Slc27a3	168
Impdh2	1115
Tiprl	826
Uaca	204
Smim31	0
Calca	10
Mir6402	0
Phf3	2159
F930015N05Rik	27
9330020H09Rik	44
