Geneid	RNA STAR on KT019: mapped.bam
Zc3h14	1480
Troap	11
Clca2	0
1810013L24Rik	885
Srsf7	1805
Fignl2	34
Sema6a	1435
Anapc15	238
Misp3	24
Nmb	54
Tcerg1	1720
Zfp712	94
Fam129c	60
Atp5g3	2659
Pifo	53
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2203
Tlr3	257
Olfr1444	0
Olfr150	0
Ifi44	15
Trafd1	1443
Erfl	6
Krt80	2
Armc8	1619
Ppil4	1203
C530005A16Rik	46
Katnbl1	319
Gm21693	0
Spag9	6833
Gm5860	0
Taz	558
Gfpt1	1611
Abcc5	3265
Kcnmb4	439
Gm4013	7
Hpcal1	731
Tbc1d31	257
Tmem176b	576
Mir5110	4
Mir5108	0
Cyp3a13	51
Akap7	717
Ablim1	2724
Lcn5	0
Ulk1	2366
Cyp4b1	2
Golga3	1342
Mir1193	0
Wdyhv1	255
Traf1	51
Atoh1	0
Rxra	887
Dapk3	943
Mir7002	0
Mir6998	0
Ap3m2	2938
Sirt2	6478
Inhbc	0
Slit3	944
Cts3	0
Olfr74	0
Dcakd	2213
Vps35l	1240
Cyhr1	3933
Taf10	808
Hagh	1670
Ogfod3	140
Syn1	28324
Glyatl3	0
Slx	0
Ccl27a	773
Sqor	92
Fundc2	783
Rab5if	949
H1f5	0
Ankrd2	17
Pop4	668
Carnmt1	31
Iqcm	9
Clcc1	510
Magea2	0
Ilf3	2191
Tpd52l2	1067
Arhgap25	65
Banf1	1187
Tbc1d23	781
4930473A02Rik	66
Pard3	822
Rorc	89
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2510
Pex5l	6983
Mtmr1	1533
Mtor	2371
Zfp758	358
Plekhh2	288
Adgrl3	2092
Golga5	639
Plekhb1	26069
Nufip1	325
Gm9866	319
Smap1	1080
Tepp	1
Acox2	2
Hars2	386
Gpa33	0
Sdhb	2609
Gmpr	1348
Krt90	5
Me1	1461
Klk11	15
Magt1	585
Mcam	655
Pbld1	2
Tab2	2719
Mettl27	154
Trmt1	1557
Vps37c	767
Sec23a	2619
Rara	858
Med1	964
Ap5b1	54
Bag5	1025
Pdcd2l	201
Ctcf	1962
Mnd1	6
Tktl1	6
Lix1	1369
Ctnnbl1	848
Snph	13895
Raet1e	0
Ppm1m	322
Prkar1a	12943
Slc27a3	255
Impdh2	880
Tiprl	802
Uaca	196
Smim31	0
Calca	23
Mir6402	0
Phf3	2767
F930015N05Rik	12
9330020H09Rik	40
Gm13884	0
Gm7443	3
Ube2q2	1227
Rfx3	3312
Bri3	1014
Fbxo27	293
Eps15l1	1764
Tmprss15	0
Max	1920
Ttc8	464
Vti1b	2464
Cpsf3	928
Nlgn1	1716
Casq2	23
Pidd1	43
Asb4	0
Orc4	857
Mapkbp1	1566
Mospd1	259
Banf2	0
Dclk1	10459
Gpcpd1	1668
Sinhcaf	16
