Geneid	RNA STAR on KT020: mapped.bam
Zc3h14	1287
Troap	16
Clca2	0
1810013L24Rik	680
Srsf7	1881
Fignl2	68
Sema6a	1387
Anapc15	231
Misp3	9
Nmb	103
Tcerg1	1767
Zfp712	71
Fam129c	64
Atp5g3	2478
Pifo	29
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	3340
Tlr3	247
Olfr1444	0
Olfr150	0
Ifi44	9
Trafd1	1605
Erfl	0
Krt80	14
Armc8	1645
Ppil4	1142
C530005A16Rik	56
Katnbl1	321
Gm21693	0
Spag9	6553
Gm5860	0
Taz	815
Gfpt1	1481
Abcc5	4157
Kcnmb4	434
Gm4013	17
Hpcal1	536
Tbc1d31	211
Tmem176b	578
Mir5110	0
Mir5108	0
Cyp3a13	70
Akap7	795
Ablim1	2851
Lcn5	0
Ulk1	2315
Cyp4b1	14
Golga3	1242
Mir1193	0
Wdyhv1	202
Traf1	36
Atoh1	0
Rxra	785
Dapk3	1022
Mir7002	0
Mir6998	1
Ap3m2	2579
Sirt2	5905
Inhbc	0
Slit3	946
Cts3	0
Olfr74	0
Dcakd	2311
Vps35l	1192
Cyhr1	3642
Taf10	723
Hagh	1523
Ogfod3	133
Syn1	29510
Glyatl3	0
Slx	0
Ccl27a	1182
Sqor	92
Fundc2	682
Rab5if	807
H1f5	3
Ankrd2	10
Pop4	687
Carnmt1	30
Iqcm	16
Clcc1	539
Magea2	0
Ilf3	2094
Tpd52l2	1161
Arhgap25	76
Banf1	1167
Tbc1d23	816
4930473A02Rik	87
Pard3	661
Rorc	127
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2476
Pex5l	6457
Mtmr1	1387
Mtor	2243
Zfp758	274
Plekhh2	425
Adgrl3	1971
Golga5	636
Plekhb1	20922
Nufip1	293
Gm9866	235
Smap1	951
Tepp	2
Acox2	8
Hars2	612
Gpa33	0
Sdhb	2479
Gmpr	1144
Krt90	5
Me1	1199
Klk11	20
Magt1	471
Mcam	693
Pbld1	0
Tab2	2584
Mettl27	153
Trmt1	1981
Vps37c	734
Sec23a	1981
Rara	826
Med1	881
Ap5b1	47
Bag5	994
Pdcd2l	249
Ctcf	1695
Mnd1	4
Tktl1	5
Lix1	1180
Ctnnbl1	915
Snph	14383
Raet1e	0
Ppm1m	409
Prkar1a	11190
Slc27a3	262
Impdh2	903
Tiprl	825
Uaca	237
Smim31	0
Calca	9
Mir6402	0
Phf3	2609
F930015N05Rik	11
9330020H09Rik	82
Gm13884	0
Gm7443	0
Ube2q2	923
Rfx3	3175
Bri3	882
Fbxo27	366
Eps15l1	2105
Tmprss15	2
Max	1801
Ttc8	572
Vti1b	2146
Cpsf3	904
Nlgn1	1626
Casq2	29
Pidd1	46
Asb4	8
Orc4	858
Mapkbp1	1881
Mospd1	237
Banf2	0
Dclk1	10266
Gpcpd1	2043
Sinhcaf	23
Acbd5	2365
Mir7073	0
Myo7a	682
4930548K13Rik	0
Luc7l2	6792
Dnah8	15
Evc	441
Shroom2	1858
1500009C09Rik	1811
Kmt2e	4720
Setd5	3128
Pcyox1	1862
Arpp21	3262
Iyd	261
Mir7077	0
Smim4	97
Smc6	1001
Nsmf	26429
Hmbs	485
Slc35b1	998
Mir7081	0
Synj2	1944
Suds3	2278
Ptk2b	31483
Gfm2	741
Rlim	1311
Ddt	481
Epha3	283
Gatad2a	1200
Shc1	263
Anks1b	10438
Cdk6	71
Cdk5r2	6871
Cdk5r1	5517
Kdm1a	1103
Olfr192	0
Scaf4	1569
4930557J02Rik	0
6030466F02Rik	1
Plcxd2	486
Morc2a	1214
Atp6v1c2	9
C5ar1	2
Map1a	41623
Gja5	4
Runx2	620
Gja3	12
Ackr3	322
Socs1	11
Sort1	18456
Rangrf	233
Phyhd1	554
Slc4a9	0
Specc1	3149
Gtf2a2	602
Deaf1	1557
Mtarc1	4
Set	3431
Glra3	15
