Geneid	RNA STAR on KT021: mapped.bam
Zc3h14	2572
Troap	12
Clca2	0
1810013L24Rik	1494
Srsf7	2890
Fignl2	108
Sema6a	1377
Anapc15	293
Misp3	9
Nmb	70
Tcerg1	3403
Zfp712	181
Fam129c	92
Atp5g3	3746
Pifo	121
Olfr1045	0
Olfr1049	0
Vsx1	13
Fyco1	5067
Tlr3	499
Olfr1444	0
Olfr150	0
Ifi44	14
Trafd1	2170
Erfl	1
Krt80	19
Armc8	2501
Ppil4	1728
C530005A16Rik	108
Katnbl1	454
Gm21693	0
Spag9	13048
Gm5860	2
Taz	1024
Gfpt1	3470
Abcc5	5873
Kcnmb4	440
Gm4013	15
Hpcal1	931
Tbc1d31	369
Tmem176b	1205
Mir5110	0
Mir5108	0
Cyp3a13	73
Akap7	1160
Ablim1	5776
Lcn5	0
Ulk1	4063
Cyp4b1	9
Golga3	2795
Mir1193	0
Wdyhv1	338
Traf1	87
Atoh1	0
Rxra	1304
Dapk3	1008
Mir7002	0
Mir6998	0
Ap3m2	4665
Sirt2	6655
Inhbc	0
Slit3	2492
Cts3	0
Olfr74	0
Dcakd	1912
Vps35l	1992
Cyhr1	4302
Taf10	705
Hagh	2142
Ogfod3	314
Syn1	30148
Glyatl3	0
Slx	0
Ccl27a	1383
Sqor	241
Fundc2	1196
Rab5if	1083
H1f5	9
Ankrd2	10
Pop4	728
Carnmt1	97
Iqcm	10
Clcc1	691
Magea2	0
Ilf3	3108
Tpd52l2	1529
Arhgap25	153
Banf1	1019
Tbc1d23	1277
4930473A02Rik	128
Pard3	1479
Rorc	318
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	3485
Pex5l	10427
Mtmr1	2479
Mtor	4815
Zfp758	497
Plekhh2	679
Adgrl3	3674
Golga5	1123
Plekhb1	18194
Nufip1	428
Gm9866	422
Smap1	2029
Tepp	1
Acox2	82
Hars2	1057
Gpa33	1
Sdhb	2624
Gmpr	1327
Krt90	18
Me1	2000
Klk11	33
Magt1	913
Mcam	1100
Pbld1	1
Tab2	4154
Mettl27	260
Trmt1	1830
Vps37c	1018
Sec23a	3704
Rara	832
Med1	2237
Ap5b1	153
Bag5	1333
