Geneid	RNA STAR on KT022: mapped.bam
Zc3h14	2433
Troap	11
Clca2	3
1810013L24Rik	1030
Srsf7	2322
Fignl2	47
Sema6a	718
Anapc15	259
Misp3	0
Nmb	70
Tcerg1	2952
Zfp712	226
Fam129c	76
Atp5g3	3662
Pifo	8
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2629
Tlr3	366
Olfr1444	0
Olfr150	0
Ifi44	15
Trafd1	1668
Erfl	0
Krt80	9
Armc8	2257
Ppil4	1505
C530005A16Rik	103
Katnbl1	334
Gm21693	0
Spag9	10329
Gm5860	2
Taz	826
Gfpt1	2512
Abcc5	4207
Kcnmb4	401
Gm4013	6
Hpcal1	874
Tbc1d31	194
Tmem176b	614
Mir5110	0
Mir5108	0
Cyp3a13	24
Akap7	1139
Ablim1	3233
Lcn5	0
Ulk1	3211
Cyp4b1	10
Golga3	2196
Mir1193	0
Wdyhv1	276
Traf1	15
Atoh1	0
Rxra	1016
Dapk3	946
Mir7002	0
Mir6998	0
Ap3m2	4019
Sirt2	4703
Inhbc	0
Slit3	2270
Cts3	0
Olfr74	0
Dcakd	2344
Vps35l	1531
Cyhr1	3942
Taf10	642
Hagh	2157
Ogfod3	127
Syn1	26503
Glyatl3	0
Slx	0
Ccl27a	1421
Sqor	91
Fundc2	1001
Rab5if	942
H1f5	7
Ankrd2	11
Pop4	561
Carnmt1	131
Iqcm	2
Clcc1	652
Magea2	0
Ilf3	2641
Tpd52l2	1201
Arhgap25	77
Banf1	986
Tbc1d23	1024
4930473A02Rik	61
Pard3	871
Rorc	99
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	3223
Pex5l	11080
Mtmr1	2002
Mtor	3332
Zfp758	439
Plekhh2	431
Adgrl3	3827
Golga5	885
Plekhb1	9499
Nufip1	393
Gm9866	424
Smap1	1952
Tepp	0
Acox2	15
Hars2	783
Gpa33	0
Sdhb	2581
Gmpr	1656
Krt90	7
Me1	1493
Klk11	13
Magt1	463
Mcam	509
Pbld1	4
Tab2	3183
Mettl27	144
Trmt1	1591
Vps37c	942
Sec23a	3456
Rara	692
Med1	1584
Ap5b1	125
Bag5	1662
Pdcd2l	290
Ctcf	2697
Mnd1	16
Tktl1	0
Lix1	1303
Ctnnbl1	1103
Snph	15584
Raet1e	0
Ppm1m	398
