Geneid	RNA STAR on KT023: mapped.bam
Zc3h14	1414
Troap	2
Clca2	0
1810013L24Rik	823
Srsf7	1753
Fignl2	42
Sema6a	1248
Anapc15	221
Misp3	9
Nmb	80
Tcerg1	1710
Zfp712	120
Fam129c	76
Atp5g3	2466
Pifo	20
Olfr1045	0
Olfr1049	0
Vsx1	4
Fyco1	2544
Tlr3	236
Olfr1444	0
Olfr150	0
Ifi44	11
Trafd1	1405
Erfl	0
Krt80	4
Armc8	1564
Ppil4	1233
C530005A16Rik	69
Katnbl1	317
Gm21693	0
Spag9	7481
Gm5860	0
Taz	579
Gfpt1	1761
Abcc5	3415
Kcnmb4	491
Gm4013	13
Hpcal1	570
Tbc1d31	185
Tmem176b	426
Mir5110	0
Mir5108	0
Cyp3a13	33
Akap7	715
Ablim1	3127
Lcn5	0
Ulk1	2317
Cyp4b1	7
Golga3	1515
Mir1193	0
Wdyhv1	221
Traf1	12
Atoh1	0
Rxra	713
Dapk3	935
Mir7002	0
Mir6998	3
Ap3m2	3049
Sirt2	5388
Inhbc	0
Slit3	1188
Cts3	0
Olfr74	0
Dcakd	1833
Vps35l	1304
Cyhr1	3513
Taf10	675
Hagh	1515
Ogfod3	121
Syn1	33714
Glyatl3	0
Slx	0
Ccl27a	917
Sqor	89
Fundc2	633
Rab5if	762
H1f5	0
Ankrd2	6
Pop4	563
Carnmt1	55
Iqcm	3
Clcc1	450
Magea2	0
Ilf3	2005
Tpd52l2	1025
Arhgap25	117
Banf1	1055
Tbc1d23	738
4930473A02Rik	83
Pard3	819
Rorc	86
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2182
Pex5l	6230
Mtmr1	1427
Mtor	2284
Zfp758	317
Plekhh2	291
Adgrl3	2116
Golga5	639
Plekhb1	19634
Nufip1	259
Gm9866	258
Smap1	1136
Tepp	2
Acox2	11
Hars2	489
Gpa33	0
Sdhb	2242
Gmpr	1159
Krt90	8
Me1	1648
Klk11	13
Magt1	531
Mcam	608
Pbld1	7
Tab2	2466
Mettl27	150
Trmt1	1570
Vps37c	686
Sec23a	2275
Rara	867
Med1	1097
Ap5b1	67
Bag5	1057
Pdcd2l	191
Ctcf	1801
Mnd1	14
Tktl1	0
Lix1	1351
Ctnnbl1	794
Snph	14392
Raet1e	0
Ppm1m	305
Prkar1a	12577
Slc27a3	211
Impdh2	886
Tiprl	819
Uaca	270
Smim31	0
Calca	5
Mir6402	0
Phf3	2821
F930015N05Rik	19
9330020H09Rik	47
Gm13884	1
Gm7443	2
Ube2q2	1024
Rfx3	3284
Bri3	777
Fbxo27	278
Eps15l1	1736
Tmprss15	0
Max	1774
Ttc8	443
Vti1b	2203
Cpsf3	834
Nlgn1	1827
Casq2	26
Pidd1	53
Asb4	12
Orc4	814
Mapkbp1	1479
Mospd1	271
Banf2	0
Dclk1	11289
Gpcpd1	1832
Sinhcaf	13
Acbd5	2120
Mir7073	0
Myo7a	496
4930548K13Rik	0
Luc7l2	5253
Dnah8	18
Evc	388
Shroom2	1919
1500009C09Rik	1915
Kmt2e	4037
Setd5	2611
Pcyox1	2146
Arpp21	3190
Iyd	182
Mir7077	0
Smim4	90
Smc6	1245
Nsmf	27760
Hmbs	377
Slc35b1	852
Mir7081	0
Synj2	2015
Suds3	2366
Ptk2b	33985
Gfm2	672
Rlim	1371
Ddt	481
Epha3	294
Gatad2a	971
Shc1	239
Anks1b	9926
Cdk6	91
Cdk5r2	6703
Cdk5r1	5947
Kdm1a	1093
Olfr192	0
Scaf4	1394
4930557J02Rik	0
6030466F02Rik	1
Plcxd2	896
Morc2a	1257
Atp6v1c2	12
C5ar1	3
Map1a	50903
Gja5	10
Runx2	521
Gja3	29
Ackr3	333
Socs1	7
Sort1	20559
Rangrf	199
Phyhd1	399
Slc4a9	2
Specc1	3526
Gtf2a2	511
Deaf1	1424
Mtarc1	1
Set	3877
Glra3	26
Dnhd1	192
Tmem247	0
Pgpep1l	53
Notch3	295
Gtsf1l	0
Chml	90
Rnf212	0
Tceal8	1058
Olfr935	0
Gm5087	10
Slco6b1	0
Ranbp3	1845
Parp6	3362
Gng10	795
Mrps18b	214
D16Ertd472e	507
2310039H08Rik	81
Rps10	1694
Arih1	2349
Dancr	61
9530026P05Rik	19
Itgal	11
Mir6408	0
Sirt6	475
Rgs12	994
Gm10681	0
Hfe	108
Tdrd7	572
Mir1298	0
Ak2	689
Znhit1	1119
Prx	54
4930509K18Rik	0
Zxdb	193
Alas2	40
Fiz1	562
Doxl1	0
Serpinh1	389
Vmn2r65	0
Myh3	16
Grm5	5513
Apol7e	1
Vill	7
1700123O12Rik	0
Ins2	18
Wnk1	9557
Tex14	3
Zbtb37	60
Egfem1	247
Eya1	351
Adgrg2	31
Nkain3	146
Cd2bp2	2477
Sapcd2	27
Kcng2	854
Tecr	9368
Asmt	0
Tfg	1415
Gm12530	11
A930017M01Rik	162
Trpm3	4248
Trpc4	873
Gm14296	0
Mtarc2	495
Itih5	739
Adcy4	109
Mical1	167
Zc3hav1l	194
Lrch4	0
Gbp5	66
Wnk2	3225
Sec22a	194
Ahsa2	571
Tfeb	238
Tgm1	4
Dynlt1f	6
D7Ertd443e	174
Tlcd2	2
Bend5	111
Cbwd1	273
Lrch2	556
Zdhhc6	565
Cbx3	701
