Geneid	RNA STAR on KT024: mapped.bam
Zc3h14	1327
Troap	6
Clca2	0
1810013L24Rik	749
Srsf7	1890
Fignl2	28
Sema6a	915
Anapc15	295
Misp3	8
Nmb	70
Tcerg1	1295
Zfp712	106
Fam129c	92
Atp5g3	2751
Pifo	6
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	1711
Tlr3	250
Olfr1444	0
Olfr150	0
Ifi44	10
Trafd1	1254
Erfl	2
Krt80	2
Armc8	1263
Ppil4	936
C530005A16Rik	68
Katnbl1	308
Gm21693	0
Spag9	6039
Gm5860	0
Taz	439
Gfpt1	1442
Abcc5	2142
Kcnmb4	442
Gm4013	18
Hpcal1	738
Tbc1d31	120
Tmem176b	479
Mir5110	0
Mir5108	0
Cyp3a13	21
Akap7	734
Ablim1	1553
Lcn5	0
Ulk1	2034
Cyp4b1	8
Golga3	1115
Mir1193	0
Wdyhv1	262
Traf1	27
Atoh1	0
Rxra	833
Dapk3	977
Mir7002	0
Mir6998	0
Ap3m2	2103
Sirt2	6155
Inhbc	1
Slit3	405
Cts3	0
Olfr74	0
Dcakd	2855
Vps35l	1256
Cyhr1	3933
Taf10	983
Hagh	1741
Ogfod3	128
Syn1	31270
Glyatl3	0
Slx	0
Ccl27a	1099
Sqor	58
Fundc2	618
Rab5if	889
H1f5	2
Ankrd2	8
Pop4	651
Carnmt1	41
Iqcm	14
Clcc1	416
Magea2	0
Ilf3	1661
Tpd52l2	1106
Arhgap25	41
Banf1	1668
Tbc1d23	608
4930473A02Rik	84
Pard3	590
Rorc	91
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2146
Pex5l	5487
Mtmr1	1224
Mtor	1648
Zfp758	281
Plekhh2	186
Adgrl3	2147
Golga5	580
Plekhb1	26159
Nufip1	342
Gm9866	265
Smap1	698
Tepp	0
Acox2	5
Hars2	363
Gpa33	0
Sdhb	3067
Gmpr	1630
Krt90	13
Me1	1508
Klk11	5
Magt1	498
Mcam	412
Pbld1	0
Tab2	2424
Mettl27	127
Trmt1	1621
Vps37c	562
Sec23a	1960
Rara	837
Med1	659
Ap5b1	24
Bag5	1167
Pdcd2l	213
Ctcf	1696
Mnd1	6
Tktl1	0
Lix1	1687
Ctnnbl1	1000
Snph	18072
Raet1e	0
Ppm1m	338
Prkar1a	11189
Slc27a3	181
Impdh2	878
Tiprl	960
Uaca	122
Smim31	0
Calca	9
Mir6402	0
Phf3	2392
F930015N05Rik	13
9330020H09Rik	31
Gm13884	0
Gm7443	0
Ube2q2	840
Rfx3	3106
Bri3	1184
Fbxo27	331
Eps15l1	1433
Tmprss15	0
Max	2070
Ttc8	429
Vti1b	2732
Cpsf3	907
Nlgn1	1323
Casq2	4
Pidd1	32
Asb4	0
Orc4	786
Mapkbp1	1012
Mospd1	256
Banf2	0
Dclk1	9384
Gpcpd1	1207
Sinhcaf	13
Acbd5	2321
Mir7073	0
Myo7a	358
4930548K13Rik	0
Luc7l2	4250
Dnah8	17
Evc	280
Shroom2	1937
1500009C09Rik	2376
Kmt2e	2889
Setd5	1831
Pcyox1	1845
Arpp21	2663
Iyd	84
Mir7077	0
Smim4	101
Smc6	1027
Nsmf	35678
Hmbs	478
Slc35b1	819
Mir7081	0
Synj2	1694
Suds3	3031
Ptk2b	31115
Gfm2	472
Rlim	1416
Ddt	592
Epha3	215
Gatad2a	905
Shc1	167
Anks1b	9503
Cdk6	47
Cdk5r2	7814
Cdk5r1	6768
Kdm1a	901
Olfr192	0
Scaf4	1056
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	443
Morc2a	897
Atp6v1c2	14
C5ar1	4
Map1a	39361
Gja5	8
Runx2	594
Gja3	8
Ackr3	251
Socs1	8
Sort1	17412
Rangrf	239
Phyhd1	265
Slc4a9	1
Specc1	2943
Gtf2a2	553
Deaf1	1874
Mtarc1	0
Set	4403
Glra3	16
Dnhd1	109
Tmem247	0
Pgpep1l	20
Notch3	105
Gtsf1l	5
Chml	59
Rnf212	0
Tceal8	1421
Olfr935	0
Gm5087	6
Slco6b1	0
Ranbp3	1836
Parp6	3558
Gng10	1221
Mrps18b	231
D16Ertd472e	388
2310039H08Rik	102
Rps10	2249
Arih1	2052
Dancr	86
9530026P05Rik	5
Itgal	3
Mir6408	0
Sirt6	437
Rgs12	659
Gm10681	0
Hfe	75
Tdrd7	467
Mir1298	0
Ak2	634
Znhit1	1437
Prx	19
4930509K18Rik	1
Zxdb	258
Alas2	41
Fiz1	558
Doxl1	0
Serpinh1	351
Vmn2r65	0
Myh3	23
Grm5	4804
Apol7e	0
Vill	4
1700123O12Rik	1
Ins2	10
Wnk1	6447
Tex14	0
Zbtb37	45
Egfem1	323
Eya1	354
Adgrg2	10
Nkain3	61
Cd2bp2	2058
Sapcd2	25
Kcng2	866
Tecr	10193
Asmt	0
Tfg	1250
Gm12530	6
A930017M01Rik	155
Trpm3	2169
Trpc4	856
Gm14296	0
Mtarc2	483
Itih5	451
Adcy4	44
Mical1	162
Zc3hav1l	121
Lrch4	0
Gbp5	14
Wnk2	2135
Sec22a	213
Ahsa2	485
Tfeb	200
Tgm1	2
Dynlt1f	4
D7Ertd443e	118
Tlcd2	7
Bend5	140
Cbwd1	272
Lrch2	527
Zdhhc6	626
Cbx3	617
Fndc4	2462
Slc25a28	789
Gbp4	19
Cdkl3	322
Mir6410	0
Etfrf1	360
Gm10549	0
Atn1	6072
Zfp111	229
Sema3b	36
Rbm43	176
S100a3	3
Kif18b	0
Hsh2d	0
Sgsm2	4410
Sem1	1154
Shd	242
Lcp1	57
H2-Q7	0
Gjb5	0
Rnps1	2281
Gpr83	279
Cyp2d9	3
Rab23	693
Ext2	633
Scin	15
Clec11a	116
Scg2	3364
Map7d2	2743
Tectb	8
Spata3	24
Ola1	3210
Lrrc46	36
Tmigd3	2
Dpep2	1
Slc25a51	3024
Ubald2	4
6720489N17Rik	134
Zfp703	498
Slc35g2	231
Clasp2	4619
Pak6	1547
Smim19	378
Heph	146
Rhox2a	0
Cd209b	0
Prame	0
Mgam	1
Sh3d19	267
Dab2	125
Arhgap44	3566
Ppp1r32	43
Tead3	71
Ctps2	521
Gps1	2062
Cdh16	0
Shmt2	609
Ncor1	6490
Dhrs3	388
Rs1	7
Rps7	4950
Klk5	0
Gm4719	0
D030068K23Rik	17
Gm21828	0
Gm15880	0
4930547E08Rik	3
Mpig6b	0
Lgi1	6160
Cep131	571
Masp1	145
Ascl1	259
Mas1	880
Mapkapk2	444
Ppp2r5c	5335
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	691
Them5	0
Utp23	258
Ppcs	53
Mrpl19	621
Hormad1	0
Tctn2	244
Tppp3	1716
Ooep	3
U2surp	1554
Foxi1	0
Plekhj1	992
Mir344-2	0
Mir465b-2	0
Mir465b-1	0
