Geneid	RNA STAR on KT025: mapped.bam
Zc3h14	1899
Troap	17
Clca2	0
1810013L24Rik	991
Srsf7	2379
Fignl2	36
Sema6a	1188
Anapc15	256
Misp3	6
Nmb	76
Tcerg1	2308
Zfp712	137
Fam129c	87
Atp5g3	2791
Pifo	16
Olfr1045	0
Olfr1049	0
Vsx1	6
Fyco1	3335
Tlr3	212
Olfr1444	0
Olfr150	0
Ifi44	9
Trafd1	1734
Erfl	2
Krt80	8
Armc8	1900
Ppil4	1381
C530005A16Rik	83
Katnbl1	323
Gm21693	0
Spag9	7494
Gm5860	2
Taz	770
Gfpt1	1795
Abcc5	4600
Kcnmb4	440
Gm4013	5
Hpcal1	772
Tbc1d31	254
Tmem176b	428
Mir5110	0
Mir5108	0
Cyp3a13	67
Akap7	993
Ablim1	2800
Lcn5	0
Ulk1	2662
Cyp4b1	5
Golga3	1822
Mir1193	0
Wdyhv1	255
Traf1	26
Atoh1	0
Rxra	775
Dapk3	910
Mir7002	0
Mir6998	3
Ap3m2	3095
Sirt2	6705
Inhbc	0
Slit3	1521
Cts3	0
Olfr74	0
Dcakd	2414
Vps35l	1404
Cyhr1	3790
Taf10	807
Hagh	1851
Ogfod3	100
Syn1	28289
Glyatl3	0
Slx	0
Ccl27a	1433
Sqor	76
Fundc2	703
Rab5if	918
H1f5	2
Ankrd2	14
Pop4	598
Carnmt1	72
Iqcm	13
Clcc1	575
Magea2	0
Ilf3	2437
Tpd52l2	1185
Arhgap25	76
Banf1	1081
Tbc1d23	975
4930473A02Rik	106
Pard3	900
Rorc	98
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2696
Pex5l	8495
Mtmr1	1736
Mtor	2981
Zfp758	389
Plekhh2	446
Adgrl3	2817
Golga5	708
Plekhb1	17774
Nufip1	395
Gm9866	363
Smap1	1388
Tepp	0
Acox2	3
Hars2	751
Gpa33	0
Sdhb	2708
Gmpr	1455
Krt90	6
Me1	1416
Klk11	9
Magt1	449
Mcam	818
Pbld1	8
Tab2	2681
Mettl27	178
Trmt1	1965
Vps37c	768
Sec23a	2534
Rara	1050
Med1	1305
Ap5b1	62
Bag5	1322
Pdcd2l	222
Ctcf	2077
Mnd1	8
Tktl1	5
Lix1	1279
Ctnnbl1	835
Snph	15056
Raet1e	0
Ppm1m	352
Prkar1a	13669
Slc27a3	340
Impdh2	1017
Tiprl	873
Uaca	230
Smim31	1
Calca	7
Mir6402	0
Phf3	3375
F930015N05Rik	6
9330020H09Rik	57
Gm13884	0
Gm7443	5
Ube2q2	1220
Rfx3	4185
Bri3	894
Fbxo27	309
Eps15l1	2234
Tmprss15	0
Max	1998
Ttc8	631
Vti1b	2376
Cpsf3	1103
Nlgn1	2126
Casq2	21
Pidd1	74
Asb4	7
Orc4	1054
Mapkbp1	1982
Mospd1	272
Banf2	0
Dclk1	15368
Gpcpd1	2093
Sinhcaf	13
Acbd5	2459
Mir7073	0
Myo7a	581
4930548K13Rik	0
Luc7l2	7029
Dnah8	30
Evc	347
Shroom2	2368
1500009C09Rik	1779
Kmt2e	5492
Setd5	3394
Pcyox1	2441
Arpp21	4019
Iyd	255
Mir7077	0
Smim4	100
Smc6	1270
Nsmf	29239
Hmbs	437
Slc35b1	1065
Mir7081	0
Synj2	2297
Suds3	2827
Ptk2b	36002
Gfm2	934
Rlim	1473
Ddt	442
Epha3	339
Gatad2a	1103
Shc1	280
Anks1b	12342
Cdk6	110
Cdk5r2	7830
Cdk5r1	6805
Kdm1a	1517
Olfr192	0
Scaf4	1902
4930557J02Rik	0
6030466F02Rik	1
Plcxd2	761
Morc2a	1445
Atp6v1c2	18
C5ar1	8
Map1a	43144
Gja5	9
Runx2	852
Gja3	23
Ackr3	425
Socs1	15
Sort1	21477
Rangrf	233
Phyhd1	659
Slc4a9	10
Specc1	3722
Gtf2a2	550
Deaf1	1573
Mtarc1	7
Set	4095
Glra3	32
Dnhd1	269
Tmem247	0
Pgpep1l	23
Notch3	233
Gtsf1l	5
Chml	107
Rnf212	0
Tceal8	1193
Olfr935	0
Gm5087	31
Slco6b1	2
Ranbp3	2081
Parp6	3649
Gng10	1085
Mrps18b	275
D16Ertd472e	543
2310039H08Rik	71
Rps10	1861
Arih1	2740
Dancr	78
9530026P05Rik	19
Itgal	4
Mir6408	0
Sirt6	605
Rgs12	825
Gm10681	0
Hfe	101
Tdrd7	640
Mir1298	0
Ak2	931
Znhit1	1096
Prx	76
4930509K18Rik	0
Zxdb	217
Alas2	55
Fiz1	541
Doxl1	0
Serpinh1	426
Vmn2r65	0
Myh3	33
Grm5	6911
Apol7e	0
Vill	8
1700123O12Rik	0
Ins2	9
Wnk1	8437
Tex14	13
Zbtb37	82
Egfem1	275
Eya1	477
Adgrg2	28
Nkain3	175
Cd2bp2	2538
Sapcd2	37
Kcng2	863
Tecr	8596
Asmt	0
Tfg	1654
Gm12530	4
A930017M01Rik	239
Trpm3	4117
Trpc4	1365
Gm14296	0
Mtarc2	548
Itih5	770
Adcy4	91
Mical1	250
Zc3hav1l	204
Lrch4	0
Gbp5	33
Wnk2	3987
Sec22a	229
Ahsa2	790
Tfeb	277
Tgm1	7
Dynlt1f	10
D7Ertd443e	190
Tlcd2	4
Bend5	163
Cbwd1	253
Lrch2	691
Zdhhc6	637
Cbx3	865
Fndc4	2178
Slc25a28	972
Gbp4	45
Cdkl3	325
Mir6410	0
Etfrf1	406
Gm10549	3
Atn1	7690
Zfp111	333
Sema3b	77
Rbm43	254
S100a3	8
Kif18b	12
Hsh2d	2
Sgsm2	3938
Sem1	1009
Shd	293
Lcp1	78
H2-Q7	0
Gjb5	0
Rnps1	2705
Gpr83	384
Cyp2d9	2
Rab23	852
Ext2	760
Scin	18
Clec11a	152
Scg2	4571
Map7d2	4245
Tectb	4
Spata3	23
Ola1	3388
Lrrc46	32
Tmigd3	3
Dpep2	1
Slc25a51	3599
Ubald2	2
6720489N17Rik	116
Zfp703	623
Slc35g2	232
Clasp2	7117
Pak6	1648
Smim19	448
Heph	211
Rhox2a	0
Cd209b	0
Prame	0
Mgam	1
Sh3d19	918
Dab2	262
Arhgap44	4850
Ppp1r32	74
Tead3	118
Ctps2	692
Gps1	2213
Cdh16	0
