Geneid	RNA STAR on KT026: mapped.bam
Zc3h14	2113
Troap	13
Clca2	0
1810013L24Rik	1198
Srsf7	2904
Fignl2	42
Sema6a	988
Anapc15	257
Misp3	8
Nmb	92
Tcerg1	2516
Zfp712	171
Fam129c	134
Atp5g3	2942
Pifo	4
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	4232
Tlr3	340
Olfr1444	0
Olfr150	0
Ifi44	15
Trafd1	1900
Erfl	1
Krt80	4
Armc8	2226
Ppil4	1609
C530005A16Rik	94
Katnbl1	349
Gm21693	0
Spag9	9399
Gm5860	3
Taz	1010
Gfpt1	2075
Abcc5	6036
Kcnmb4	444
Gm4013	13
Hpcal1	819
Tbc1d31	303
Tmem176b	446
Mir5110	0
Mir5108	0
Cyp3a13	38
Akap7	1033
Ablim1	3148
Lcn5	0
Ulk1	3114
Cyp4b1	4
Golga3	2170
Mir1193	0
Wdyhv1	299
Traf1	24
Atoh1	0
Rxra	1016
Dapk3	992
Mir7002	0
Mir6998	2
Ap3m2	3650
Sirt2	5296
Inhbc	0
Slit3	2051
Cts3	0
Olfr74	0
Dcakd	2363
Vps35l	1567
Cyhr1	4141
Taf10	738
Hagh	1780
Ogfod3	91
Syn1	29668
Glyatl3	0
Slx	0
Ccl27a	1611
Sqor	101
Fundc2	871
Rab5if	904
H1f5	2
Ankrd2	15
Pop4	544
Carnmt1	103
Iqcm	10
Clcc1	604
Magea2	0
Ilf3	3018
Tpd52l2	1324
Arhgap25	36
Banf1	983
Tbc1d23	1102
4930473A02Rik	126
Pard3	872
Rorc	74
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2961
Pex5l	10450
Mtmr1	2185
Mtor	3184
Zfp758	481
Plekhh2	514
Adgrl3	3350
Golga5	788
Plekhb1	13216
Nufip1	460
Gm9866	408
Smap1	1385
Tepp	0
Acox2	0
Hars2	881
Gpa33	0
Sdhb	2768
Gmpr	1460
Krt90	9
Me1	1550
Klk11	11
Magt1	499
Mcam	557
Pbld1	1
Tab2	3054
Mettl27	188
Trmt1	2218
Vps37c	793
Sec23a	3166
Rara	945
Med1	1590
Ap5b1	75
Bag5	1441
Pdcd2l	240
Ctcf	2433
Mnd1	16
Tktl1	4
Lix1	1560
Ctnnbl1	938
Snph	18010
Raet1e	0
Ppm1m	436
Prkar1a	16816
Slc27a3	339
Impdh2	1102
Tiprl	1035
Uaca	273
Smim31	0
Calca	4
Mir6402	0
Phf3	3771
F930015N05Rik	12
9330020H09Rik	50
Gm13884	0
Gm7443	3
Ube2q2	1480
Rfx3	4664
Bri3	897
Fbxo27	458
Eps15l1	2456
Tmprss15	0
Max	2217
Ttc8	847
Vti1b	2777
Cpsf3	1157
Nlgn1	2412
Casq2	31
Pidd1	63
Asb4	12
Orc4	1265
Mapkbp1	2346
Mospd1	278
Banf2	0
Dclk1	17113
Gpcpd1	2535
Sinhcaf	10
Acbd5	2687
Mir7073	0
Myo7a	583
4930548K13Rik	0
Luc7l2	7693
Dnah8	34
Evc	546
Shroom2	2739
1500009C09Rik	1890
Kmt2e	5757
Setd5	3758
Pcyox1	2757
Arpp21	4586
Iyd	122
Mir7077	0
Smim4	93
Smc6	1531
Nsmf	31828
Hmbs	468
Slc35b1	1119
Mir7081	0
Synj2	2960
Suds3	3005
Ptk2b	41597
Gfm2	1003
Rlim	1799
Ddt	478
Epha3	489
Gatad2a	1058
Shc1	268
Anks1b	14410
Cdk6	189
Cdk5r2	8041
Cdk5r1	7645
Kdm1a	1532
Olfr192	0
Scaf4	2135
4930557J02Rik	0
6030466F02Rik	1
Plcxd2	714
Morc2a	1790
Atp6v1c2	25
C5ar1	7
Map1a	54235
Gja5	6
Runx2	883
Gja3	5
Ackr3	399
Socs1	5
Sort1	25408
Rangrf	314
Phyhd1	504
Slc4a9	7
Specc1	4387
Gtf2a2	606
Deaf1	1708
Mtarc1	3
