Geneid	RNA STAR on KT027: mapped.bam
Zc3h14	1321
Troap	16
Clca2	0
1810013L24Rik	590
Srsf7	1534
Fignl2	37
Sema6a	919
Anapc15	276
Misp3	11
Nmb	71
Tcerg1	1253
Zfp712	86
Fam129c	84
Atp5g3	2865
Pifo	13
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	2232
Tlr3	211
Olfr1444	0
Olfr150	0
Ifi44	14
Trafd1	1487
Erfl	0
Krt80	3
Armc8	1257
Ppil4	888
C530005A16Rik	47
Katnbl1	243
Gm21693	0
Spag9	4809
Gm5860	0
Taz	614
Gfpt1	1034
Abcc5	2704
Kcnmb4	519
Gm4013	12
Hpcal1	646
Tbc1d31	170
Tmem176b	476
Mir5110	0
Mir5108	0
Cyp3a13	19
Akap7	662
Ablim1	1848
Lcn5	0
Ulk1	1967
Cyp4b1	11
Golga3	1128
Mir1193	0
Wdyhv1	275
Traf1	21
Atoh1	0
Rxra	667
Dapk3	1130
Mir7002	0
Mir6998	8
Ap3m2	2133
Sirt2	5055
Inhbc	0
Slit3	719
Cts3	0
Olfr74	0
Dcakd	2768
Vps35l	1249
Cyhr1	3597
Taf10	876
Hagh	1722
Ogfod3	95
Syn1	28404
Glyatl3	0
Slx	0
Ccl27a	1097
Sqor	74
Fundc2	603
Rab5if	690
H1f5	0
Ankrd2	6
Pop4	522
Carnmt1	42
Iqcm	4
Clcc1	492
Magea2	0
Ilf3	1961
Tpd52l2	1156
Arhgap25	43
Banf1	1278
Tbc1d23	624
4930473A02Rik	109
Pard3	541
Rorc	77
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2034
Pex5l	5385
Mtmr1	981
Mtor	1865
Zfp758	181
Plekhh2	241
Adgrl3	1569
Golga5	512
Plekhb1	17128
Nufip1	290
Gm9866	263
Smap1	752
Tepp	0
Acox2	6
Hars2	430
Gpa33	0
Sdhb	2992
Gmpr	1634
Krt90	7
Me1	1221
Klk11	4
Magt1	414
Mcam	544
Pbld1	0
Tab2	1851
Mettl27	151
Trmt1	2026
Vps37c	548
Sec23a	1698
Rara	1089
Med1	793
Ap5b1	36
Bag5	882
Pdcd2l	266
Ctcf	1393
Mnd1	2
Tktl1	0
Lix1	1331
Ctnnbl1	872
Snph	13900
Raet1e	0
Ppm1m	375
Prkar1a	9968
Slc27a3	210
Impdh2	915
Tiprl	725
Uaca	148
Smim31	1
Calca	3
Mir6402	0
Phf3	2103
F930015N05Rik	14
9330020H09Rik	47
Gm13884	0
Gm7443	0
Ube2q2	743
Rfx3	2493
Bri3	1110
Fbxo27	344
Eps15l1	1543
Tmprss15	0
Max	1689
Ttc8	455
Vti1b	2566
Cpsf3	764
Nlgn1	1082
Casq2	11
Pidd1	36
Asb4	4
Orc4	678
Mapkbp1	1247
Mospd1	193
Banf2	0
Dclk1	9143
Gpcpd1	1109
Sinhcaf	12
Acbd5	1674
Mir7073	0
Myo7a	407
4930548K13Rik	0
Luc7l2	4226
Dnah8	19
Evc	370
Shroom2	1732
1500009C09Rik	2266
Kmt2e	3387
Setd5	1999
Pcyox1	1759
Arpp21	2888
Iyd	83
Mir7077	0
Smim4	107
Smc6	880
Nsmf	33689
Hmbs	411
Slc35b1	845
Mir7081	0
Synj2	1494
Suds3	2812
Ptk2b	28651
Gfm2	583
Rlim	1179
Ddt	572
Epha3	196
Gatad2a	869
Shc1	167
Anks1b	7956
Cdk6	45
Cdk5r2	8199
Cdk5r1	6587
Kdm1a	1049
Olfr192	0
Scaf4	1121
4930557J02Rik	0
6030466F02Rik	1
Plcxd2	449
Morc2a	939
Atp6v1c2	10
C5ar1	1
Map1a	38549
Gja5	4
Runx2	609
Gja3	19
Ackr3	311
Socs1	11
Sort1	16198
Rangrf	286
Phyhd1	400
Slc4a9	3
Specc1	2349
Gtf2a2	488
Deaf1	1879
Mtarc1	0
Set	3764
Glra3	13
Dnhd1	128
Tmem247	0
Pgpep1l	32
Notch3	144
Gtsf1l	2
Chml	58
Rnf212	1
Tceal8	1199
Olfr935	0
Gm5087	12
Slco6b1	0
Ranbp3	1996
Parp6	3581
Gng10	1042
Mrps18b	170
D16Ertd472e	329
2310039H08Rik	98
Rps10	2298
Arih1	1899
Dancr	80
9530026P05Rik	10
Itgal	3
Mir6408	0
Sirt6	525
Rgs12	842
Gm10681	0
Hfe	89
Tdrd7	559
Mir1298	0
