Geneid	RNA STAR on KT028: mapped.bam
Zc3h14	945
Troap	6
Clca2	2
1810013L24Rik	520
Srsf7	1190
Fignl2	28
Sema6a	683
Anapc15	193
Misp3	5
Nmb	42
Tcerg1	872
Zfp712	86
Fam129c	39
Atp5g3	1986
Pifo	24
Olfr1045	0
Olfr1049	0
Vsx1	3
Fyco1	1221
Tlr3	135
Olfr1444	0
Olfr150	0
Ifi44	9
Trafd1	859
Erfl	1
Krt80	4
Armc8	942
Ppil4	752
C530005A16Rik	46
Katnbl1	202
Gm21693	0
Spag9	4268
Gm5860	1
Taz	345
Gfpt1	999
Abcc5	1643
Kcnmb4	448
Gm4013	12
Hpcal1	533
Tbc1d31	110
Tmem176b	507
Mir5110	0
Mir5108	0
Cyp3a13	19
Akap7	457
Ablim1	1831
Lcn5	0
Ulk1	1580
Cyp4b1	3
Golga3	923
Mir1193	0
Wdyhv1	188
Traf1	37
Atoh1	0
Rxra	615
Dapk3	641
Mir7002	0
Mir6998	1
Ap3m2	1730
Sirt2	4014
Inhbc	0
Slit3	510
Cts3	0
Olfr74	0
Dcakd	1587
Vps35l	936
Cyhr1	2640
Taf10	685
Hagh	1208
Ogfod3	115
Syn1	16228
Glyatl3	0
Slx	0
Ccl27a	635
Sqor	82
Fundc2	488
Rab5if	608
H1f5	0
Ankrd2	6
Pop4	412
Carnmt1	49
Iqcm	1
Clcc1	324
Magea2	0
Ilf3	1359
Tpd52l2	889
Arhgap25	50
Banf1	863
Tbc1d23	416
4930473A02Rik	62
Pard3	583
Rorc	101
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	1561
Pex5l	3842
Mtmr1	812
Mtor	1414
Zfp758	200
Plekhh2	180
Adgrl3	1170
Golga5	383
Plekhb1	15978
Nufip1	213
Gm9866	202
Smap1	667
Tepp	0
Acox2	10
Hars2	270
Gpa33	0
Sdhb	1901
Gmpr	971
Krt90	6
Me1	1246
Klk11	6
Magt1	376
Mcam	447
Pbld1	2
Tab2	1508
Mettl27	124
Trmt1	1013
Vps37c	472
Sec23a	1450
Rara	527
Med1	538
Ap5b1	35
Bag5	718
Pdcd2l	135
Ctcf	1147
Mnd1	5
Tktl1	1
Lix1	1023
Ctnnbl1	611
Snph	10243
Raet1e	0
Ppm1m	265
Prkar1a	7975
Slc27a3	127
Impdh2	563
Tiprl	568
Uaca	203
Smim31	0
Calca	7
Mir6402	0
Phf3	1625
F930015N05Rik	8
9330020H09Rik	25
Gm13884	0
Gm7443	0
Ube2q2	731
Rfx3	1809
Bri3	705
Fbxo27	152
Eps15l1	939
Tmprss15	0
Max	1333
Ttc8	273
Vti1b	1895
Cpsf3	611
Nlgn1	902
Casq2	19
Pidd1	23
Asb4	2
Orc4	510
Mapkbp1	701
Mospd1	202
Banf2	0
Dclk1	6379
Gpcpd1	1009
Sinhcaf	9
Acbd5	1441
Mir7073	0
Myo7a	336
4930548K13Rik	0
Luc7l2	2825
Dnah8	13
Evc	251
Shroom2	1364
1500009C09Rik	1527
Kmt2e	1901
Setd5	1372
Pcyox1	1401
Arpp21	1895
Iyd	79
Mir7077	0
Smim4	71
Smc6	761
Nsmf	22683
Hmbs	298
Slc35b1	659
Mir7081	0
Synj2	1183
Suds3	1981
Ptk2b	19038
Gfm2	408
Rlim	926
Ddt	419
Epha3	161
Gatad2a	700
Shc1	132
Anks1b	5936
Cdk6	48
Cdk5r2	4402
Cdk5r1	4077
Kdm1a	714
Olfr192	0
Scaf4	680
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	470
Morc2a	652
Atp6v1c2	2
C5ar1	5
Map1a	26104
Gja5	11
Runx2	265
Gja3	11
Ackr3	289
Socs1	10
Sort1	12428
Rangrf	172
Phyhd1	273
Slc4a9	0
Specc1	2132
Gtf2a2	319
Deaf1	1176
Mtarc1	6
Set	2787
Glra3	10
Dnhd1	88
Tmem247	0
Pgpep1l	36
Notch3	164
Gtsf1l	5
Chml	62
Rnf212	0
Tceal8	767
Olfr935	0
Gm5087	4
Slco6b1	0
Ranbp3	1286
Parp6	2326
Gng10	712
Mrps18b	139
D16Ertd472e	351
2310039H08Rik	82
Rps10	1620
Arih1	1468
Dancr	65
9530026P05Rik	12
Itgal	7
Mir6408	0
Sirt6	323
Rgs12	641
Gm10681	0
Hfe	119
Tdrd7	399
Mir1298	0
Ak2	472
Znhit1	819
Prx	19
4930509K18Rik	0
Zxdb	127
Alas2	30
Fiz1	360
Doxl1	0
Serpinh1	487
Vmn2r65	0
Myh3	8
Grm5	3040
Apol7e	0
Vill	6
1700123O12Rik	0
Ins2	12
Wnk1	5252
Tex14	3
Zbtb37	35
Egfem1	181
Eya1	236
Adgrg2	17
Nkain3	79
Cd2bp2	1561
Sapcd2	19
Kcng2	693
Tecr	5595
Asmt	0
Tfg	847
Gm12530	4
A930017M01Rik	106
Trpm3	2770
Trpc4	512
Gm14296	0
Mtarc2	437
Itih5	514
Adcy4	63
Mical1	135
Zc3hav1l	95
Lrch4	0
Gbp5	36
Wnk2	1612
Sec22a	169
Ahsa2	373
Tfeb	207
Tgm1	5
Dynlt1f	6
D7Ertd443e	120
Tlcd2	3
Bend5	90
Cbwd1	182
Lrch2	318
Zdhhc6	444
Cbx3	498
Fndc4	1371
Slc25a28	624
Gbp4	12
Cdkl3	198
Mir6410	0
Etfrf1	268
Gm10549	2
Atn1	3457
Zfp111	177
Sema3b	139
Rbm43	148
S100a3	2
Kif18b	9
Hsh2d	1
Sgsm2	2887
Sem1	714
Shd	201
Lcp1	64
H2-Q7	0
Gjb5	0
Rnps1	1518
Gpr83	268
Cyp2d9	0
Rab23	487
Ext2	467
Scin	4
Clec11a	60
Scg2	2436
Map7d2	2114
Tectb	3
Spata3	12
Ola1	2180
Lrrc46	43
Tmigd3	1
Dpep2	1
Slc25a51	2118
Ubald2	2
6720489N17Rik	75
Zfp703	365
Slc35g2	117
Clasp2	3232
Pak6	958
Smim19	303
Heph	137
Rhox2a	0
Cd209b	2
Prame	0
Mgam	1
Sh3d19	535
Dab2	238
Arhgap44	2431
Ppp1r32	74
Tead3	45
Ctps2	391
Gps1	1422
Cdh16	0
Shmt2	461
Ncor1	4567
Dhrs3	341
Rs1	12
Rps7	3043
Klk5	0
Gm4719	0
D030068K23Rik	20
Gm21828	0
Gm15880	1
4930547E08Rik	4
Mpig6b	1
Lgi1	4088
Cep131	466
Masp1	105
Ascl1	120
Mas1	609
Mapkapk2	361
Ppp2r5c	3679
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	477
Them5	0
Utp23	199
Ppcs	67
Mrpl19	430
Hormad1	0
Tctn2	244
Tppp3	1572
Ooep	9
U2surp	1043
Foxi1	0
Plekhj1	547
Mir344-2	0
Mir465b-2	0
Mir465b-1	0
Cux1	883
Gm45927	2
Mpv17	816
Ankrd23	87
Hsf3	2
Radil	99
Gm10653	2
Tubb2a-ps2	0
Nanog	2
Nit1	368
Rnf25	699
Tmem33	1387
Slc6a18	0
Cd300lg	12
Osgin1	17
1110017D15Rik	104
Krtap21-1	0
Olfr1215	0
Snora65	19
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	7387
Evi2b	0
Stk35	445
Pex26	158
Stard7	1657
Stat5b	265
Ubac1	805
Stat5a	59
Eva1c	32
Dab1	2177
Gpx6	0
Clba1	155
Ifi27l2b	2
Mical3	1230
Gm10516	100
Cilk1	694
Slc38a10	1221
Zfp451	333
Bloc1s4	177
Abhd17c	858
Acad10	53
Snx10	1276
Sh2d4a	0
Metrn	981
Rab43	419
Abcb8	593
D14Ertd670e	0
Optn	199
Sidt2	1151
Pum1	2289
Oxr1	2144
Gm11545	0
Cyp3a59	0
Zfat	120
4933402J10Rik	0
Mecp2	2364
Efcab12	99
Klrb1	0
Gnb1l	62
Ap1b1	2451
Gm14308	0
Tbc1d4	113
B4galnt1	1610
Nat8f7	1
Oxtr	73
Prickle2	5741
Gm2381	0
Gpr161	931
Gm4297	0
