Geneid	RNA STAR on KT029: mapped.bam
Zc3h14	1645
Troap	9
Clca2	0
1810013L24Rik	738
Srsf7	2126
Fignl2	62
Sema6a	1115
Anapc15	253
Misp3	9
Nmb	56
Tcerg1	1853
Zfp712	140
Fam129c	83
Atp5g3	2620
Pifo	29
Olfr1045	0
Olfr1049	0
Vsx1	8
Fyco1	2590
Tlr3	241
Olfr1444	0
Olfr150	0
Ifi44	26
Trafd1	1488
Erfl	1
Krt80	9
Armc8	1664
Ppil4	1247
C530005A16Rik	67
Katnbl1	269
Gm21693	0
Spag9	6662
Gm5860	0
Taz	733
Gfpt1	1480
Abcc5	3939
Kcnmb4	486
Gm4013	26
Hpcal1	638
Tbc1d31	181
Tmem176b	490
Mir5110	0
Mir5108	0
Cyp3a13	39
Akap7	760
Ablim1	2347
Lcn5	0
Ulk1	2141
Cyp4b1	6
Golga3	1471
Mir1193	0
Wdyhv1	251
Traf1	37
Atoh1	0
Rxra	712
Dapk3	902
Mir7002	0
Mir6998	1
Ap3m2	2747
Sirt2	5317
Inhbc	0
Slit3	1025
Cts3	0
Olfr74	0
Dcakd	2149
Vps35l	1333
Cyhr1	3408
Taf10	755
Hagh	1653
Ogfod3	137
Syn1	23782
Glyatl3	2
Slx	0
Ccl27a	1082
Sqor	106
Fundc2	721
Rab5if	739
H1f5	0
Ankrd2	4
Pop4	582
Carnmt1	47
Iqcm	10
Clcc1	474
Magea2	0
Ilf3	2261
Tpd52l2	1088
Arhgap25	49
Banf1	1010
Tbc1d23	753
4930473A02Rik	68
Pard3	745
Rorc	128
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2208
Pex5l	6454
Mtmr1	1440
Mtor	2217
Zfp758	296
Plekhh2	420
Adgrl3	2066
Golga5	654
Plekhb1	17203
Nufip1	355
Gm9866	281
Smap1	968
Tepp	1
Acox2	11
Hars2	577
Gpa33	0
Sdhb	2575
Gmpr	1252
Krt90	6
Me1	1235
Klk11	9
Magt1	498
Mcam	616
Pbld1	0
Tab2	2265
Mettl27	152
Trmt1	1706
Vps37c	600
Sec23a	2157
Rara	771
Med1	1014
Ap5b1	48
Bag5	1123
Pdcd2l	238
Ctcf	1827
Mnd1	6
Tktl1	0
Lix1	1174
Ctnnbl1	886
Snph	12977
Raet1e	0
Ppm1m	384
Prkar1a	12496
Slc27a3	212
Impdh2	824
Tiprl	862
Uaca	198
Smim31	0
Calca	5
Mir6402	1
Phf3	2477
F930015N05Rik	12
9330020H09Rik	42
Gm13884	0
Gm7443	2
Ube2q2	1069
Rfx3	3031
Bri3	781
Fbxo27	333
Eps15l1	1650
Tmprss15	0
Max	1771
Ttc8	625
Vti1b	2367
Cpsf3	946
Nlgn1	1518
Casq2	19
Pidd1	43
Asb4	6
Orc4	883
Mapkbp1	1535
Mospd1	234
Banf2	0
Dclk1	10938
Gpcpd1	1834
Sinhcaf	15
Acbd5	2009
Mir7073	0
Myo7a	474
4930548K13Rik	0
Luc7l2	5408
Dnah8	21
Evc	429
Shroom2	1927
1500009C09Rik	1583
Kmt2e	3849
Setd5	2615
Pcyox1	1941
Arpp21	3377
Iyd	214
Mir7077	0
Smim4	84
Smc6	1127
Nsmf	25759
Hmbs	404
Slc35b1	923
Mir7081	0
Synj2	1984
Suds3	2498
Ptk2b	29871
Gfm2	696
Rlim	1359
Ddt	526
Epha3	327
Gatad2a	897
Shc1	244
Anks1b	9751
Cdk6	93
Cdk5r2	6100
Cdk5r1	5628
Kdm1a	1202
Olfr192	0
Scaf4	1417
4930557J02Rik	0
6030466F02Rik	3
Plcxd2	491
Morc2a	1291
Atp6v1c2	12
C5ar1	6
Map1a	33631
Gja5	12
Runx2	584
Gja3	9
Ackr3	310
Socs1	12
Sort1	18315
Rangrf	189
Phyhd1	416
Slc4a9	1
Specc1	3181
Gtf2a2	461
Deaf1	1405
Mtarc1	12
Set	4114
Glra3	22
Dnhd1	236
Tmem247	0
Pgpep1l	37
Notch3	231
Gtsf1l	2
Chml	102
Rnf212	0
Tceal8	1327
Olfr935	0
Gm5087	10
Slco6b1	0
Ranbp3	1896
Parp6	3239
Gng10	906
Mrps18b	223
D16Ertd472e	461
2310039H08Rik	112
Rps10	1890
Arih1	2338
Dancr	88
9530026P05Rik	10
Itgal	6
Mir6408	0
Sirt6	508
Rgs12	703
Gm10681	0
Hfe	121
Tdrd7	670
Mir1298	0
Ak2	705
Znhit1	1019
Prx	43
4930509K18Rik	0
Zxdb	182
Alas2	88
Fiz1	484
Doxl1	0
Serpinh1	471
Vmn2r65	0
Myh3	20
Grm5	5145
Apol7e	0
Vill	8
1700123O12Rik	0
Ins2	5
Wnk1	7205
Tex14	8
Zbtb37	82
Egfem1	270
Eya1	366
Adgrg2	19
Nkain3	133
Cd2bp2	2272
Sapcd2	28
Kcng2	716
Tecr	8184
Asmt	1
Tfg	1449
Gm12530	7
A930017M01Rik	194
Trpm3	3678
Trpc4	958
Gm14296	0
Mtarc2	553
Itih5	635
Adcy4	113
Mical1	201
Zc3hav1l	149
Lrch4	0
Gbp5	114
Wnk2	2982
Sec22a	235
Ahsa2	571
Tfeb	232
Tgm1	15
Dynlt1f	6
D7Ertd443e	164
Tlcd2	7
Bend5	145
Cbwd1	272
Lrch2	512
Zdhhc6	600
Cbx3	740
Fndc4	2038
Slc25a28	887
Gbp4	70
Cdkl3	282
Mir6410	0
Etfrf1	419
Gm10549	2
Atn1	6082
Zfp111	249
Sema3b	167
Rbm43	255
S100a3	7
Kif18b	7
Hsh2d	2
Sgsm2	3686
Sem1	1005
Shd	211
Lcp1	93
H2-Q7	0
Gjb5	0
Rnps1	2505
Gpr83	358
Cyp2d9	4
Rab23	766
Ext2	754
Scin	29
Clec11a	110
Scg2	4117
Map7d2	3211
Tectb	3
Spata3	20
Ola1	3327
Lrrc46	44
Tmigd3	3
Dpep2	2
Slc25a51	3036
Ubald2	1
6720489N17Rik	97
Zfp703	519
Slc35g2	178
Clasp2	5653
Pak6	1127
Smim19	347
Heph	141
Rhox2a	0
Cd209b	1
Prame	0
Mgam	0
Sh3d19	725
Dab2	345
Arhgap44	3643
Ppp1r32	72
Tead3	87
Ctps2	688
Gps1	2159
Cdh16	0
Shmt2	634
Ncor1	7151
Dhrs3	318
Rs1	9
Rps7	3177
Klk5	2
Gm4719	0
D030068K23Rik	40
Gm21828	0
Gm15880	3
4930547E08Rik	6
Mpig6b	1
Lgi1	5111
Cep131	758
Masp1	167
Ascl1	164
Mas1	1144
Mapkapk2	442
Ppp2r5c	4908
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	652
Them5	0
Utp23	270
Ppcs	68
Mrpl19	583
Hormad1	0
Tctn2	331
Tppp3	1449
Ooep	7
U2surp	1976
Foxi1	2
Plekhj1	691
Mir344-2	0
Mir465b-2	0
Mir465b-1	0
Cux1	1047
Gm45927	1
Mpv17	1136
Ankrd23	83
Hsf3	5
Radil	214
Gm10653	1
Tubb2a-ps2	3
Nanog	5
Nit1	583
Rnf25	1107
Tmem33	1988
Slc6a18	1
Cd300lg	20
Osgin1	13
1110017D15Rik	93
Krtap21-1	0
Olfr1215	0
Snora65	33
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	11973
Evi2b	0
Stk35	575
Pex26	247
Stard7	1941
Stat5b	343
Ubac1	916
Stat5a	92
Eva1c	51
Dab1	3571
Gpx6	0
Clba1	197
Ifi27l2b	3
Mical3	2286
Gm10516	168
Cilk1	1003
Slc38a10	1669
Zfp451	588
Bloc1s4	211
Abhd17c	1167
Acad10	68
Snx10	1842
Sh2d4a	1
Metrn	963
Rab43	621
Abcb8	837
D14Ertd670e	0
Optn	249
Sidt2	1845
Pum1	3223
Oxr1	3514
Gm11545	0
Cyp3a59	0
Zfat	158
4933402J10Rik	0
Mecp2	3520
Efcab12	139
Klrb1	0
Gnb1l	68
Ap1b1	3284
Gm14308	0
Tbc1d4	198
B4galnt1	2376
Nat8f7	2
Oxtr	92
Prickle2	8221
Gm2381	0
Gpr161	2065
Gm4297	0
Gm2030	0
Gm5934	0
Gm10488	0
Carmil1	737
Mir3059	0
Myo1b	152
Rngtt	676
Larp4b	1929
Sh2b3	573
Gm7827	2
Ap4s1	701
Ntng2	709
