Geneid	RNA STAR on KT030: mapped.bam
Zc3h14	1307
Troap	8
Clca2	0
1810013L24Rik	678
Srsf7	1556
Fignl2	24
Sema6a	840
Anapc15	253
Misp3	10
Nmb	49
Tcerg1	1317
Zfp712	110
Fam129c	52
Atp5g3	3086
Pifo	19
Olfr1045	0
Olfr1049	0
Vsx1	0
Fyco1	1466
Tlr3	212
Olfr1444	0
Olfr150	0
Ifi44	4
Trafd1	1245
Erfl	1
Krt80	8
Armc8	1281
Ppil4	978
C530005A16Rik	82
Katnbl1	236
Gm21693	0
Spag9	5225
Gm5860	0
Taz	607
Gfpt1	1177
Abcc5	2210
Kcnmb4	500
Gm4013	8
Hpcal1	732
Tbc1d31	151
Tmem176b	563
Mir5110	0
Mir5108	0
Cyp3a13	14
Akap7	721
Ablim1	1737
Lcn5	0
Ulk1	1665
Cyp4b1	8
Golga3	1061
Mir1193	0
Wdyhv1	219
Traf1	18
Atoh1	0
Rxra	626
Dapk3	1011
Mir7002	0
Mir6998	3
Ap3m2	2287
Sirt2	4944
Inhbc	0
Slit3	567
Cts3	0
Olfr74	0
Dcakd	2240
Vps35l	1237
Cyhr1	3288
Taf10	883
Hagh	1700
Ogfod3	109
Syn1	20538
Glyatl3	0
Slx	0
Ccl27a	963
Sqor	74
Fundc2	716
Rab5if	802
H1f5	2
Ankrd2	3
Pop4	581
Carnmt1	37
Iqcm	5
Clcc1	439
Magea2	0
Ilf3	1715
Tpd52l2	1057
Arhgap25	21
Banf1	1261
Tbc1d23	564
4930473A02Rik	43
Pard3	553
Rorc	89
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	0
Evi5l	2013
Pex5l	5231
Mtmr1	1113
Mtor	1630
Zfp758	249
Plekhh2	190
Adgrl3	1585
Golga5	535
Plekhb1	17071
Nufip1	304
Gm9866	258
Smap1	815
Tepp	0
Acox2	4
Hars2	405
Gpa33	0
Sdhb	2991
Gmpr	1582
Krt90	7
Me1	1341
Klk11	7
Magt1	341
Mcam	518
Pbld1	0
Tab2	1655
