direction,geneID,gene_count,rank,gene_description,treatgo_descriptions,logFC,P.Value,chr
Down,Pten,51,1,phosphatase and tensin homolog,regulation of neurogenesis; cell junction assembly; regulation of membrane potential; ameboidal-type cell migration; cell-cell signaling by wnt; Wnt signaling pathway; forebrain development; response to peptide; regulation of cell growth; regulation of developmental growth; gliogenesis; negative regulation of protein modification process; dendrite development; mitotic cell cycle phase transition; regulation of cellular component size; regulation of synapse structure or activity; regulation of synapse organization; cell-substrate adhesion; response to peptide hormone; cognition; negative regulation of locomotion; developmental growth involved in morphogenesis; developmental cell growth; postsynapse organization; cellular response to peptide; epithelial cell migration; epithelium migration; tissue migration; learning or memory; canonical Wnt signaling pathway; mesenchyme development; dephosphorylation; telencephalon development; regulation of cell morphogenesis; glial cell differentiation; vesicle-mediated transport in synapse; cellular response to peptide hormone stimulus; locomotory behavior; mesenchymal cell differentiation; regulation of cell junction assembly; synapse assembly; negative regulation of cell projection organization; synaptic vesicle cycle; dendrite morphogenesis; neuron projection extension; regulation of cell-substrate adhesion; regulation of axonogenesis; negative regulation of neuron projection development; dendritic spine development; regulation of postsynapse organization; neuron projection organization,-0.139300358,0.6308,19
Down,Gsk3b,49,2,glycogen synthase kinase 3 beta,regulation of neurogenesis; positive regulation of cell projection organization; cell junction assembly; regulation of membrane potential; cell-cell signaling by wnt; Wnt signaling pathway; forebrain development; cellular component disassembly; response to peptide; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; negative regulation of protein modification process; protein localization to cell periphery; dendrite development; regulation of protein-containing complex assembly; regulation of cellular component size; regulation of synapse structure or activity; regulation of synapse organization; cell-substrate adhesion; response to peptide hormone; negative regulation of locomotion; neuron apoptotic process; positive regulation of neurogenesis; developmental growth involved in morphogenesis; developmental cell growth; positive regulation of cellular catabolic process; nucleocytoplasmic transport; nuclear transport; regulation of Wnt signaling pathway; cellular response to peptide; canonical Wnt signaling pathway; mesenchyme development; regulation of GTPase activity; telencephalon development; cellular response to peptide hormone stimulus; mesenchymal cell differentiation; regulation of cell junction assembly; regulation of canonical Wnt signaling pathway; synapse assembly; protein-containing complex localization; negative regulation of cell projection organization; dendrite morphogenesis; neuron projection extension; regulation of cell-substrate adhesion; regulation of organelle assembly; regulation of axonogenesis; negative regulation of neuron projection development; neuron projection organization,-0.225398265,0.346,16
Down,Wnt5a,47,3,"wingless-type MMTV integration site family, member 5A",regulation of neurogenesis; positive regulation of cell projection organization; cell junction assembly; ameboidal-type cell migration; cell-cell signaling by wnt; Wnt signaling pathway; forebrain development; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; regulation of synapse organization; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; positive regulation of neurogenesis; developmental growth involved in morphogenesis; developmental cell growth; transforming growth factor beta receptor superfamily signaling pathway; renal system development; postsynapse organization; regulation of Wnt signaling pathway; epithelial cell migration; epithelium migration; tissue migration; regulation of cellular response to growth factor stimulus; canonical Wnt signaling pathway; mesenchyme development; regulation of GTPase activity; telencephalon development; regulation of cell morphogenesis; heart morphogenesis; neuron projection guidance; axon guidance; positive regulation of neuron projection development; mesenchymal cell differentiation; regulation of cell junction assembly; regulation of canonical Wnt signaling pathway; synapse assembly; negative regulation of cell projection organization; dendrite morphogenesis; neuron projection extension; regulation of organelle assembly; regulation of axonogenesis; negative regulation of neuron projection development; regulation of postsynapse organization,-0.32264059,0.1584,14
Down,Mtor,42,4,mechanistic target of rapamycin kinase,regulation of neurogenesis; positive regulation of cell projection organization; regulation of membrane potential; ameboidal-type cell migration; response to peptide; regulation of cell growth; actin filament organization; positive regulation of nervous system development; regulation of developmental growth; gliogenesis; negative regulation of protein modification process; dendrite development; regulation of protein-containing complex assembly; regulation of supramolecular fiber organization; regulation of amide metabolic process; regulation of cellular component size; regulation of actin filament-based process; response to peptide hormone; cognition; neuron apoptotic process; positive regulation of neurogenesis; regulation of mRNA metabolic process; developmental cell growth; positive regulation of cellular catabolic process; regulation of actin cytoskeleton organization; cellular response to peptide; epithelial cell migration; epithelium migration; tissue migration; learning or memory; mesenchyme development; regulation of GTPase activity; glial cell differentiation; heart morphogenesis; RNA catabolic process; cellular response to peptide hormone stimulus; locomotory behavior; mRNA catabolic process; positive regulation of neuron projection development; mesenchymal cell differentiation; regulation of organelle assembly; dendritic spine development,-0.132262543,0.4264,4
Down,Nrp1,42,5,neuropilin 1,regulation of neurogenesis; positive regulation of cell projection organization; cell junction assembly; small GTPase-mediated signal transduction; ameboidal-type cell migration; forebrain development; regulation of cell growth; actin filament organization; positive regulation of nervous system development; regulation of developmental growth; dendrite development; visual system development; sensory system development; eye development; regulation of supramolecular fiber organization; regulation of cellular component size; regulation of actin filament-based process; cell-substrate adhesion; negative regulation of locomotion; neuron apoptotic process; positive regulation of neurogenesis; developmental growth involved in morphogenesis; developmental cell growth; regulation of actin cytoskeleton organization; renal system development; postsynapse organization; epithelial cell migration; epithelium migration; tissue migration; regulation of cellular response to growth factor stimulus; mesenchyme development; heart morphogenesis; neuron projection guidance; axon guidance; mesenchymal cell differentiation; regulation of cell junction assembly; negative regulation of cell projection organization; dendrite morphogenesis; neuron projection extension; regulation of cell-substrate adhesion; regulation of axonogenesis; negative regulation of neuron projection development,-0.094616974,0.2492,8
Down,Tgfb1,41,6,"transforming growth factor, beta 1",regulation of neurogenesis; ameboidal-type cell migration; cell-cell signaling by wnt; Wnt signaling pathway; regulation of cell growth; positive regulation of nervous system development; gliogenesis; negative regulation of protein modification process; protein localization to cell periphery; visual system development; sensory system development; eye development; mitotic cell cycle phase transition; establishment of protein localization to organelle; regulation of protein-containing complex assembly; regulation of actin filament-based process; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; neuron apoptotic process; positive regulation of neurogenesis; developmental growth involved in morphogenesis; transforming growth factor beta receptor superfamily signaling pathway; nucleocytoplasmic transport; regulation of actin cytoskeleton organization; nuclear transport; renal system development; regulation of Wnt signaling pathway; epithelial cell migration; epithelium migration; tissue migration; regulation of cellular response to growth factor stimulus; canonical Wnt signaling pathway; mesenchyme development; dephosphorylation; glial cell differentiation; heart morphogenesis; response to transforming growth factor beta; cellular response to transforming growth factor beta stimulus; mesenchymal cell differentiation; regulation of canonical Wnt signaling pathway; transforming growth factor beta receptor signaling pathway,-0.27864201,0.4812,7
Down,Ctnnb1,38,7,"catenin (cadherin associated protein), beta 1",regulation of neurogenesis; cell junction assembly; cell-cell signaling by wnt; Wnt signaling pathway; forebrain development; establishment of organelle localization; response to peptide; positive regulation of nervous system development; gliogenesis; negative regulation of protein modification process; visual system development; sensory system development; eye development; regulation of synapse structure or activity; regulation of synapse organization; cell-substrate adhesion; response to peptide hormone; neuron apoptotic process; positive regulation of neurogenesis; developmental growth involved in morphogenesis; developmental cell growth; renal system development; regulation of Wnt signaling pathway; cellular response to peptide; regulation of cellular response to growth factor stimulus; canonical Wnt signaling pathway; mesenchyme development; telencephalon development; glial cell differentiation; vesicle-mediated transport in synapse; heart morphogenesis; cellular response to peptide hormone stimulus; mesenchymal cell differentiation; regulation of cell junction assembly; regulation of canonical Wnt signaling pathway; synapse assembly; synaptic vesicle cycle; neuron projection extension,-0.055059127,0.4896,9
Down,Lrp1,38,8,low density lipoprotein receptor-related protein 1,regulation of neurogenesis; positive regulation of cell projection organization; cell junction assembly; cell-cell signaling by wnt; Wnt signaling pathway; response to peptide; regulation of cell growth; positive regulation of nervous system development; regulation of developmental growth; gliogenesis; protein localization to cell periphery; regulation of cellular component size; regulation of actin filament-based process; cell-substrate adhesion; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; neuron apoptotic process; positive regulation of neurogenesis; developmental growth involved in morphogenesis; developmental cell growth; transforming growth factor beta receptor superfamily signaling pathway; regulation of actin cytoskeleton organization; regulation of Wnt signaling pathway; cellular response to peptide; regulation of cellular response to growth factor stimulus; glial cell differentiation; response to transforming growth factor beta; cellular response to transforming growth factor beta stimulus; neuron projection guidance; axon guidance; positive regulation of neuron projection development; regulation of cell junction assembly; negative regulation of cell projection organization; neuron projection extension; regulation of cell-substrate adhesion; transforming growth factor beta receptor signaling pathway; regulation of axonogenesis; negative regulation of neuron projection development,-0.044609261,0.8072,10
Down,Actr3,37,9,ARP3 actin-related protein 3,regulation of neurogenesis; positive regulation of cell projection organization; cell junction assembly; ameboidal-type cell migration; regulation of cell growth; actin filament organization; positive regulation of nervous system development; regulation of developmental growth; gliogenesis; protein localization to cell periphery; dendrite development; regulation of protein-containing complex assembly; regulation of supramolecular fiber organization; regulation of cellular component size; regulation of actin filament-based process; regulation of synapse structure or activity; regulation of synapse organization; positive regulation of neurogenesis; developmental growth involved in morphogenesis; developmental cell growth; regulation of actin cytoskeleton organization; postsynapse organization; regulation of cell morphogenesis; glial cell differentiation; response to transforming growth factor beta; cellular response to transforming growth factor beta stimulus; positive regulation of neuron projection development; regulation of cell junction assembly; synapse assembly; negative regulation of cell projection organization; dendrite morphogenesis; neuron projection extension; regulation of axonogenesis; negative regulation of neuron projection development; dendritic spine development; regulation of postsynapse organization; neuron projection organization,-0.041844513,0.8508,1
Down,Notch1,37,10,notch 1,regulation of neurogenesis; small GTPase-mediated signal transduction; ameboidal-type cell migration; cell-cell signaling by wnt; Wnt signaling pathway; forebrain development; response to peptide; positive regulation of nervous system development; regulation of developmental growth; gliogenesis; visual system development; sensory system development; eye development; establishment of protein localization to organelle; cell-substrate adhesion; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; positive regulation of neurogenesis; developmental growth involved in morphogenesis; transforming growth factor beta receptor superfamily signaling pathway; nucleocytoplasmic transport; nuclear transport; renal system development; regulation of Wnt signaling pathway; epithelial cell migration; epithelium migration; tissue migration; regulation of cellular response to growth factor stimulus; canonical Wnt signaling pathway; mesenchyme development; glial cell differentiation; heart morphogenesis; neuron projection guidance; axon guidance; mesenchymal cell differentiation; regulation of canonical Wnt signaling pathway; regulation of cell-substrate adhesion,-0.243236009,0.3604,2
