"direction","geneID","gene_count","rank","gene_description","treatgo_descriptions","logFC","P.Value","chr"
"Down","Pten",58,1,"phosphatase and tensin homolog","cell junction assembly; ameboidal-type cell migration; regulation of neurogenesis; response to peptide; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; negative regulation of transport; negative regulation of protein modification process; regulation of cell growth; forebrain development; cognition; cell-substrate adhesion; response to peptide hormone; epithelial cell migration; epithelium migration; tissue migration; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; phospholipid metabolic process; regulation of synapse organization; learning or memory; negative regulation of locomotion; cellular response to peptide; glial cell differentiation; negative regulation of phosphorylation; vesicle-mediated transport in synapse; negative regulation of cell motility; regulation of endocytosis; canonical Wnt signaling pathway; mesenchyme development; postsynapse organization; developmental growth involved in morphogenesis; negative regulation of cell migration; negative regulation of protein phosphorylation; response to insulin; cellular response to peptide hormone stimulus; locomotory behavior; developmental cell growth; synapse assembly; regulation of cell junction assembly; regulation of epithelial cell migration; telencephalon development; regulation of cell morphogenesis; synaptic vesicle cycle; mesenchymal cell differentiation; vesicle localization; cell-matrix adhesion; endothelial cell migration; negative regulation of cell projection organization; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development; cell-substrate junction organization; cell-substrate junction assembly",0.22275764044219,0.1832,"19"
"Down","Wnt5a",45,2,"wingless-type MMTV integration site family, member 5A","cell junction assembly; ameboidal-type cell migration; regulation of neurogenesis; positive regulation of cell projection organization; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; positive regulation of hydrolase activity; regulation of cell growth; forebrain development; epithelial cell migration; epithelium migration; tissue migration; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; transmembrane receptor protein serine/threonine kinase signaling pathway; regulation of synapse organization; negative regulation of locomotion; positive regulation of neurogenesis; renal system development; regulation of GTPase activity; kidney development; regulation of cellular response to growth factor stimulus; regulation of endocytosis; canonical Wnt signaling pathway; mesenchyme development; postsynapse organization; developmental growth involved in morphogenesis; regulation of Wnt signaling pathway; developmental cell growth; neuron projection guidance; synapse assembly; axon guidance; regulation of cell junction assembly; regulation of epithelial cell migration; telencephalon development; regulation of cell morphogenesis; mesenchymal cell differentiation; endothelial cell migration; epithelial cell development; negative regulation of cell projection organization; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development",0.375030616863048,0.0176,"14"
"Down","Gsk3b",44,3,"glycogen synthase kinase 3 beta","cell junction assembly; regulation of neurogenesis; positive regulation of cell projection organization; cellular component disassembly; response to peptide; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; positive regulation of hydrolase activity; protein localization to cell periphery; negative regulation of protein modification process; regulation of cell growth; forebrain development; cell-substrate adhesion; response to peptide hormone; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; regulation of synapse organization; negative regulation of locomotion; positive regulation of neurogenesis; regulation of GTPase activity; cellular response to peptide; negative regulation of cell motility; canonical Wnt signaling pathway; mesenchyme development; developmental growth involved in morphogenesis; negative regulation of cell migration; regulation of Wnt signaling pathway; regulation of autophagy; response to insulin; cellular response to peptide hormone stimulus; developmental cell growth; synapse assembly; regulation of cell junction assembly; telencephalon development; mesenchymal cell differentiation; cell-matrix adhesion; negative regulation of cell projection organization; protein autophosphorylation; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development; protein localization to cell junction",0.233417081654581,0.0272,"16"
"Down","Abl1",41,4,"c-abl oncogene 1, non-receptor tyrosine kinase","cell junction assembly; ameboidal-type cell migration; small GTPase-mediated signal transduction; positive regulation of cell projection organization; actin filament organization; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; negative regulation of protein modification process; regulation of cell growth; cognition; cell-substrate adhesion; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; regulation of supramolecular fiber organization; transmembrane receptor protein serine/threonine kinase signaling pathway; regulation of synapse organization; learning or memory; regulation of actin cytoskeleton organization; glial cell differentiation; regulation of cellular response to growth factor stimulus; negative regulation of phosphorylation; developmental growth involved in morphogenesis; regulation of Wnt signaling pathway; negative regulation of protein phosphorylation; developmental cell growth; regulation of small GTPase mediated signal transduction; regulation of cell junction assembly; regulation of epithelial cell migration; cell-matrix adhesion; endothelial cell migration; protein autophosphorylation; cell-substrate junction organization; cell-substrate junction assembly",0.0752336285721,0.4776,"2"
"Down","Slit2",41,5,"slit guidance ligand 2","cell junction assembly; ameboidal-type cell migration; regulation of neurogenesis; small GTPase-mediated signal transduction; actin filament organization; positive regulation of nervous system development; negative regulation of protein modification process; regulation of cell growth; forebrain development; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; regulation of cellular component size; regulation of synapse structure or activity; regulation of supramolecular fiber organization; regulation of synapse organization; negative regulation of locomotion; renal system development; kidney development; regulation of actin cytoskeleton organization; regulation of cellular response to growth factor stimulus; negative regulation of phosphorylation; negative regulation of cell motility; developmental growth involved in morphogenesis; negative regulation of cell migration; negative regulation of protein phosphorylation; developmental cell growth; neuron projection guidance; synapse assembly; axon guidance; regulation of small GTPase mediated signal transduction; regulation of cell junction assembly; regulation of epithelial cell migration; telencephalon development; endothelial cell migration; negative regulation of cell projection organization; regulation of axonogenesis; negative regulation of neuron projection development",0.297839521778731,0.2952,"5"
"Down","Tgfb1",41,6,"transforming growth factor, beta 1","ameboidal-type cell migration; regulation of neurogenesis; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; negative regulation of transport; positive regulation of nervous system development; protein localization to cell periphery; negative regulation of protein modification process; regulation of cell growth; protein localization to extracellular region; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; protein secretion; establishment of protein localization to extracellular region; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; positive regulation of neurogenesis; renal system development; kidney development; regulation of actin cytoskeleton organization; glial cell differentiation; regulation of cellular response to growth factor stimulus; negative regulation of phosphorylation; negative regulation of cell motility; protein localization to plasma membrane; regulation of endocytosis; canonical Wnt signaling pathway; mesenchyme development; developmental growth involved in morphogenesis; negative regulation of cell migration; regulation of Wnt signaling pathway; negative regulation of protein phosphorylation; regulation of epithelial cell migration; mesenchymal cell differentiation; endothelial cell migration; epithelial cell development",-0.00150110880286336,0.994,"7"
"Down","Lrp1",40,7,"low density lipoprotein receptor-related protein 1","cell junction assembly; regulation of neurogenesis; positive regulation of cell projection organization; response to peptide; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; protein localization to cell periphery; regulation of cell growth; cell-substrate adhesion; protein localization to extracellular region; regulation of actin filament-based process; protein secretion; establishment of protein localization to extracellular region; regulation of cellular component size; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; positive regulation of neurogenesis; cellular response to peptide; regulation of actin cytoskeleton organization; glial cell differentiation; regulation of cellular response to growth factor stimulus; negative regulation of cell motility; protein localization to plasma membrane; regulation of endocytosis; developmental growth involved in morphogenesis; negative regulation of cell migration; regulation of Wnt signaling pathway; developmental cell growth; neuron projection guidance; axon guidance; receptor-mediated endocytosis; regulation of cell junction assembly; cell-matrix adhesion; negative regulation of cell projection organization; regulation of axonogenesis; negative regulation of neuron projection development; cell-substrate junction organization; cell-substrate junction assembly",-0.0583675768632119,0.7652,"10"
"Down","Mtor",40,8,"mechanistic target of rapamycin kinase","ameboidal-type cell migration; regulation of neurogenesis; positive regulation of cell projection organization; actin filament organization; response to peptide; gliogenesis; negative regulation of transport; positive regulation of nervous system development; negative regulation of protein modification process; regulation of cell growth; cognition; response to peptide hormone; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dendrite development; regulation of cellular component size; regulation of supramolecular fiber organization; learning or memory; positive regulation of neurogenesis; regulation of GTPase activity; cellular response to peptide; regulation of actin cytoskeleton organization; glial cell differentiation; negative regulation of phosphorylation; mesenchyme development; negative regulation of protein phosphorylation; macroautophagy; regulation of autophagy; response to insulin; cellular response to peptide hormone stimulus; locomotory behavior; developmental cell growth; regulation of epithelial cell migration; mesenchymal cell differentiation; protein autophosphorylation; learning",0.0973816423702623,0.448,"4"
"Down","Ctnnb1",38,9,"catenin (cadherin associated protein), beta 1","cell junction assembly; regulation of neurogenesis; response to peptide; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; negative regulation of protein modification process; forebrain development; cell-substrate adhesion; response to peptide hormone; regulation of synapse structure or activity; regulation of synapse organization; glycoprotein metabolic process; positive regulation of neurogenesis; renal system development; kidney development; cellular response to peptide; glial cell differentiation; regulation of cellular response to growth factor stimulus; vesicle-mediated transport in synapse; canonical Wnt signaling pathway; mesenchyme development; developmental growth involved in morphogenesis; regulation of Wnt signaling pathway; cellular response to peptide hormone stimulus; developmental cell growth; synapse assembly; glycoprotein biosynthetic process; regulation of cell junction assembly; telencephalon development; synaptic vesicle cycle; mesenchymal cell differentiation; vesicle localization; cell-matrix adhesion; establishment of vesicle localization; endothelium development; endothelial cell differentiation",0.0432533463345628,0.3728,"9"
"Down","Nf1",35,10,"neurofibromin 1","ameboidal-type cell migration; regulation of neurogenesis; small GTPase-mediated signal transduction; positive regulation of cell projection organization; gliogenesis; negative regulation of transport; positive regulation of hydrolase activity; negative regulation of protein modification process; forebrain development; cognition; cell-substrate adhesion; epithelial cell migration; epithelium migration; tissue migration; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; regulation of synapse structure or activity; regulation of synapse organization; learning or memory; negative regulation of locomotion; renal system development; regulation of GTPase activity; kidney development; glial cell differentiation; negative regulation of phosphorylation; negative regulation of cell motility; postsynapse organization; negative regulation of cell migration; negative regulation of protein phosphorylation; regulation of small GTPase mediated signal transduction; regulation of epithelial cell migration; telencephalon development; cell-matrix adhesion; endothelial cell migration; learning",0.126217221480075,0.2404,"11"
