"","symbol","chr","description","MM"
"1","Col8a2","4","collagen, type VIII, alpha 2","0.972975503927438"
"2","Lbp","2","lipopolysaccharide binding protein","0.971725293326444"
"3","Pcolce","5","procollagen C-endopeptidase enhancer protein","0.969371785214688"
"4","Ecrg4","1","ECRG4 augurin precursor","0.961865938288382"
"5","Otx2","14","orthodenticle homeobox 2","0.95957169748346"
"6","Epn3","11","epsin 3","0.958385411199171"
"7","Slc13a4","6","solute carrier family 13 (sodium/sulfate symporters), member 4","0.957470749109566"
"8","Ace","11","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1","0.952608515262454"
"9","Sema3b","9","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","0.94931084192087"
"10","Drc7","8","dynein regulatory complex subunit 7","0.94635905602657"
"11","Rbm47","5","RNA binding motif protein 47","0.945054739047191"
"12","Folr1","7","folate receptor 1 (adult)","0.941455817005168"
"13","Cdkn1c","7","cyclin-dependent kinase inhibitor 1C (P57)","0.941272271061205"
"14","Krt18","15","keratin 18","0.939972892032484"
"15","Slc4a5","6","solute carrier family 4, sodium bicarbonate cotransporter, member 5","0.939852443149706"
