"","symbol","chr","description","MM"
"1","Ezh1","11","enhancer of zeste 1 polycomb repressive complex 2 subunit","9.59531969329762e-06"
"2","2210016L21Rik","5","RIKEN cDNA 2210016L21 gene","9.16378365024072e-05"
"3","Dnajc12","10","DnaJ heat shock protein family (Hsp40) member C12","8.38377004649196e-05"
"4","Rabgap1l","1","RAB GTPase activating protein 1-like","5.49142960969877e-05"
"5","Poldip3","15","polymerase (DNA-directed), delta interacting protein 3","4.9857315038018e-05"
"6","Sdf2l1","16","stromal cell-derived factor 2-like 1","4.47503274293596e-05"
"7","Zfp263","16","zinc finger protein 263","3.26840425533555e-05"
"8","Oasl2","5","2'-5' oligoadenylate synthetase-like 2","0.941897300193096"
"9","Ifit3","19","interferon-induced protein with tetratricopeptide repeats 3","0.911757017412998"
"10","Irf7","7","interferon regulatory factor 7","0.904707088621836"
"11","Gbp3","3","guanylate binding protein 3","0.876291211741833"
"12","Usp18","6","ubiquitin specific peptidase 18","0.86637265372991"
"13","Ifit3b","19","interferon-induced protein with tetratricopeptide repeats 3B","0.847850701821533"
"14","Ifitm3","7","interferon induced transmembrane protein 3","0.843855280174681"
"15","Ifit1","19","interferon-induced protein with tetratricopeptide repeats 1","0.840698157043133"
