"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0421377183967112,0.0152296562943477,5.71857792807451e-62,3.6759018921663e-58,2.31391721637036e-58,"Pelp1/Mdn1/Ipo9/Isg20l2/Rbfa/Rexo4/Usp4/Brix1/Ddx54/Sf3a3/Exosc6/Nip7/Rrn3/Rbmx/Utp15/Mybbp1a/Prpf6/Ebna1bp2/Celf3/Adar/Nup88/Tma16/Ran/Celf6/Ltv1/Ftsj3/Cinp/Prpf3/Trmt112/Riok2/Sdad1/2810004N23Rik/Rpp30/Utp4/Snrpd3/Mrm3/Exosc10/Rbm10/Atr/Nsa2/Ddx56/Mpv17l2/Utp11/Slx9/Tsc1/Puf60/Lsm4/Airim/Ybey/Wdr18/Srsf6/Wbp11/Exosc1/Exosc2/Pop4/Aar2/Grwd1/Ruvbl1/Gtf3a/Utp25/Mphosph6/Sart3/Rsrp1/Fbll1/Mrm1/Prpf19/Zcchc4/Emg1/Ddx31/Heatr3/Utp14a/Nol9/Malsu1/Sart1/Ddx49/Mettl16/Gemin2/Rps6/Rps27l/Urb1/Xab2/Sbds/Noa1/Ngrn/Lsg1/Ercc2/Nifk/Eri3/Coil/Rnasel/Gemin5/Snu13/Mcts1/Nhp2/LTO1/Eral1/Nol6/Ptges3/Taf9/Mrpl20/Rsl1d1/Mrpl44/Smn1/Prmt5/Traf7/Nol10/Pwp2/Snrpd1/Exosc9/Riok3/C1qbp/Ddx51/Nsun4/Noc2l/Eif2s2/Ddx39b/Ppan/Pin4/Heatr1/Suv39h1/Prpf31/Nop16/Nop56/Rsl24d1/Nufip1/Rrp15/Rrp7a/Clns1a/Lsm6/Ddx47/Rrp1b/Rps15a/Gtf2h5/Pop5/Snrpb/Fbl/Pak1ip1/Lsm2/Sfswap/Mrto4/Rps27/Eif3d/Pes1/Las1l/Eif2d/Zfp622/Gemin8/Xrcc5/Ngdn/Rpl11/Ramac/Rps17/Pop7/Noc4l/Znhit3/Nle1/Rbis/Pih1d1/Nsun5/Rpl7a/Polr2d/Exosc7/Ddx18/Bop1/Rps3a1/Rpusd1/Nop10/Zfp593/Mrps7/Rpl27/Nob1/Bud23/Pdcd11/Rpl7/Tbl3/Prmt7/Rrp36/Nop9/Gemin4/C1d/Fcf1/Rpl5/Exosc5/Wdr46/Exosc8/Rpl7l1/Exosc4/Mrm2/Wdr74/Rpsa/Prkdc/Mettl17/Imp3/Rpl35/Rpp25/Riox2/Ddx28/Nol7/Rplp0/Ruvbl2/Mrpl10/Nop53/Rps23/Rps13/Rps21/Snrpe/Tssc4/Snrpc/Gemin7/Rrp9/Rpl35a/Rps12/Rps25/Rps7/Rps16/Eif6/Gar1/Rpl23a/Rps5/Sirt7/Rps9/Npm3/Nol3/Rpl10/Rpl24/Rpl13a/Rps24/Rpl10a/Fau/Rpp38/Rpl14/Rpusd4/Snrpg/Tsr3/Rps28/Rps8/Tarbp2/Rps19bp1/Rps14/Rps15/Rpl38/Rps11/Srpk3/Rps19/Rpl6/Snrpd2",246,"Up","Oil - OPFR"
"GO:0006091","generation of precursor metabolites and energy",0.0405960945529291,0.0167526219237825,4.10209859272887e-46,4.39471495901019e-43,2.76639771762277e-43,"Fkrp/Rhoa/Dlst/Mfn2/Slc2a6/Gpi1/Gapdh/Eno2/Gaa/Grb10/Mybbp1a/Flcn/Tkfc/Aco2/Idh3b/Phka1/Prkaca/Mlx/Idh3a/Coq7/Pfkfb2/Bid/Gabarapl1/Pdhb/Cs/Prdm16/Plec/Igf1/Por/Fh1/Akt2/Ndufa1/Gnpda1/Uqcrc1/Prps2/Ldha/Stk40/Pgam1/Adpgk/Pkm/Ppp1ca/Ndufa9/Acat1/Idh3g/Myc/Atp5f1b/Cat/Thap11/Mtfr1l/Ifnar1/Tcf7l2/Atp5pb/H6pd/Adh5/Vcp/Ogdh/Ndufv2/Mlst8/Inpp5k/Tkt/Mrps36/Uqcrfs1/Etfrf1/Fdx1/Git1/Gyg1/Ndufc2/Chchd4/Nr1d1/Pfkl/Psen1/Cox7a2l/Ppara/Tpi1/Sdhaf2/Ndufs2/Atpsckmt/Cbfa2t3/Nipsnap2/Macroh2a1/Aldoc/Prelid1/Slc25a33/Galk1/Ppp1r3f/Jmjd8/Phb2/Uqcc3/Rpia/Trap1/Dhtkd1/Ptges3/Atp5f1d/Mdh1/Kl/Phka2/Dnajc15/Cox10/Ndufa8/Pink1/Akt1/Ppif/Suclg1/Afg1l/Pygb/Vgf/Ndufb10/Cyc1/Slc37a4/Pgk1/Cox8a/Ndufs4/Lyrm7/Sdhc/Dnajc30/Slc25a25/Galt/Mc4r/Sdhd/Gnas/Ndufa12/Sirt3/Uqcr11/Aldoa/Ndufs6/Chchd10/Cox7a2/Dgat1/G6pdx/Atp5f1c/Gadd45gip1/Il10rb/Ak4/Atp5pd/Aldh1l1/Adsl/Chchd2/Ndufab1/Trpv4/Sirt6/Ugp2/Mtln/Stoml2/Hsd11b1/Ndufb4/P2rx7/Bax/Pde2a/Ppp1cc/Gale/Pgam2/Adgrf5/Mt3/Ndor1/Mdh2/Ndufa6/Pygm/Cox7b/Per2/Ndufv1/Park7/Phkg2/Shpk/Ndufb5/Cox17/Cox5a/Ndufa10/Ndufa3/Oxa1l/Suclg2/Phkg1/Eno1/Atp5po/Ndufb2/Etfa/Sdhb/Ppp1r3g/Ppp1r1a/Coa6/S100b/Ndufb6/Fxn/Khk/Pgls/Coq10b/Cox6a2/Ndufa11/Hmgcl/Atp5pf/Nop53/Ndufb11/Ddit4/Cox5b/Ndufb8/Eno3/Chchd5/Cox6a1/Ndufa13/Shmt2/Gapdhs/Ucp2/Taldo1/Cisd1/Arl2/Ndufs3/Slc25a18/Ndufb9/Uqcr10/Atp5mf/Ndufs7/Dguok/Ndufs8/Eif6/Uqcc2/Cox4i1/Cox7c/Tefm/Uqcrh/Ndufa5/Etfb/Ndufv3/Ndufa4/Ndp/Iscu/Ndufa7/Ndufc1/Ide/Sdhaf4/Bloc1s1/Cavin3/Ndufb7/Ndufa2/Aldob/Atp5f1e/Uqcrq/Atp5me/Nupr1",237,"Up","Oil - OPFR"
"GO:0034470","ncRNA processing",0.0381980130181569,0.0142951092035582,1.06957229398646e-52,2.291736901915e-49,1.44260908704701e-49,"Pelp1/Tgfb1/Zmpste24/Rbfa/Rexo4/Brix1/Ddx54/Exosc6/Utp15/Nsun2/Ebna1bp2/Adar/Rnf113a2/Aars1/Ints4/Rtcb/Ftsj3/Trmt112/Riok2/Ints11/Ripk1/Trub2/Rpp30/Elp1/Utp4/Mrm3/Exosc10/Ints3/Nsa2/Ddx56/Utp11/Ints5/Slx9/Tsen34/Ybey/Wdr18/Tprkb/Pus3/Wbp11/Exosc1/Mettl8/Fars2/Exosc2/Mocs3/Pop4/Ncbp2/Yrdc/Utp25/Mettl1/Mphosph6/Tsn/Trmt5/Wdr6/Fbll1/Mrm1/Osgep/Zcchc4/Zc3h7a/Emg1/Trmt1l/Utp14a/Nol9/Sart1/Tut1/Ftsj1/Adat1/Ddx49/Mettl16/Trpt1/Rps6/Urb1/Tsen2/Sbds/Alkbh1/Ercc2/Nifk/Pus10/Eri3/Rnasel/Snu13/Nhp2/Pus7/Rpp25l/Nol6/Hsd17b10/Parn/Rsl1d1/Mrpl44/Trmt2a/Nol10/Akt1/Larp7/Pwp2/Exosc9/Rtraf/Riok3/Trmt61a/Ddx51/Nsun4/Sars1/Ints1/Ppan/Pin4/Heatr1/Suv39h1/Pop1/Zcchc8/Rrp15/Rrp7a/Trmt10a/Lsm6/Ddx47/Rrp1b/Gtf2h5/Nsun6/Pop5/Gtpbp3/Snip1/Fbl/Srsf3/Tdrd7/Dus1l/Dtwd1/Mettl2/Lage3/Mrto4/Rps27/Pes1/Rnf113a1/Las1l/Mettl3/Toe1/Ints7/Ngdn/Rpl11/Rps17/Urm1/Dalrd3/Pop7/Znhit3/Elac2/Mto1/Tyw1/Pih1d1/Usb1/Nsun5/Rpl7a/Exosc7/Ddx18/Bop1/Pusl1/Rpusd1/Elp3/Nop10/Nr2f1/Rpl27/Nob1/Bud23/Pdcd11/Rpl7/Trit1/Tbl3/Rrp36/Rpp21/Nop9/Spout1/C1d/Fcf1/Rpl5/Trmt1/Ctu2/Exosc5/Wdr46/Trmu/Dus3l/Wdr4/Exosc8/Rpl7l1/Exosc4/Mrm2/Wdr74/Prkdc/Cdk5rap1/Ptcd1/Imp3/Rpl35/Ankrd16/Rpp25/Qng1/Elp6/Bcdin3d/Tsen15/Ctu1/Gon7/Nop53/Tsen54/Rps21/Dus2/Elp5/Rrp9/Rpl35a/Rps25/Rps7/Rps16/Eif6/Gar1/Sirt7/Npm3/Rps24/Rpl10a/Rpp38/Rpl14/Rpusd4/Qtrt1/Rbm3/Tsr3/Rps28/Rps8/Trmt44/Tarbp2/Rps15/Dus4l/Rps19",223,"Up","Oil - OPFR"
"GO:0009117","nucleotide metabolic process",0.0380267214799589,0.01720258904157,1.81641651331633e-35,9.72993778966446e-33,6.12482901507716e-33,"Hmgcs1/Rhoa/Nadk/Enpp5/Dlst/Tgfb1/Rfk/Atic/Papss2/Dmac2l/Dgat2/Flcn/Acot9/Idh3b/Ampd3/Idh3a/Pank4/Me1/Pdk1/Pdhb/Pdk3/Mfn1/Nudt9/Cs/Adcy6/Ran/Ndufa1/Rhoq/Prps2/Ldha/Nme7/Impdh2/Mlycd/Hpca/Ndufa9/Acat1/Idh3g/Gucy2e/Myc/Trem2/Atp5f1b/Nt5c2/Bcl2l1/Pcx/Mthfd2l/Atp5pb/Noct/H6pd/Gart/Vcp/Gtpbp1/Mpc1/Ogdh/Gpat4/Ndufv2/Mlst8/Tkt/Rrm1/Fdx1/Nqo1/Ndufc2/Far2/Ldhb/Adcy8/Acot8/Kars1/Ppara/Dut/Ndufs2/Atpsckmt/Nt5m/Kcnab2/Macroh2a1/Adcy2/Uck1/Ak1/Uqcc3/Rpia/Flad1/Acot7/Nudt10/Coasy/Mthfd1/Tbpl1/Atp5f1d/Mdh1/Gars/Pnp/Ndufa8/Suclg1/Nt5c/Nmnat1/Ndufb10/Vdac1/Fcsk/Mcee/Gcdh/Nt5c3b/Bad/Ndufs4/Nme3/Atp5mc3/Sdhc/Dnajc30/Mpc2/Slc25a25/Pfas/Gmpr/Umps/Sdhd/Naxe/Rnaseh2b/Ndufa12/Hint1/Aldoa/Ndufs6/Prpsap2/Aprt/Dcakd/Npr2/Ctps2/Mvk/Dgat1/G6pdx/Prdx5/Atp5f1c/Mvd/Ak2/Ak4/Atp5pd/Aldh1l1/Adsl/Ndufab1/Dcxr/Atp6v1b2/Cad/Acss1/Stoml2/Hsd11b1/Ndufb4/Atp5if1/Sult2b1/Nadsyn1/Pde2a/Gucy2g/Nme2/Nme5/Cnp/Nme1/Mdh2/Tk2/Pdk4/Ndufa6/Acacb/Ndufv1/Hrh3/Oasl2/Park7/Nudt19/Pmvk/Ctns/Prpsap1/Shpk/Ndufb5/Dctd/Ndufa10/Ndufa3/Suclg2/Eno1/Atp5po/Lacc1/Ndufb2/Acot5/Dctpp1/Sdhb/Fdxr/Ndufb6/Atp5mc1/Ppcdc/Itpa/Pgls/Guk1/Nos3/Ndufa11/Nudt18/Nt5c3/Hmgcl/Atp5pf/Ndufb11/Ndufb8/Dhodh/Ndufa13/Nudt3/Taldo1/Slc52a2/Ndufs3/Fis1/Ndufb9/Acot2/Atp5mf/Ndufs7/Dguok/Ndufs8/Npr1/Acaa2/Nudt17/Ndufa5/Dtymk/Ndufv3/Nudt16/Ndufa7/Ndufc1/Nudt2/Naprt/Ndufb7/Myh6/Ndufa2/Atp5mc2/Prkn/Aldob/Atp5f1e/Atp5me",222,"Up","Oil - OPFR"
"GO:0072521","purine-containing compound metabolic process",0.0357999314833847,0.0165795576477104,1.04624532095202e-31,4.48350994871973e-29,2.82229264122075e-29,"Hmgcs1/Rhoa/Nadk/Dlst/Tgfb1/Carmil1/Atic/Papss2/Dmac2l/Dgat2/Flcn/Acot9/Idh3b/Ampd3/Idh3a/Pank4/Me1/Pdk1/Pdhb/Pdk3/Mfn1/Nudt9/Cs/Adcy6/Ran/Ndufa1/Rhoq/Prps2/Ldha/Nme7/Impdh2/Mlycd/Hpca/Ndufa9/Acat1/Idh3g/Oard1/Gucy2e/Myc/Trem2/Atp5f1b/Nt5c2/Bcl2l1/Pcx/Abcg2/Mthfd2l/Atp5pb/Noct/H6pd/Gart/Vcp/Gtpbp1/Mpc1/Ogdh/Gpat4/Ndufv2/Mlst8/Icmt/Tkt/Fdx1/Nqo1/Ndufc2/Far2/Nudt1/Ldhb/Adcy8/Acot8/Ppara/Ndufs2/Atpsckmt/Kcnab2/Macroh2a1/Adcy2/Ak1/Uqcc3/Rpia/Acot7/Nudt10/Coasy/Mthfd1/Atp5f1d/Mdh1/Pnp/Ndufa8/Pcmt1/Suclg1/Nt5c/Nmnat1/Ndufb10/Vdac1/Mcee/Gcdh/Bad/Ndufs4/Nme3/Atp5mc3/Sdhc/Dnajc30/Mpc2/Slc25a25/Pfas/Gmpr/Sdhd/Ndufa12/Hint1/Aldoa/Ndufs6/Prpsap2/Aprt/Dcakd/Npr2/Mvk/Dgat1/G6pdx/Prdx5/Atp5f1c/Mvd/Ak2/Ak4/Atp5pd/Aldh1l1/Adsl/Ndufab1/Macrod1/Gamt/Dcxr/Atp6v1b2/Acss1/Stoml2/Mtap/Hsd11b1/Ndufb4/Atp5if1/Sult2b1/Nadsyn1/Pde2a/Gucy2g/Nme2/Nme5/Nme1/Mdh2/Pdk4/Ndufa6/Slc16a9/Acacb/Ndufv1/Hrh3/Oasl2/Nudt19/Pmvk/Ctns/Prpsap1/Shpk/Ndufb5/Ndufa10/Ndufa3/Suclg2/Eno1/Atp5po/Lacc1/Ndufb2/Acot5/Sdhb/Fdxr/Ndufb6/Atp5mc1/Ppcdc/Itpa/Pgls/Guk1/Nos3/Ndufa11/Nudt18/Nt5c3/Hmgcl/Atp5pf/Ndufb11/Ndufb8/Ndufa13/Shmt2/Nudt3/Taldo1/Ndufs3/Fis1/Ndufb9/Acot2/Atp5mf/Ndufs7/Dguok/Ndufs8/Npr1/Acaa2/Nudt17/Ndufa5/Ndufv3/Ttr/Nudt16/Ndufa7/Ndufc1/Nudt2/Naprt/Ndufb7/Myh6/Ndufa2/Atp5mc2/Prkn/Aldob/Atp5f1e/Atp5me",209,"Up","Oil - OPFR"
"GO:0006163","purine nucleotide metabolic process",0.0335731414868106,0.0153681077152054,1.28473253535111e-30,4.85780043366878e-28,3.05790208414221e-28,"Hmgcs1/Rhoa/Nadk/Dlst/Tgfb1/Atic/Papss2/Dmac2l/Dgat2/Flcn/Acot9/Idh3b/Ampd3/Idh3a/Pank4/Me1/Pdk1/Pdhb/Pdk3/Mfn1/Nudt9/Cs/Adcy6/Ran/Ndufa1/Rhoq/Prps2/Ldha/Nme7/Impdh2/Mlycd/Hpca/Ndufa9/Acat1/Idh3g/Gucy2e/Myc/Trem2/Atp5f1b/Nt5c2/Bcl2l1/Pcx/Mthfd2l/Atp5pb/Noct/H6pd/Gart/Vcp/Gtpbp1/Mpc1/Ogdh/Gpat4/Ndufv2/Mlst8/Tkt/Fdx1/Nqo1/Ndufc2/Far2/Ldhb/Adcy8/Acot8/Ppara/Ndufs2/Atpsckmt/Kcnab2/Macroh2a1/Adcy2/Ak1/Uqcc3/Rpia/Acot7/Nudt10/Coasy/Mthfd1/Atp5f1d/Mdh1/Pnp/Ndufa8/Suclg1/Nt5c/Nmnat1/Ndufb10/Vdac1/Mcee/Gcdh/Bad/Ndufs4/Nme3/Atp5mc3/Sdhc/Dnajc30/Mpc2/Slc25a25/Pfas/Gmpr/Sdhd/Ndufa12/Hint1/Aldoa/Ndufs6/Prpsap2/Aprt/Dcakd/Npr2/Mvk/Dgat1/G6pdx/Prdx5/Atp5f1c/Mvd/Ak2/Ak4/Atp5pd/Aldh1l1/Adsl/Ndufab1/Dcxr/Atp6v1b2/Acss1/Stoml2/Hsd11b1/Ndufb4/Atp5if1/Sult2b1/Nadsyn1/Pde2a/Gucy2g/Nme2/Nme5/Nme1/Mdh2/Pdk4/Ndufa6/Acacb/Ndufv1/Hrh3/Oasl2/Nudt19/Pmvk/Ctns/Prpsap1/Shpk/Ndufb5/Ndufa10/Ndufa3/Suclg2/Eno1/Atp5po/Lacc1/Ndufb2/Acot5/Sdhb/Fdxr/Ndufb6/Atp5mc1/Ppcdc/Itpa/Pgls/Guk1/Nos3/Ndufa11/Nudt18/Hmgcl/Atp5pf/Ndufb11/Ndufb8/Ndufa13/Nudt3/Taldo1/Ndufs3/Fis1/Ndufb9/Acot2/Atp5mf/Ndufs7/Dguok/Ndufs8/Npr1/Acaa2/Nudt17/Ndufa5/Ndufv3/Nudt16/Ndufa7/Ndufc1/Nudt2/Naprt/Ndufb7/Myh6/Ndufa2/Atp5mc2/Prkn/Aldob/Atp5f1e/Atp5me",196,"Up","Oil - OPFR"
"GO:0042254","ribosome biogenesis",0.0328879753340185,0.0111453393790454,1.6277235704782e-54,5.23150355551694e-51,3.29314179206221e-51,"Pelp1/Mdn1/Ipo9/Isg20l2/Rbfa/Rexo4/Brix1/Ddx54/Exosc6/Nip7/Rrn3/Utp15/Mybbp1a/Ebna1bp2/Nup88/Tma16/Ran/Ltv1/Ftsj3/Cinp/Trmt112/Riok2/Sdad1/2810004N23Rik/Rpp30/Utp4/Mrm3/Exosc10/Rbm10/Nsa2/Ddx56/Mpv17l2/Utp11/Slx9/Tsc1/Airim/Ybey/Wdr18/Wbp11/Exosc1/Exosc2/Pop4/Grwd1/Gtf3a/Utp25/Mphosph6/Fbll1/Mrm1/Zcchc4/Emg1/Ddx31/Heatr3/Utp14a/Nol9/Malsu1/Sart1/Ddx49/Mettl16/Rps6/Rps27l/Urb1/Sbds/Noa1/Ngrn/Lsg1/Ercc2/Nifk/Eri3/Rnasel/Snu13/Nhp2/LTO1/Eral1/Nol6/Mrpl20/Rsl1d1/Mrpl44/Traf7/Nol10/Pwp2/Exosc9/Riok3/C1qbp/Ddx51/Nsun4/Noc2l/Ppan/Pin4/Heatr1/Suv39h1/Nop16/Nop56/Rsl24d1/Rrp15/Rrp7a/Lsm6/Ddx47/Rrp1b/Rps15a/Gtf2h5/Pop5/Fbl/Pak1ip1/Mrto4/Rps27/Pes1/Las1l/Zfp622/Xrcc5/Ngdn/Rpl11/Rps17/Pop7/Noc4l/Znhit3/Nle1/Rbis/Pih1d1/Nsun5/Rpl7a/Exosc7/Ddx18/Bop1/Rps3a1/Rpusd1/Nop10/Zfp593/Mrps7/Rpl27/Nob1/Bud23/Pdcd11/Rpl7/Tbl3/Rrp36/Nop9/C1d/Fcf1/Rpl5/Exosc5/Wdr46/Exosc8/Rpl7l1/Exosc4/Mrm2/Wdr74/Rpsa/Prkdc/Mettl17/Imp3/Rpl35/Rpp25/Riox2/Ddx28/Nol7/Rplp0/Mrpl10/Nop53/Rps23/Rps13/Rps21/Rrp9/Rpl35a/Rps12/Rps25/Rps7/Rps16/Eif6/Gar1/Rpl23a/Rps5/Sirt7/Rps9/Npm3/Rpl10/Rpl24/Rps24/Rpl10a/Fau/Rpp38/Rpl14/Rpusd4/Tsr3/Rps28/Rps8/Rps19bp1/Rps14/Rps15/Rpl38/Rps11/Rps19/Rpl6",192,"Up","Oil - OPFR"
"GO:0006397","mRNA processing",0.0328879753340185,0.0171679761863556,1.02228697538631e-21,1.34107360771086e-19,8.44182842832433e-20,"Srsf7/Gpatch1/Arvcf/Usp4/Ecd/Sf3a3/Rbmx/Ptcd2/Ess2/U2af2/Thoc5/Dnajc17/Bud31/Prpf6/Prkaca/Rnps1/Fastkd5/Rbm22/Pcbp1/Celf3/Adar/Rnf113a2/Fxr2/Ppil3/Scaf1/Celf6/Paf1/Thoc1/Armc7/Ddx41/Rpusd3/Fra10ac1/Prpf3/Snrpa/Cwc15/Trub2/Safb/Eif4a3/Bud13/Snrpd3/Rbm10/Thoc7/Rbm11/Brdt/Srsf4/Yju2b/Puf60/Lsm4/Tsen34/Magoh/Sf3b6/Srsf6/Wbp11/Tra2b/Ncbp2/Rbm4b/Aar2/Plrg1/Ctnnbl1/Eftud2/Sart3/Rsrp1/Prpf19/Cactin/Snw1/Yju2/Ppil2/Cpeb1/Rbmx2/Alyref/Cenatac/Lsm8/Sart1/Tut1/Gemin2/Hsf1/Acin1/Srsf2/Xab2/Tsen2/Safb2/Tbrg4/U2af1l4/Zpr1/Akap8l/Coil/Adarb2/Rnasel/Gemin5/Snu13/Rbfox3/Cript/Pus7/Zcrb1/Prmt9/Lsm10/Smn1/Hnrnpl/Prmt5/Ppil1/Thoc6/Trmt2a/Larp7/Snrpd1/Aplp1/C1qbp/Srek1ip1/Ddx39b/Mfap1a/Zcchc8/Prpf31/Scnm1/Hnrnpa1/Ssu72/Clns1a/Prkrip1/Lsm6/Ddx47/Rrp1b/Snip1/Snrpb/Snrpb2/Srsf9/Srsf3/Cmtr2/Lsm2/Sfswap/U2af1/Ubl5/Snrnp40/Rnf113a1/Rbm19/Mettl3/Gemin8/Lsm1/Wdr83/Ramac/Cpsf1/Rbm42/Cpsf4/Rbm14/Pqbp1/Pan2/Dcps/Phf5a/Polr2d/Lsm7/Snrnp70/Txnl4b/Prpf38a/Sap18/Pcbp4/Cirbp/Prmt7/Prdx6/Jmjd6/Gemin4/Snrnp35/Fam50a/Bcas2/Zmat5/Cdk9/Dus3l/Txnl4a/Snrpa1/Prpf40b/Snrnp27/Snrnp25/Raly/Tsen15/Tsen54/Clasrp/Rbm38/Arl6ip4/Snrpe/Tssc4/Snrpc/Gemin7/Ppie/Zc3h3/Pabpn1/Lsm3/Nol3/Rpusd4/Snrpg/Rbm3/Slirp/Alyref2/Srpk3/Sf3b5/Snrpd2/Rbm47",192,"Up","Oil - OPFR"
"GO:0022411","cellular component disassembly",0.0323741007194245,0.0159911391090651,1.13495213269804e-24,1.97174927269811e-22,1.24118236076566e-22,"Gak/Fyco1/Rhoa/Zmpste24/Atg12/Tecpr1/Carmil1/Sptb/Mfn2/Ubqln4/Ccsap/Slc25a4/Cisd2/C1qb/Nckap5l/Atxn7/Swap70/Dnajc17/Calm1/Mrrf/Exog/Arf6/Atg2a/Rubcn/Ets1/Smarce1/Gabarapl1/Add1/Arfip2/Actn2/Htr1a/Uba5/Add3/Bmyc/Kif5b/Katnb1/Hdac6/Mul1/Phf23/Carmil2/Plk3/Dctn1/Rnf41/Gsn/Chmp7/Myc/Trem2/Vrk1/Ston1/Flii/Slc25a5/Bmerb1/Grwd1/C1ql1/Sh3gl1/Vcp/Srebf1/Tom1/Ddrgk1/Fundc1/Ddr2/Plekhh2/Gas2l1/Tbc1d25/Pym1/Ddr1/Dusp3/Chmp5/Eef2k/Kat5/Chmp6/Tmod1/Atg4b/Smarcd2/Pex14/Mtrf1l/Hsf1/Acin1/Vps16/Stmn3/Dffa/Atg5/Vps4a/Mtrf1/Akap8l/Phb2/Eif5a/Usp30/Wdr45b/Mcts1/Abcc8/Retreg2/Aifm1/Dmtn/Fscn1/Cdc37/Pelo/Stmn1/Chmp4b/Smn1/Flot1/Pdxp/Map1s/Pink1/Wdr45/Zfand1/Nmnat1/Nedd1/Lix1/Htra2/Arhgef2/Fundc2/Vdac1/Cdk5/Smarcb1/Snapin/Cdk5rap3/Smarcd3/Retreg3/Shfl/Wipi1/Rpl23/Blcap/Chka/Gabarapl2/Map1lc3b/Napa/Eif2d/Atg7/Hbs1l/Tmod3/Chmp2a/Trpv4/Chmp1a/Atg4d/Bax/Dffb/Atp5if1/Tex264/Stx5a/Stmn4/Parl/Fbxo7/Dedd2/Tomm7/Mfsd8/Sqstm1/Per2/Sharpin/Gabarap/Pbxip1/Cst3/Fkbp8/Mcoln1/Nckap5/Spef1/Plaat3/Nes/Frat1/Ulk3/Atg9b/Endog/Tgfb3/Apaf1/Ngef/Map1lc3a/Noxo1/Mrpl58/Cib1/Vamp8/Ddit4/Eng/Mid1ip1/Fis1/Mical1/Sgk1/Pdpn/Capn10/Kif9/Twf2/Cln3/Arhgef1/Ufc1/Plin2/Irgm1/Prkn/Bok/Mid1/Igtp",189,"Up","Oil - OPFR"
"GO:0008380","RNA splicing",0.0322028091812264,0.0155411719912776,5.48822132507993e-26,1.17594288925379e-23,7.40235886793237e-24,"Srsf7/Arvcf/Eny2/Usp4/Ecd/Sf3a3/Rbmx/Ess2/U2af2/Atxn7/Thoc5/Dnajc17/Bud31/Prpf6/Atxn7l3/Rnps1/Rbm22/Celf3/Rnf113a2/Fxr2/Ppil3/Akt2/Scaf1/Celf6/Clk3/Thoc1/Armc7/Rtcb/Ddx41/Fra10ac1/Prpf3/Snrpa/Cwc15/Eif4a3/Bud13/Snrpd3/Tmbim6/Rbm10/Thoc7/Rbm11/Brdt/Srsf4/Yju2b/Puf60/Kat2a/Lsm4/Mettl4/Tsen34/Magoh/Sf3b6/Srsf6/Wbp11/Tra2b/Ncbp2/Rbm4b/Aar2/Plrg1/Ctnnbl1/Eftud2/Sart3/Rsrp1/Prpf19/Cactin/Snw1/Yju2/Ppil2/Rbmx2/Alyref/Cenatac/Lsm8/Sart1/Trpt1/Ahnak/Gemin2/Acin1/Srsf2/Xab2/Tsen2/Taf12/U2af1l4/Zpr1/Coil/Gemin5/Snu13/Rbfox3/Cript/Taf6l/Pus7/Taf9/Zcrb1/Lsm10/Smn1/Hnrnpl/Prmt5/Ppil1/Thoc6/Larp7/Snrpd1/Rtraf/Taf15/C1qbp/Srek1ip1/Ddx39b/Mfap1a/Zcchc8/Prpf31/Scnm1/Supt20/Hnrnpa1/Clns1a/Prkrip1/Lsm6/Ddx47/Rrp1b/Snip1/Snrpb/Snrpb2/Srsf9/Srsf3/Fastk/Lsm2/Sfswap/U2af1/Ubl5/Snrnp40/Rnf113a1/Rbm19/Mettl3/Gemin8/Lsm1/Wdr83/Ccnl1/Prmt1/Rp9/Rbm42/Rbm14/Pqbp1/Usb1/Dcps/Phf5a/Lsm7/Snrnp70/Txnl4b/Prpf38a/Rbm12b1/Sap18/Pcbp4/Cirbp/Prmt7/Prdx6/Jmjd6/Gemin4/Snrnp35/Fam50a/Bcas2/Zmat5/Ccnl2/Txnl4a/Snrpa1/Prpf40b/Snrnp27/Snrnp25/Raly/Tsen15/Tsen54/Clasrp/Rps13/Taf10/Rbm38/Arl6ip4/Snrpe/Tssc4/Snrpc/Gemin7/Ppie/Supt3/Lsm3/Nol3/Rpusd4/Snrpg/Rbm3/Slirp/Alyref2/Srpk3/Sf3b5/Clk2/Snrpd2/Rbm47",188,"Up","Oil - OPFR"
