"symbol","logFC","P.Value","chr","description"
"Kcnj13",-1.27793984402809,0.3424,"1","potassium inwardly-rectifying channel, subfamily J, member 13"
"Aldh1a2",-1.0833978971064,0.1212,"9","aldehyde dehydrogenase family 1, subfamily A2"
"Tmem72",-1.04775912406523,0.4512,"6","transmembrane protein 72"
"Anpep",-1.04662646702717,0.026,"7","alanyl (membrane) aminopeptidase"
"Pla2g5",-0.891994959154887,0.2936,"4","phospholipase A2, group V"
"Avp",0.872812871169479,0.2328,"2","arginine vasopressin"
"Prlr",-0.779282290788334,0.3648,"15","prolactin receptor"
"Gpr34",-0.762296679315598,0.506,"X","G protein-coupled receptor 34"
"Slc4a5",-0.76066407116633,0.682,"6","solute carrier family 4, sodium bicarbonate cotransporter, member 5"
"Itgam",-0.75105970425527,0.5556,"7","integrin alpha M"
"Dynlrb2",0.741246016376063,0.0496,"8","dynein light chain roadblock-type 2"
"Cldn1",-0.718936970489115,0.5808,"16","claudin 1"
"Ldb2",-0.713034353805245,0.1792,"5","LIM domain binding 2"
"Fmod",-0.711624452711065,0.278,"1","fibromodulin"
"Dcn",-0.707851372751112,0.4632,"10","decorin"
"Itgb2",-0.706797293588678,0.4108,"10","integrin beta 2"
"Tmem52",0.705981379833177,0.0724,"4","transmembrane protein 52"
"Htr2c",-0.704191040699856,0.2324,"X","5-hydroxytryptamine (serotonin) receptor 2C"
"Dock8",-0.703569629306226,0.3816,"19","dedicator of cytokinesis 8"
"P2ry12",-0.702498484365543,0.3952,"3","purinergic receptor P2Y, G-protein coupled 12"
"Ifi27l2a",0.695412726070239,0.5288,"12","interferon, alpha-inducible protein 27 like 2A"
"Cfh",-0.687774212612399,0.452,"1","complement component factor h"
"Ttc23",0.686999352318425,0.0108,"7","tetratricopeptide repeat domain 23"
"Col4a3",-0.674967906393041,0.5268,"1","collagen, type IV, alpha 3"
"Atp2a3",-0.674655740783604,0.0324,"11","ATPase, Ca++ transporting, ubiquitous"
"Grem1",-0.672371164534171,0.3804,"2","gremlin 1, DAN family BMP antagonist"
"Yod1",-0.666745249189977,0.658,"1","YOD1 deubiquitinase"
"Nmb",0.665058713829318,0.1576,"7","neuromedin B"
"Gbp2",-0.660291972761084,0.2,"3","guanylate binding protein 2"
"Klhdc8a",0.639105461182226,0.0568,"1","kelch domain containing 8A"
"Pcdhb10",-0.634526802832006,0.0708,"18","protocadherin beta 10"
"Ccdc153",0.632234966920476,0.048,"9","coiled-coil domain containing 153"
"Sag",0.629548078456405,0.0264,"1","S-antigen, retina and pineal gland (arrestin)"
"Lrrc51",0.626598509565718,0.014,"7","leucine rich repeat containing 51"
"Sh2b2",0.624683229720994,0.0028,"5","SH2B adaptor protein 2"
"Ccn3",-0.623843450169163,0.2032,"15","cellular communication network factor 3"
"Ston1",-0.618359027672487,0.332,"17","stonin 1"
"Flywch2",0.615221376146425,0.1572,"17","FLYWCH family member 2"
"Slc6a13",-0.612156514003513,0.2632,"6","solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
"1110017D15Rik",0.608761481886293,0.0092,"4","RIKEN cDNA 1110017D15 gene"
"1700007F19Rik",-0.60702242910554,0.1244,"3","RIKEN cDNA 1700007F19 gene"
"Lyn",-0.600945424232557,0.2556,"4","LYN proto-oncogene, Src family tyrosine kinase"
"Satb2",-0.599156918326534,0.1796,"1","special AT-rich sequence binding protein 2"
"Fyb",-0.596984559441564,0.4676,"15","FYN binding protein"
"Zfp688",0.596957555406449,0.1108,"7","zinc finger protein 688"
"Cyp1b1",-0.59689249432638,0.0388,"17","cytochrome P450, family 1, subfamily b, polypeptide 1"
"Rbm47",-0.596700228591634,0.4876,"5","RNA binding motif protein 47"
"Cdh23",0.596191502498558,0.2496,"10","cadherin 23 (otocadherin)"
"Bin2",-0.59605972365764,0.2624,"15","bridging integrator 2"
"Arrdc2",0.594508796868577,0.0168,"8","arrestin domain containing 2"
"2900040C04Rik",0.594356888160124,0.7292,"14","RIKEN cDNA 2900040C04 gene"
"Lars2",0.591708082843626,0.1728,"9","leucyl-tRNA synthetase, mitochondrial"
"Slc7a11",-0.585322746850422,0.1004,"3","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
"Apbb1ip",-0.584532592080884,0.1576,"2","amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"
"Ctss",-0.582644154296186,0.4368,"3","cathepsin S"
"Gm5617",0.582090635177418,0.2036,"9","predicted gene 5617"
"Kcnh7",-0.57939464608203,0.5316,"2","potassium voltage-gated channel, subfamily H (eag-related), member 7"
"Nhlrc2",-0.5766754124791,0.1844,"19","NHL repeat containing 2"
"Kcnmb4os2",0.576312338922877,0.0372,"10","potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 2"
"Sdsl",0.574842423008761,0.0784,"5","serine dehydratase-like"
"Slc25a47",0.574473101126831,0.0732,"12","solute carrier family 25, member 47"
"Sfmbt2",-0.572797183585816,0.098,"2","Scm-like with four mbt domains 2"
"Gemin7",0.572125995675252,0.0504,"7","gem nuclear organelle associated protein 7"
"Trp73",0.571883612864458,0.0096,"4","transformation related protein 73"
"Oasl2",-0.567948978919835,0.4272,"5","2'-5' oligoadenylate synthetase-like 2"
"Apold1",-0.565514660537574,0.4132,"6","apolipoprotein L domain containing 1"
"Slc25a34",0.564335427648715,0.0088,"4","solute carrier family 25, member 34"
"Slco2b1",-0.563035538270236,0.4668,"7","solute carrier organic anion transporter family, member 2b1"
"Olfml3",-0.560543039285979,0.3156,"3","olfactomedin-like 3"
"Abca8a",-0.552142806618177,0.0544,"11","ATP-binding cassette, sub-family A (ABC1), member 8a"
"Nbeal1",-0.551706479502248,0.3248,"1","neurobeachin like 1"
"Efemp1",-0.549150137391808,0.0592,"11","epidermal growth factor-containing fibulin-like extracellular matrix protein 1"
"Rnf8",0.547784984573003,0.0968,"17","ring finger protein 8"
"Rbms1",-0.546652368369985,0.21,"2","RNA binding motif, single stranded interacting protein 1"
"Fcgr3",-0.545800011998128,0.3368,"1","Fc receptor, IgG, low affinity III"
"Wdr86",-0.545134539531567,0.7376,"5","WD repeat domain 86"
"Itga1",-0.539857348065722,0.4264,"13","integrin alpha 1"
"Parm1",-0.538793528420731,0.3972,"5","prostate androgen-regulated mucin-like protein 1"
"Ssc5d",-0.538676511734335,0.014,"7","scavenger receptor cysteine rich family, 5 domains"
"Fgf5",0.538080569070201,0.0476,"5","fibroblast growth factor 5"
"Comtd1",0.537345334249052,0.1016,"14","catechol-O-methyltransferase domain containing 1"
"St3gal1",-0.536339524548726,0.008,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"Ccr5",-0.534857758526122,0.6744,"9","chemokine (C-C motif) receptor 5"
"Col6a3",-0.532866491503893,0.2072,"1","collagen, type VI, alpha 3"
"Phldb2",-0.532261354015024,0.132,"16","pleckstrin homology like domain, family B, member 2"
"Shisa2",0.530181312793369,0.046,"14","shisa family member 2"
"Ntn1",-0.524765362606583,0.252,"11","netrin 1"
"Lgals3bp",-0.524377932493951,0.138,"11","lectin, galactoside-binding, soluble, 3 binding protein"
"Selenom",0.522230199196824,0.3612,"11","selenoprotein M"
"Lgals9",-0.520644099723208,0.084,"11","lectin, galactose binding, soluble 9"
"Neurod1",-0.520162551401693,0.068,"2","neurogenic differentiation 1"
"Nr4a2",-0.519894331681746,0.0424,"2","nuclear receptor subfamily 4, group A, member 2"
"Catspere2",-0.518662911927155,0.266,"1","cation channel sperm associated auxiliary subunit epsilon 2"
"Dpy19l4",-0.518537087371308,0.3976,"4","dpy-19-like 4 (C. elegans)"
"Kcne2",-0.515060361278336,0.6452,"16","potassium voltage-gated channel, Isk-related subfamily, gene 2"
"Atp5e",0.514070466666443,0.3464,"2","ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
"Ankrd35",0.513850080307187,0,"3","ankyrin repeat domain 35"
"Abca9",-0.513625906160493,0.6608,"11","ATP-binding cassette, sub-family A (ABC1), member 9"
"Cp",-0.512940480641662,0.1128,"3","ceruloplasmin"
"Col12a1",-0.512806918933964,0.298,"9","collagen, type XII, alpha 1"
"Pter",-0.509511149390572,0.06,"2","phosphotriesterase related"
"Mme",-0.50815807973115,0.408,"3","membrane metallo endopeptidase"
