"symbol","logFC","P.Value","chr","description"
"Plin4",1.32021562928496,0.1484,"17","perilipin 4"
"1700048O20Rik",-1.10974203738955,0.0684,"9","RIKEN cDNA 1700048O20 gene"
"Prkag2os1",-1.04026644996323,0.1136,"5","protein kinase, AMP-activated, gamma 2 non-catalytic subunit, opposite strand 1"
"Avp",-0.886561098594126,0.5564,"2","arginine vasopressin"
"Eps8l1",-0.880585720027375,0.1404,"7","EPS8-like 1"
"Col6a4",0.877652539213319,0.3548,"9","collagen, type VI, alpha 4"
"Gbp2",-0.87243821173199,0.1052,"3","guanylate binding protein 2"
"Col8a1",0.846530621491355,0.592,"16","collagen, type VIII, alpha 1"
"Snhg16",-0.836920988905459,0.0056,"11","small nucleolar RNA host gene 16"
"Gprin3",0.817167644839813,0.1808,"6","GPRIN family member 3"
"Fmod",0.787402707226254,0.1736,"1","fibromodulin"
"Comtd1",-0.764853429926154,0.1212,"14","catechol-O-methyltransferase domain containing 1"
"Ccr5",0.747002348322584,0.5344,"9","chemokine (C-C motif) receptor 5"
"Slc17a8",0.740833881387326,0.0088,"10","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8"
"Sp100",-0.736996137297644,0.0108,"1","nuclear antigen Sp100"
"Cbln1",-0.724980815650708,0.054,"8","cerebellin 1 precursor protein"
"St6galnac2",-0.721326406479319,0.1484,"11","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"Tm6sf2",-0.712431150090622,0.1316,"8","transmembrane 6 superfamily member 2"
"Gng11",-0.711678266951888,0.0336,"6","guanine nucleotide binding protein (G protein), gamma 11"
"Hpgd",0.704254289763973,0.104,"8","hydroxyprostaglandin dehydrogenase 15 (NAD)"
"C1galt1",0.700303676080698,0.0632,"6","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
"Crip3",-0.684766260423786,0.244,"17","cysteine-rich protein 3"
"Efcab15",-0.671410104553645,0.0868,"11","EF-hand calcium binding domain 15"
"Amh",-0.669882536280624,0.256,"10","anti-Mullerian hormone"
"Ovol1",-0.66790343672996,0.3096,"19","ovo like zinc finger 1"
"Tmem72",0.667303082473106,0.956,"6","transmembrane protein 72"
"Dynlrb2",-0.664286489826804,0.4032,"8","dynein light chain roadblock-type 2"
"Egr2",-0.663572252553283,0.4608,"10","early growth response 2"
"Gm12709",-0.658354448981084,0.0168,"4","predicted gene 12709"
"Xaf1",-0.655156678404299,0.0884,"11","XIAP associated factor 1"
"Coch",0.652276111418313,0.4176,"12","cochlin"
"Alpl",-0.643279289521979,0.2,"4","alkaline phosphatase, liver/bone/kidney"
"Mgat4c",0.635686011669804,0.008,"10","MGAT4 family, member C"
"Neat1",-0.633570468653889,0.1068,"19","nuclear paraspeckle assembly transcript 1 (non-protein coding)"
"Samd12",0.629682798938467,0.1368,"15","sterile alpha motif domain containing 12"
"Rnf207",-0.627043405168386,0.154,"4","ring finger protein 207"
"Wfdc2",-0.6223602072954,0.6452,"2","WAP four-disulfide core domain 2"
"Acan",0.616991714630884,0.1032,"7","aggrecan"
"Cdkl5",0.616943304772947,0.3976,"X","cyclin-dependent kinase-like 5"
"Emilin2",0.614729036842052,0.1888,"17","elastin microfibril interfacer 2"
"Ciart",-0.611903994448729,0.0168,"3","circadian associated repressor of transcription"
"Adnp",0.610678172361407,0.4032,"2","activity-dependent neuroprotective protein"
"Alas2",-0.606968715448336,0.1116,"X","aminolevulinic acid synthase 2, erythroid"
"P2ry12",0.605299767911875,0.5684,"3","purinergic receptor P2Y, G-protein coupled 12"
"Pdgfd",0.599944482339384,0.052,"9","platelet-derived growth factor, D polypeptide"
"Xkr4",0.599908624329684,0.3476,"1","X-linked Kx blood group related 4"
"Fyb2",0.594940625405367,0.0688,"4","FYN binding protein 2"
"Rpl22l1",-0.594822670316062,0.0456,"3","ribosomal protein L22 like 1"
"Cyp26b1",0.594197661182018,0.332,"6","cytochrome P450, family 26, subfamily b, polypeptide 1"
"Hif3a",0.593333327220328,0.3012,"7","hypoxia inducible factor 3, alpha subunit"
"Rhoj",0.590717856408074,0.0924,"12","ras homolog family member J"
"Synpo2",0.589332095838522,0.012,"3","synaptopodin 2"
"Igtp",-0.586847723879923,0.2608,"11","interferon gamma induced GTPase"
