"symbol","logFC","P.Value","chr","description"
"Tmem72",-3.08483674259859,0.1244,"6","transmembrane protein 72"
"Ttr",-2.63950934207739,0.3112,"18","transthyretin"
"2900040C04Rik",-2.24629935666126,0.2592,"14","RIKEN cDNA 2900040C04 gene"
"Wfdc2",-1.98893144590867,0.2796,"2","WAP four-disulfide core domain 2"
"Slc4a5",-1.96663088735133,0.2892,"6","solute carrier family 4, sodium bicarbonate cotransporter, member 5"
"Cldn2",-1.83905790264413,0.0936,"X","claudin 2"
"Kcnj13",-1.74917208568402,0.2744,"1","potassium inwardly-rectifying channel, subfamily J, member 13"
"Clic6",-1.69539384400923,0.2624,"16","chloride intracellular channel 6"
"Folr1",-1.65968192156005,0.184,"7","folate receptor 1 (adult)"
"F5",-1.5950237407253,0.2248,"1","coagulation factor V"
"Kcne2",-1.57188647681415,0.2376,"16","potassium voltage-gated channel, Isk-related subfamily, gene 2"
"Rbm47",-1.52955109616934,0.294,"5","RNA binding motif protein 47"
"Prr32",-1.4571126717498,0.1412,"X","proline rich 32"
"Col8a1",-1.41390275231573,0.112,"16","collagen, type VIII, alpha 1"
"Capn11",-1.39331903270198,0.1656,"17","calpain 11"
"Otx2",-1.37459089187547,0.3092,"14","orthodenticle homeobox 2"
"Wdr86",-1.35517935372767,0.3216,"5","WD repeat domain 86"
"Ecrg4",-1.3054913915596,0.348,"1","ECRG4 augurin precursor"
"Coch",-1.22252622207987,0.0844,"12","cochlin"
"Tshz2",-1.10126206636832,0.0056,"2","teashirt zinc finger family member 2"
"Pla2g5",-1.08479706273077,0.0452,"4","phospholipase A2, group V"
"Prlr",-1.03947961314708,0.2792,"15","prolactin receptor"
"Ace",-1.03862675340679,0.1968,"11","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"
"Cldn1",-1.03749028014522,0.2164,"16","claudin 1"
"Aqp1",-1.01676742808072,0.2596,"6","aquaporin 1"
"Ccr5",-1.00787121357419,0.1064,"9","chemokine (C-C motif) receptor 5"
"Col6a4",1.00138317533448,0.2668,"9","collagen, type VI, alpha 4"
"Oasl2",-1.00133054055026,0.016,"5","2'-5' oligoadenylate synthetase-like 2"
"Cd74",-0.977125077575324,0.1852,"18","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"Vat1l",-0.956695968538859,0.0972,"8","vesicle amine transport protein 1 like"
"H2-Q4",-0.933976148080589,0.0124,"17","histocompatibility 2, Q region locus 4"
"Pcolce",-0.926833192731047,0.258,"5","procollagen C-endopeptidase enhancer protein"
"Cdkn1c",-0.883280677641443,0.2456,"7","cyclin-dependent kinase inhibitor 1C (P57)"
"Irf7",-0.875366077919681,0,"7","interferon regulatory factor 7"
"Calml4",-0.875144280512744,0.274,"9","calmodulin-like 4"
"Rab11fip1",-0.870584071827255,0.0112,"8","RAB11 family interacting protein 1 (class I)"
"Slc13a4",-0.87035522634251,0.3624,"6","solute carrier family 13 (sodium/sulfate symporters), member 4"
"Slc2a12",-0.863766687636447,0.206,"10","solute carrier family 2 (facilitated glucose transporter), member 12"
"Col8a2",-0.8632099916144,0.1824,"4","collagen, type VIII, alpha 2"
"Igf2",-0.835460821451872,0.1932,"7","insulin-like growth factor 2"
"Itga1",-0.827130656943399,0.0652,"13","integrin alpha 1"
"Nxph3",-0.806797744225384,0.2004,"11","neurexophilin 3"
"Gprin3",-0.805686173646721,0.2656,"6","GPRIN family member 3"
"Erg",-0.794451560121124,0.0276,"16","ETS transcription factor"
"Trpv4",-0.793130564243075,0.3232,"5","transient receptor potential cation channel, subfamily V, member 4"
"Krt18",-0.790886503763609,0.3668,"15","keratin 18"
"Sostdc1",-0.783854903814933,0.284,"12","sclerostin domain containing 1"
"Cgnl1",-0.7756231086634,0.0256,"9","cingulin-like 1"
"Alpl",-0.773560138710928,0.0496,"4","alkaline phosphatase, liver/bone/kidney"
"Epn3",-0.768577843861686,0.312,"11","epsin 3"
"Col4a4",-0.763105841558775,0.2948,"1","collagen, type IV, alpha 4"
"Baiap2l1",-0.742966639486387,0.3312,"5","BAI1-associated protein 2-like 1"
"Colec12",-0.739757586249253,0.0816,"18","collectin sub-family member 12"
"Bst2",-0.73646365212562,0.0732,"8","bone marrow stromal cell antigen 2"
"Perp",-0.734068162868591,0.0128,"10","PERP, TP53 apoptosis effector"
"Sulf1",-0.727541182777234,0.3292,"1","sulfatase 1"
"Mdfic",-0.723559826291499,0.1232,"6","MyoD family inhibitor domain containing"
"Lbp",-0.72012737832814,0.2916,"2","lipopolysaccharide binding protein"
"Dock2",-0.717382664438777,0.0404,"11","dedicator of cyto-kinesis 2"
"Drc7",-0.716802254708527,0.286,"8","dynein regulatory complex subunit 7"
"Sfrp1",-0.696929278555008,0.0316,"8","secreted frizzled-related protein 1"
"Tgfbi",-0.695404004957282,0.0792,"13","transforming growth factor, beta induced"
"Abca4",-0.695343912881846,0.39,"3","ATP-binding cassette, sub-family A (ABC1), member 4"
"Dcn",-0.694294880930495,0.2932,"10","decorin"
"H2-T23",-0.685000367367691,0.016,"17","histocompatibility 2, T region locus 23"
"Stac3",0.655063551779683,0.2952,"10","SH3 and cysteine rich domain 3"
"Slc16a9",-0.654526242537996,0.0504,"10","solute carrier family 16 (monocarboxylic acid transporters), member 9"
"Sema3b",-0.65449075482543,0.386,"9","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
"Cd33",-0.652190959087772,0.2732,"7","CD33 antigen"
"Spint2",-0.648165169153998,0.2012,"7","serine protease inhibitor, Kunitz type 2"
"Ltc4s",-0.647164968323431,0.2756,"11","leukotriene C4 synthase"
"Anpep",-0.643675085132148,0.1396,"7","alanyl (membrane) aminopeptidase"
"Hspg2",-0.641764285160797,0.0344,"4","perlecan (heparan sulfate proteoglycan 2)"
"Aff2",-0.641712396768386,0.15,"X","AF4/FMR2 family, member 2"
"Gstm2",-0.640640013940464,0.2724,"3","glutathione S-transferase, mu 2"
"Igfbp2",-0.636140666556774,0.2668,"1","insulin-like growth factor binding protein 2"
"Ccn2",-0.626153673531625,0.0456,"10","cellular communication network factor 2"
"Col6a3",-0.621484880938536,0.3912,"1","collagen, type VI, alpha 3"
"Lgals3bp",-0.621377405366862,0.0288,"11","lectin, galactoside-binding, soluble, 3 binding protein"
"Xdh",-0.619011813042007,0.1248,"17","xanthine dehydrogenase"
"Hpgd",-0.615205824556421,0.1648,"8","hydroxyprostaglandin dehydrogenase 15 (NAD)"
"C2cd4a",0.612162006260653,0.0628,"9","C2 calcium-dependent domain containing 4A"
"Pon3",-0.609409122053683,0.2024,"6","paraoxonase 3"
"Enpp2",-0.603485760706665,0.2208,"15","ectonucleotide pyrophosphatase/phosphodiesterase 2"
"Angptl2",-0.59923001301215,0.5008,"2","angiopoietin-like 2"
