"symbol","logFC","P.Value","chr","description"
"Tmem72",-1.22259006200869,0.1926,"6","transmembrane protein 72"
"Ttr",-1.17874110777479,0.247,"18","transthyretin"
"Kcnj13",-0.930660326621885,0.2318,"1","potassium inwardly-rectifying channel, subfamily J, member 13"
"Slc4a5",-0.917970216659908,0.2858,"6","solute carrier family 4, sodium bicarbonate cotransporter, member 5"
"Rbm47",-0.906372737907774,0.1188,"5","RNA binding motif protein 47"
"Wfdc2",-0.835890496295391,0.2984,"2","WAP four-disulfide core domain 2"
"Pla2g5",-0.741960254226046,0.075,"4","phospholipase A2, group V"
"Prlr",-0.739650114989751,0.1102,"15","prolactin receptor"
"Prr32",-0.736056542515324,0.2786,"X","proline rich 32"
"Capn11",-0.710389665261463,0.207,"17","calpain 11"
"2900040C04Rik",-0.687040553301255,0.4618,"14","RIKEN cDNA 2900040C04 gene"
"Col6a4",0.680319869246694,0.1166,"9","collagen, type VI, alpha 4"
"Kcne2",-0.653908233999912,0.3286,"16","potassium voltage-gated channel, Isk-related subfamily, gene 2"
"Cldn2",-0.653483097076871,0.3538,"X","claudin 2"
"Tshz2",-0.64734763557672,0.1304,"2","teashirt zinc finger family member 2"
"Kdm5d",0.644521841369958,0.7234,"Y","lysine (K)-specific demethylase 5D"
"Wdr86",-0.640447209560764,0.4136,"5","WD repeat domain 86"
"Folr1",-0.617079013287896,0.3774,"7","folate receptor 1 (adult)"
"Otx2",-0.607031654651251,0.3034,"14","orthodenticle homeobox 2"
"Oasl2",-0.6047514824989,0.0376,"5","2'-5' oligoadenylate synthetase-like 2"
"Alpl",-0.601630762030939,0.0094,"4","alkaline phosphatase, liver/bone/kidney"
"Cd74",-0.595735837922155,0.1602,"18","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"Anpep",-0.568829062936423,0.025,"7","alanyl (membrane) aminopeptidase"
"Gbp2",-0.568128242437896,0.0222,"3","guanylate binding protein 2"
"Plin4",0.562087056476109,0.1066,"17","perilipin 4"
"Ecrg4",-0.558202052166236,0.382,"1","ECRG4 augurin precursor"
"F5",-0.554688056426834,0.4046,"1","coagulation factor V"
"H2-Q4",-0.54648982083649,0.0054,"17","histocompatibility 2, Q region locus 4"
"Pcolce",-0.543457372081103,0.1506,"5","procollagen C-endopeptidase enhancer protein"
"Cldn1",-0.54062214661579,0.3652,"16","claudin 1"
"Eif2s3y",0.539373288340408,0.7656,"Y","eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"
"Itga1",-0.535810735701287,0.0936,"13","integrin alpha 1"
"Vat1l",-0.532984818134749,0.1168,"8","vesicle amine transport protein 1 like"
"Clic6",-0.530997207113087,0.4064,"16","chloride intracellular channel 6"
"Htr2c",-0.527797521710879,0.046,"X","5-hydroxytryptamine (serotonin) receptor 2C"
"Bst2",-0.52347067931805,0.0412,"8","bone marrow stromal cell antigen 2"
"Krt18",-0.50844225818644,0.2922,"15","keratin 18"
"Ldb2",-0.503855876870919,0.0258,"5","LIM domain binding 2"
"Aqp1",-0.502435122330244,0.3586,"6","aquaporin 1"
"Aldh1a2",-0.496286809095362,0.16,"9","aldehyde dehydrogenase family 1, subfamily A2"
