"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0418374316939891,0.0152914720636568,0.554298642533937,2.73599765410578,18.5384490026833,1.62552371730201e-60,1.0328577699737e-56,7.02739569153616e-57,"Gemin7/Rps14/Snrpd2/Eif2s3y/Rps19/Rps9/Fau/Rpl38/Rps8/Rps15/Rplp0/Rpl10a/Rps5/Rps11/Snrpg/Rpl10/Tarbp2/Rps23/Pih1d1/Rpl6/Pop7/Rpl24/Rpl13a/Fcf1/Nop53/Rps21/Rpl23a/Ddx49/Eif6/Rps27/Rps7/Rps25/Rps16/Prmt7/Rpl35a/Rps13/Tbl3/Bop1/Tsr3/Tssc4/Eri3/Nop10/Rpl7/Rpl14/Rps19bp1/Rps24/Imp3/Rpl27/Pwp2/Ddx56/Rpusd1/Rpl35/Tma16/Rpsa/Ddx31/Polr2d/Gar1/Wdr74/Mrps7/Grwd1/Nhp2/Emg1/Nol3/Exosc5/Zfp593/Rpl7l1/Rps17/Rpp30/Rps12/Nsun4/Riox1/Rrp36/Aar2/Rrp8/Exosc6/Rpl5/Rpp38/Suv39h1/Ybey/Rpl7a/Sirt7/Exosc4/Srpk3/Mrpl10/Nop9/Rps15a/Lsg1/Prmt5/Trmt112/Pop4/Rbis/Rps27l/Eif2d/Snrpe/Rbfa/Pop5/Mrpl20/Rps3a1/Lsm4/Rrp9/Ddx20/Fbl/Ddx54/Gtf2h5/Ddx28/Rrp12/Nifk/Ngdn/Rpl11/Nop56/Usp39/Rrp7a/Ppan/Slx9/Eral1/Rps6/Snrpf/Mrm3/Mrto4/Npm3/Puf60/Eif3d/Pes1/Nob1/Pin4/Noc4l/Pno1/Ercc2/Nol7/Htatsf1/Nsa2/Gemin8/Ngrn/Rps28/Mrm1/Ipo4/Afg2a/Rsl24d1/Exosc8/Gemin4/Wdr18/Rpp40/C1d/Clp1/Bysl/Cinp/Wdr3/Dhx37/Mettl5/2810004N23Rik/Heatr3/Rrp1/Riok3/Mcts2/Ruvbl2/Exosc2/Noc2l/Usp36/Exosc7/Ddx39b/Sart1/Mrpl44/Mpv17l2/Traf7/Bud23/Znhit6/Clns1a/Efl1/Rrp15/Usp4/Rpp25/Las1l/Utp23/Snu13/Prpf6/Rbm34/Prpf31/Mettl17/Lsm6/Rrp1b/Pelp1/Nol6/Noa1/Tsr2/Exosc3/Nsun5/Coil/Nop16/Utp25/Prkra/Exosc1/Wdr46/Celf3/Mybbp1a/Pdcd11/Ran/Abt1/LTO1/Strap/Xab2/Malsu1/Nip7/Ipo9/Ftsj3/Eif5b/Eif2s3x/Taf9/Snrpb/Trmt2b/Lsm2/Pa2g4/Fbll1/Snrpc/Smn1/Exosc10/Rpusd4/Sart3/Sf3a2/Nufip1/Prpf18/Denr/Zfp622/Luc7l/Surf6/Rexo4/Rsl1d1/Aatf/Zcchc4/Sfswap/Ago1/Riox2/Xrcc5/Wdr12/Prpf19/Isy1/Ddx17/Gemin5/Gemin2/Mterf4/Prkdc/Srpk1/C1qbp/Znhit3/Nle1/Nup88",245,"Up","Oil - OPFR"
"GO:0006091","generation of precursor metabolites and energy",0.0396174863387978,0.0168828922331777,0.475409836065574,2.34660541521096,15.1221874907677,2.97094835008035e-42,3.14623430273509e-39,2.14064646908421e-39,"Atp5f1e/Atp5mf/Uqcc2/Ndufc1/Uqcrq/Atp5me/Uqcr11/Ndufa2/Bloc1s1/Uqcr10/Ndufa4/Ndufb7/Ndufa7/Ppp1cc/Sdhaf4/Ndufs7/Ndufa11/Ndufs8/Ppp1r1a/Etfb/Pgls/Epm2a/Nop53/Ndufb8/Cox4i1/Slc2a6/Gale/Eif6/Ndufa13/Cox8a/Cox7a2/Cox5b/Ndufv3/Pink1/Ppp1r3d/Ddit4/Fxn/Shpk/Dgat1/Galk1/Ndufb5/Sirt3/Phkg2/Atp5po/Chchd2/Galt/Ndufv1/Cox6a1/Ndufs4/Ndufb11/Uqcrh/Cyc1/Oxa1l/Taldo1/Ndufb6/Ndufb2/Cox5a/Cox7c/Atp5pf/Aldh1l1/Ndufab1/Ndufb9/Park7/Mt3/Chchd4/Atp5f1d/Cavin3/Sirt6/Adpgk/Mtln/Ndufc2/Bax/Cox7b/Atp5pd/Phb2/Tpi1/Ndufa5/Pgk1/Iscu/Slc25a33/Stoml2/Mpi/Hmgcl/Ndufs6/Suclg1/Prelid1/Gapdhs/Thap11/Ppp1r3g/Sdhb/Cox17/Ndufa12/Cisd1/Ndufa3/Gapdh/Slc25a25/Gadd45gip1/Pgf/Mdh2/Suclg2/Ppp1ca/S100b/Dyrk2/Sdhc/Ogdhl/Arl2/Atp5f1b/H6pd/Aldoc/Ndufa6/Pfkl/Pgm1/Ndufa8/Uqcc3/Ndufs3/Ndufa10/Dnajc30/Prps2/Slc25a18/Uqcrc1/Uqcrfs1/Idh2/Ppp1r3f/Ppp1r3e/Dhtkd1/Cox7a2l/Eno1/Aldoa/Akt1/Ndufv2/Inpp5k/Gnas/Prkaca/Pygb/Eno2/Gyg1/Git1/Pkm/Bid/Plec/Sdhaf2/Chchd10/Comt/Ndor1/Atp5f1c/Atp5pb/Vcp/Pde2a/Coq7/Pgd/Ppp1r3c/Tcf7l2/Ndufs2/Phkg1/Tkfc/Etfa/Aco2/Gpd1/Ppif/Idh3g/Slc25a22/Sdhd/Pgam2/Mtfr1l/Mlx/Acacb/Ndufa9/Coq9/Shmt2/Tkt/Gsk3a/Adsl/Mfn2/Pfkm/Pgam1/Akt2/Lyrm7/Gpi1/Cox10/Eno3/Mtfr1/Dguok/Jmjd8/Ndufb10/Mlst8/Stk40/Nipsnap2/Acox1/Coa6/Rptor/Cxxc5/Oxct1/Ndufa1/Idh3b/Bpgm/Mdh1/Fkrp/Ucp2/Sphk2/Nnt/Phka1/Igf1/Mybbp1a/Rpia/Foxk2/Macroh2a1/Pygm/Ndufb4/Vgf/Ldha/Tefm/Dlst/Dlat/Phka2/Ogdh/Pdha1/G6pdx/Ndufaf1/Crot/Atp5f1a/Hsd11b1/Psen1/Prps1/Slc37a4/Slc25a13/Adh5/Fdx1/Idh3a/Ppp2ca/Coq10b/Flcn/Acat1",232,"Up","Oil - OPFR"
"GO:0019693","ribose phosphate metabolic process",0.0380806010928962,0.016398546964193,0.470464135021097,2.32219361727883,14.6299089690471,9.41863513601672e-40,8.54942966489289e-37,5.8168924065595e-37,"Atp5f1e/Atp5mf/Ndufc1/Xdh/Atp5me/Prkn/Ndufa2/Nme2/Fis1/Ndufb7/Ndufa7/Atp5mc1/Nme3/Ndufs7/Ndufa11/Nudt18/Ndufs8/Ndufb8/Nudt14/Slc2a6/Gale/Eif6/Ndufa13/Aprt/Pmvk/Ndufv3/Ddit4/Shpk/Dgat1/Galk1/Ndufb5/Nt5c/Atp5po/Nudt19/Galt/Dgat2/Ndufv1/Ndufs4/Slc27a3/Ndufb11/Hint1/Nme1/Taldo1/Mlycd/Ndufb6/Ndufb2/Atp5if1/Atp5pf/Ndufab1/Ndufb9/Ldhd/Gcdh/Acaa2/Atp5f1d/Ppcdc/Sirt6/Adpgk/Guk1/Mpc2/Atp5mc2/Ndufc2/Atp5pd/Tpi1/Ndufa5/Pgk1/Stoml2/Mpi/Hmgcl/Ndufs6/Suclg1/Gapdhs/Adss1/Bcl2l1/Acot7/Sdhb/Ndufa12/Mvd/Ndufa3/Gapdh/Itpa/Nudt2/Slc25a25/Mvk/Prpsap1/Suclg2/Uck1/Nt5c1a/Bad/Cox11/Sdhc/Dhodh/Arl2/Atp5f1b/Aldoc/Ndufa6/Pfkl/Ndufa8/Vdac1/Gmpr2/Acot5/Uqcc3/Acss2/Ndufs3/Ndufa10/Atp5mc3/Dnajc30/Ak1/Prps2/Acsl5/Sult2b1/Atp6v1b2/Pdk4/Dhtkd1/Eno1/Adcy5/Gucy2g/Gmpr/Aldoa/Ndufv2/Impdh2/Nudt9/Prkaca/Ak3/Eno2/Git1/Pkm/Nudt4/Atp5f1c/Rnaseh2b/Acot1/Atp5pb/Nudt11/Vcp/Pde2a/Nt5c3/Ndufs2/Tkfc/Acot2/Gpd1/Ampd2/Sdhd/Mfn1/Pgam2/Parp1/Atp5mg/Ctps1/Mlx/Ctps2/Acacb/Ndufa9/Ak5/Coasy/Npr1/Tkt/Adsl/Acaca/Nudt3/Dmac2l/Pfkm/Hrh3/Pgam1/Impdh1/Efl1/Gpi1/Eno3/Jmjd8/Ndufb10/Mlst8/Bloc1s6/Rptor/Pde9a/Ndufa1/Bpgm/Nt5c2/Rfk/Npr2/Fkrp/Ucp2/Sphk2/Igf1/Rpia/Ran/Foxk2/Ak2/Fasn/Ndufb4/Mccc2/Dlat/Ogdh/Mcee/Acot9/Pdha1/G6pdx/Crot/Atp5f1a/Fitm2/Psen1/Upp2/Pank1/Mthfd1/Nme5/Pnp/Pde4a/Gpat4/Dcakd/Prps1/Acot11/Gtpbp1/Atp1a2/Adcy6/Slc25a13/Acsl1/Dpyd/Umps/Rab23/Pdk2/Adcy1/Cad/Prpsap2/Ppp2ca/Gucy2e/Flcn/Acat1",223,"Up","Oil - OPFR"
"GO:0009259","ribonucleotide metabolic process",0.0365437158469945,0.0159142016952084,0.465217391304348,2.29629588382039,14.1264668002277,2.82140256919392e-37,2.24089899058227e-34,1.52467109890519e-34,"Atp5f1e/Atp5mf/Ndufc1/Xdh/Atp5me/Prkn/Ndufa2/Nme2/Fis1/Ndufb7/Ndufa7/Atp5mc1/Nme3/Ndufs7/Ndufa11/Nudt18/Ndufs8/Ndufb8/Slc2a6/Gale/Eif6/Ndufa13/Aprt/Pmvk/Ndufv3/Ddit4/Dgat1/Galk1/Ndufb5/Nt5c/Atp5po/Nudt19/Galt/Dgat2/Ndufv1/Ndufs4/Slc27a3/Ndufb11/Hint1/Nme1/Mlycd/Ndufb6/Ndufb2/Atp5if1/Atp5pf/Ndufab1/Ndufb9/Ldhd/Gcdh/Acaa2/Atp5f1d/Ppcdc/Sirt6/Adpgk/Guk1/Mpc2/Atp5mc2/Ndufc2/Atp5pd/Tpi1/Ndufa5/Pgk1/Stoml2/Mpi/Hmgcl/Ndufs6/Suclg1/Gapdhs/Adss1/Bcl2l1/Acot7/Sdhb/Ndufa12/Mvd/Ndufa3/Gapdh/Itpa/Nudt2/Slc25a25/Mvk/Suclg2/Uck1/Nt5c1a/Bad/Cox11/Sdhc/Dhodh/Arl2/Atp5f1b/Aldoc/Ndufa6/Pfkl/Ndufa8/Vdac1/Gmpr2/Acot5/Uqcc3/Acss2/Ndufs3/Ndufa10/Atp5mc3/Dnajc30/Ak1/Prps2/Acsl5/Sult2b1/Atp6v1b2/Pdk4/Dhtkd1/Eno1/Adcy5/Gucy2g/Gmpr/Aldoa/Ndufv2/Impdh2/Nudt9/Prkaca/Ak3/Eno2/Git1/Pkm/Nudt4/Atp5f1c/Rnaseh2b/Acot1/Atp5pb/Nudt11/Vcp/Pde2a/Nt5c3/Ndufs2/Tkfc/Acot2/Gpd1/Ampd2/Sdhd/Mfn1/Pgam2/Parp1/Atp5mg/Ctps1/Mlx/Ctps2/Acacb/Ndufa9/Ak5/Coasy/Npr1/Adsl/Acaca/Nudt3/Dmac2l/Pfkm/Hrh3/Pgam1/Impdh1/Efl1/Gpi1/Eno3/Jmjd8/Ndufb10/Mlst8/Bloc1s6/Rptor/Pde9a/Ndufa1/Bpgm/Nt5c2/Rfk/Npr2/Fkrp/Ucp2/Sphk2/Igf1/Ran/Foxk2/Ak2/Fasn/Ndufb4/Mccc2/Dlat/Ogdh/Mcee/Acot9/Pdha1/Crot/Atp5f1a/Fitm2/Psen1/Upp2/Pank1/Mthfd1/Nme5/Pnp/Pde4a/Gpat4/Dcakd/Acot11/Gtpbp1/Atp1a2/Adcy6/Slc25a13/Acsl1/Dpyd/Umps/Rab23/Pdk2/Adcy1/Cad/Ppp2ca/Gucy2e/Flcn/Acat1",214,"Up","Oil - OPFR"
"GO:0034470","ncRNA processing",0.0363729508196721,0.0142189932537623,0.518248175182482,2.55805387698935,16.0354125120562,2.31394291825484e-46,3.67569832564781e-43,2.50088514875595e-43,"Toe1/Rps19/Rps8/Rps15/Rpl10a/Tarbp2/Pih1d1/Pop7/Spout1/Fcf1/Nop53/Rps21/Ddx49/Eif6/Rps27/Ctu2/Rps7/Rps25/Rps16/Rpp21/Urm1/Rpp25l/Rpl35a/Tbl3/Bop1/Tsr3/Eri3/Elp5/Tsen54/Nop10/Rpl7/Pus3/Rpl14/Rps24/Imp3/Rpl27/Pwp2/Ddx56/Rpusd1/Rpl35/Gar1/Wdr74/Nhp2/Tsen2/Emg1/Elp6/Exosc5/Hsd17b10/Trpt1/Rpl7l1/Dus1l/Fars2/Rps17/Rpp30/Nsun4/Rrp36/Rrp8/Exosc6/Rpl5/Dus2/Rpp38/Suv39h1/Ybey/Rpl7a/Sirt7/Exosc4/Pusl1/Nop9/Trmt112/Lage3/Pop4/Tyw1/Gtpbp3/Sars1/Rbfa/Pop5/Tsn/Rrp9/Bcdin3d/Wdr4/Mettl1/Fbl/Pus1/Ddx54/Trmt1/Gtf2h5/Rrp12/Nifk/Ngdn/Rpl11/Wdr6/Dus4l/Rrp7a/Ppan/Slx9/Mettl2/Rps6/Mrm3/Mrto4/Npm3/Pes1/Akt1/Dalrd3/Nob1/Mto1/Pin4/Ercc2/Nol7/Elp1/Nsa2/Zc3h10/Rps28/Qtrt1/Trit1/Mrm1/Gon7/Exosc8/Trmt5/Wdr18/Elp3/Mettl6/Rpp40/C1d/Ftsj1/Clp1/Bysl/Elac2/Qng1/Wdr3/Ctu1/Dhx37/Mettl5/Cdk5rap1/Ints1/Rrp1/Riok3/Thumpd1/Exosc2/Usp36/Exosc7/Sart1/Mrpl44/Trmt10a/Tsen34/Bmp4/Mtfmt/Bud23/Znhit6/Rrp15/Trmu/Rnf113a2/Rpp25/Las1l/Utp23/Ints3/Snu13/Dus3l/Rbm34/Rnf113a1/Rtcb/Tsnax/Lsm6/Rrp1b/Zbtb8os/Pelp1/Nol6/Parn/Ddx1/Tsr2/Tprkb/Exosc3/Nsun5/Nsun2/Ankrd16/Utp25/Prkra/Ints5/Exosc1/Wdr46/Zc3h7b/Pdcd11/Abt1/Ripk1/Thg1l/Trmt61a/Mocs3/Ftsj3/Trmt44/Trmt6/Trmt2b/Pa2g4/Fbll1/Exosc10/Rpusd4/Pus7/Trmt2a/Rexo4/Tsen15/Rsl1d1/Tarbp1/Srsf3/Zcchc4/Trub1/Mettl8/Ago1/Grsf1/Wdr12/Ddx17/Mterf4/Prkdc/Ints11/Znhit3/Ints7",213,"Up","Oil - OPFR"
"GO:0042254","ribosome biogenesis",0.0322745901639344,0.0110707490053624,0.590625,2.91530321465164,17.3658838844914,1.32152683246472e-52,4.19849074674042e-49,2.85658457943822e-49,"Rps14/Rps19/Rps9/Fau/Rpl38/Rps8/Rps15/Rplp0/Rpl10a/Rps5/Rps11/Rpl10/Rps23/Pih1d1/Rpl6/Pop7/Rpl24/Fcf1/Nop53/Rps21/Rpl23a/Ddx49/Eif6/Rps27/Rps7/Rps25/Rps16/Rpl35a/Rps13/Tbl3/Bop1/Tsr3/Eri3/Nop10/Rpl7/Rpl14/Rps19bp1/Rps24/Imp3/Rpl27/Pwp2/Ddx56/Rpusd1/Rpl35/Tma16/Rpsa/Ddx31/Gar1/Wdr74/Mrps7/Grwd1/Nhp2/Emg1/Exosc5/Zfp593/Rpl7l1/Rps17/Rpp30/Rps12/Nsun4/Riox1/Rrp36/Rrp8/Exosc6/Rpl5/Rpp38/Suv39h1/Ybey/Rpl7a/Sirt7/Exosc4/Mrpl10/Nop9/Rps15a/Lsg1/Trmt112/Pop4/Rbis/Rps27l/Rbfa/Pop5/Mrpl20/Rps3a1/Rrp9/Fbl/Ddx54/Gtf2h5/Ddx28/Rrp12/Nifk/Ngdn/Rpl11/Nop56/Rrp7a/Ppan/Slx9/Eral1/Rps6/Mrm3/Mrto4/Npm3/Pes1/Nob1/Pin4/Noc4l/Pno1/Ercc2/Nol7/Nsa2/Ngrn/Rps28/Mrm1/Ipo4/Afg2a/Rsl24d1/Exosc8/Wdr18/Rpp40/C1d/Bysl/Cinp/Wdr3/Dhx37/Mettl5/2810004N23Rik/Heatr3/Rrp1/Riok3/Exosc2/Noc2l/Usp36/Exosc7/Sart1/Mrpl44/Mpv17l2/Traf7/Bud23/Znhit6/Efl1/Rrp15/Rpp25/Las1l/Utp23/Snu13/Rbm34/Mettl17/Lsm6/Rrp1b/Pelp1/Nol6/Noa1/Tsr2/Exosc3/Nsun5/Nop16/Utp25/Exosc1/Wdr46/Mybbp1a/Pdcd11/Ran/Abt1/LTO1/Malsu1/Nip7/Ipo9/Ftsj3/Eif5b/Trmt2b/Pa2g4/Fbll1/Exosc10/Rpusd4/Zfp622/Surf6/Rexo4/Rsl1d1/Aatf/Zcchc4/Riox2/Xrcc5/Wdr12/Ddx17/Mterf4/Prkdc/C1qbp/Znhit3/Nle1/Nup88",189,"Up","Oil - OPFR"
"GO:0006364","rRNA processing",0.021516393442623,0.00747275557861962,0.583333333333333,2.87931181693989,13.974023821186,1.02365567017271e-34,6.50430812827743e-32,4.42542509199931e-32,"Rps19/Rps8/Rps15/Rpl10a/Pih1d1/Pop7/Fcf1/Nop53/Rps21/Ddx49/Eif6/Rps27/Rps7/Rps25/Rps16/Rpl35a/Tbl3/Bop1/Tsr3/Eri3/Nop10/Rpl7/Rpl14/Rps24/Imp3/Rpl27/Pwp2/Ddx56/Rpusd1/Rpl35/Gar1/Wdr74/Nhp2/Emg1/Exosc5/Rpl7l1/Rps17/Rpp30/Nsun4/Rrp36/Rrp8/Exosc6/Rpl5/Rpp38/Suv39h1/Ybey/Rpl7a/Sirt7/Exosc4/Nop9/Trmt112/Pop4/Rbfa/Pop5/Rrp9/Fbl/Ddx54/Gtf2h5/Rrp12/Nifk/Ngdn/Rpl11/Rrp7a/Ppan/Slx9/Rps6/Mrm3/Mrto4/Npm3/Pes1/Nob1/Pin4/Ercc2/Nol7/Nsa2/Rps28/Mrm1/Exosc8/Wdr18/Rpp40/C1d/Bysl/Wdr3/Dhx37/Mettl5/Rrp1/Riok3/Exosc2/Usp36/Exosc7/Sart1/Mrpl44/Bud23/Znhit6/Rrp15/Rpp25/Las1l/Utp23/Snu13/Rbm34/Lsm6/Rrp1b/Pelp1/Nol6/Tsr2/Exosc3/Nsun5/Utp25/Exosc1/Wdr46/Pdcd11/Abt1/Ftsj3/Trmt2b/Pa2g4/Fbll1/Exosc10/Rpusd4/Rexo4/Rsl1d1/Zcchc4/Wdr12/Ddx17/Mterf4/Prkdc/Znhit3",126,"Up","Oil - OPFR"
"GO:0140053","mitochondrial gene expression",0.0204918032786885,0.0057775471371735,0.718562874251497,3.54679984293708,16.6371236398667,6.49507748719335e-47,1.37565741178755e-43,9.35974850522915e-44,"Lars2/Uqcc2/Mrpl52/Mrps24/Mrpl30/Ndufa7/Mrps28/Mrpl13/Mtg2/Mrps18a/Mrpl53/Mrpl54/Mrps11/Gatb/Aurkaip1/Mrpl12/Mrps34/Twnk/Mrpl28/Sirt3/Chchd1/Mrps10/Rcc1l/Mrpl43/Mrpl27/Mrps23/Mrpl34/Mrpl55/Mrps33/Mrpl21/Mrps18c/Mrps7/Mrps21/Coa3/Sars2/Hsd17b10/Mrps15/Slc25a33/Nsun4/Mrps26/Thap11/Rpusd3/Mrpl33/Mrpl45/Mrpl16/Dap3/Mrpl10/Gadd45gip1/Mrpl11/Fastk/Mtg1/Mrpl4/Mtif3/Mrpl36/Mrpl23/Mrpl20/Mrpl24/Aars2/Mrpl17/Mrps16/Mrpl47/Mrpl48/Mrpl40/Mrpl58/Mto1/Tsfm/Ngrn/Mtres1/Mrpl37/Trit1/Chchd10/Trmt5/Mrps27/Tbrg4/Mtrf1l/Mrpl14/Yars2/Mrps12/Elac2/Mrpl41/Gfm2/Cdk5rap1/Polrmt/Mrpl15/Mrpl38/Mrpl44/Mrps9/Fastkd3/Mpv17l2/Shmt2/Mrpl51/Tfam/Mrps25/Mrpl9/Mrpl46/Mrpl35/Mrpl19/Hars1/Mrpl49/Tufm/Dars2/Mrps35/Mrps14/Malsu1/Mrps18b/Tefm/Foxo3/Gars1/Mrps6/Rpusd4/Mrpl2/Mrpl57/Mettl8/Qrsl1/Mrpl50/Mrpl1/Mterf4/Mterf2/C1qbp/Mrpl3",120,"Up","Oil - OPFR"
"GO:0002181","cytoplasmic translation",0.0174180327868852,0.00529320186818889,0.666666666666667,3.29064207650273,14.3193196462847,1.63855010857817e-35,1.15681637665619e-32,7.87078981980179e-33,"Rpl22l1/Rps14/Rpl37a/Rpl18/Eif2s3y/Rps27a/Rpl41/Rps19/Rps20/Rps9/Fau/Rpl38/Rps8/Rpl36/Rps29/Eif4ebp1/Rps15/Rplp0/Rpl10a/Rps5/Rps11/Rps18/Rps23/Uba52/Rpl36al/Rpl6/Rpl24/Rpl9/Rpl32/Rpl13/Rps2/Rpl13a/Rpl3/Rps21/Rpl23a/Rplp1/Rpl28/Rps7/Rpl36a/Rpl8/Rps25/Rps16/Rpl35a/Rps13/Rps4x/Rpl15/Rpl31/Rpl17/Eif3i/Rpl7/Rps10/Rplp2/Rpl14/Eif3m/Rps24/Rpl27a/Rpl27/Rpsa/Rpl21/Rpl19/Rps3/Rpl12/Rpl4/Rpl39/Rps17/Rps12/Rpl29/Drg2/Rpl5/Rpl7a/Eif2b4/Rpl18a/Rps15a/Sars1/Eif2d/Rpl22/Rps3a1/Eef2/Eif4a1/Rpl11/Rps6/Eif3d/Eif2b5/Pkm/Rps28/Mif4gd/Ftsj1/Mcts2/Eif2b2/Drg1/Nmnat2/Zfp385a/Eif2b3/Rpl23/Csde1/Eif2s3x/Cnbp/Unk/Rwdd1/Sh3bgrl/Denr/Ybx1",102,"Up","Oil - OPFR"
"GO:0032543","mitochondrial translation",0.0172472677595628,0.00449749178342847,0.776923076923077,3.83486365069357,16.3286262956583,6.04934081505035e-45,7.68750230776598e-42,5.23045110050774e-42,"Lars2/Uqcc2/Mrpl52/Mrps24/Mrpl30/Ndufa7/Mrps28/Mrpl13/Mtg2/Mrps18a/Mrpl53/Mrpl54/Mrps11/Gatb/Aurkaip1/Mrpl12/Mrps34/Mrpl28/Chchd1/Mrps10/Rcc1l/Mrpl43/Mrpl27/Mrps23/Mrpl34/Mrpl55/Mrps33/Mrpl21/Mrps18c/Mrps7/Mrps21/Coa3/Sars2/Mrps15/Nsun4/Mrps26/Rpusd3/Mrpl33/Mrpl45/Mrpl16/Dap3/Mrpl10/Gadd45gip1/Mrpl11/Mtg1/Mrpl4/Mtif3/Mrpl36/Mrpl23/Mrpl20/Mrpl24/Aars2/Mrpl17/Mrps16/Mrpl47/Mrpl48/Mrpl40/Mrpl58/Tsfm/Ngrn/Mrpl37/Mrps27/Mtrf1l/Mrpl14/Yars2/Mrps12/Mrpl41/Gfm2/Cdk5rap1/Mrpl15/Mrpl38/Mrpl44/Mrps9/Fastkd3/Mpv17l2/Shmt2/Mrpl51/Mrps25/Mrpl9/Mrpl46/Mrpl35/Mrpl19/Hars1/Mrpl49/Tufm/Dars2/Mrps35/Mrps14/Malsu1/Mrps18b/Gars1/Mrps6/Rpusd4/Mrpl2/Mrpl57/Mettl8/Qrsl1/Mrpl50/Mrpl1/C1qbp/Mrpl3",101,"Up","Oil - OPFR"
