"symbol","logFC","P.Value","chr","description"
"Irf7",-0.875366077919681,0,"7","interferon regulatory factor 7"
"Dus4l",0.363289479729709,0,"12","dihydrouridine synthase 4-like (S. cerevisiae)"
"Slc13a5",0.242833153676943,0,"11","solute carrier family 13 (sodium-dependent citrate transporter), member 5"
"Rasip1",-0.326384363960495,0,"7","Ras interacting protein 1"
"Robo4",-0.468913124400943,0.0052,"9","roundabout guidance receptor 4"
"Crem",0.234614894482806,0.0052,"18","cAMP responsive element modulator"
"Abcg2",-0.347342029582697,0.0052,"6","ATP binding cassette subfamily G member 2 (Junior blood group)"
"Tshz2",-1.10126206636832,0.0056,"2","teashirt zinc finger family member 2"
"Gask1a",0.546411743040927,0.0056,"9","golgi associated kinase 1A"
"Gnb4",-0.207202509500011,0.0056,"3","guanine nucleotide binding protein (G protein), beta 4"
"Lin9",0.305347275318253,0.0056,"1","lin-9 DREAM MuvB core complex component"
"Poll",0.296573859423584,0.0056,"19","polymerase (DNA directed), lambda"
"Myh11",-0.47913285252755,0.0064,"16","myosin, heavy polypeptide 11, smooth muscle"
"Cdkl4",-0.386265074941318,0.0068,"17","cyclin-dependent kinase-like 4"
"Tti2",0.270935257338689,0.0068,"8","TELO2 interacting protein 2"
"Fra10ac1",0.267471522526837,0.0068,"19","FRA10AC1 homolog (human)"
"Ccdc190",0.219609166778168,0.008,"1","coiled-coil domain containing 190"
"Pinx1",0.40119434364231,0.008,"14","PIN2/TERF1 interacting, telomerase inhibitor 1"
"Cldn10",0.227780238905978,0.0088,"14","claudin 10"
"Sat1",0.340530855105184,0.0088,"X","spermidine/spermine N1-acetyl transferase 1"
"Lnx1",0.201849631788462,0.0104,"5","ligand of numb-protein X 1"
"Bex4",0.31967200888038,0.0108,"X","brain expressed X-linked 4"
"Trim67",-0.422290936238121,0.0108,"8","tripartite motif-containing 67"
"Cdh5",-0.456719226719473,0.0108,"8","cadherin 5"
"Gm20754",0.337442084055581,0.0108,"3","predicted gene, 20754"
