"symbol","logFC","P.Value","chr","description"
"Irf7",-0.875366077919681,0,"7","interferon regulatory factor 7"
"Dus4l",0.363289479729709,0,"12","dihydrouridine synthase 4-like (S. cerevisiae)"
"Robo4",-0.468913124400943,0.0052,"9","roundabout guidance receptor 4"
"Abcg2",-0.347342029582697,0.0052,"6","ATP binding cassette subfamily G member 2 (Junior blood group)"
"Tshz2",-1.10126206636832,0.0056,"2","teashirt zinc finger family member 2"
"Gask1a",0.546411743040927,0.0056,"9","golgi associated kinase 1A"
"Myh11",-0.47913285252755,0.0064,"16","myosin, heavy polypeptide 11, smooth muscle"
"Cdkl4",-0.386265074941318,0.0068,"17","cyclin-dependent kinase-like 4"
"Pinx1",0.40119434364231,0.008,"14","PIN2/TERF1 interacting, telomerase inhibitor 1"
"Sat1",0.340530855105184,0.0088,"X","spermidine/spermine N1-acetyl transferase 1"
"Trim67",-0.422290936238121,0.0108,"8","tripartite motif-containing 67"
"Cdh5",-0.456719226719473,0.0108,"8","cadherin 5"
"Gm20754",0.337442084055581,0.0108,"3","predicted gene, 20754"
"Gm36742",0.551619419016831,0.0108,"16","predicted gene, 36742"
"Tie1",-0.332307706461462,0.0112,"4","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"Rab11fip1",-0.870584071827255,0.0112,"8","RAB11 family interacting protein 1 (class I)"
"Ppp1ccb",0.397394108248148,0.012,"7","protein phosphatase 1 catalytic subunit gamma B"
"H2-Q4",-0.933976148080589,0.0124,"17","histocompatibility 2, Q region locus 4"
"Perp",-0.734068162868591,0.0128,"10","PERP, TP53 apoptosis effector"
"Tmem204",-0.543361527346121,0.0144,"17","transmembrane protein 204"
"Aste1",0.474845544686459,0.016,"9","asteroid homolog 1"
"H2-T23",-0.685000367367691,0.016,"17","histocompatibility 2, T region locus 23"
"Oasl2",-1.00133054055026,0.016,"5","2'-5' oligoadenylate synthetase-like 2"
"Eng",-0.371565232377976,0.018,"2","endoglin"
"Mks1",0.386355912217448,0.0188,"11","MKS transition zone complex subunit 1"
