"symbol","logFC","P.Value","chr","description"
"Ankrd35",0.513850080307187,0,"3","ankyrin repeat domain 35"
"Arl4d",0.454876671547479,0,"11","ADP-ribosylation factor-like 4D"
"Dnajc21",-0.390005128315274,0,"15","DnaJ heat shock protein family (Hsp40) member C21"
"Ascl1",-0.431087070009342,0.0028,"10","achaete-scute family bHLH transcription factor 1"
"Sh2b2",0.624683229720994,0.0028,"5","SH2B adaptor protein 2"
"Toe1",0.444505290342604,0.0028,"4","target of EGR1, member 1 (nuclear)"
"Rhou",0.332707248036524,0.0028,"8","ras homolog family member U"
"Prrx1",-0.451656073421888,0.0028,"1","paired related homeobox 1"
"St3gal1",-0.536339524548726,0.008,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"Csrnp1",0.358119455531833,0.008,"9","cysteine-serine-rich nuclear protein 1"
"Hs3st4",0.384177668631313,0.0084,"7","heparan sulfate (glucosamine) 3-O-sulfotransferase 4"
"Slc25a34",0.564335427648715,0.0088,"4","solute carrier family 25, member 34"
"1110017D15Rik",0.608761481886293,0.0092,"4","RIKEN cDNA 1110017D15 gene"
"Mxd4",0.332713641007741,0.0092,"5","Max dimerization protein 4"
"Trp73",0.571883612864458,0.0096,"4","transformation related protein 73"
"Ttc23",0.686999352318425,0.0108,"7","tetratricopeptide repeat domain 23"
"Ddc",0.34535707227859,0.0108,"11","dopa decarboxylase"
"Tmem114",0.474694474701339,0.0128,"16","transmembrane protein 114"
"Lrrc51",0.626598509565718,0.014,"7","leucine rich repeat containing 51"
"Ssc5d",-0.538676511734335,0.014,"7","scavenger receptor cysteine rich family, 5 domains"
"Tmem151b",0.334136189172005,0.014,"17","transmembrane protein 151B"
"Arrdc2",0.594508796868577,0.0168,"8","arrestin domain containing 2"
"Rilpl2",0.433769299757999,0.0168,"5","Rab interacting lysosomal protein-like 2"
"Nudt22",0.489959506547777,0.0176,"19","nudix (nucleoside diphosphate linked moiety X)-type motif 22"
"Trpc6",-0.470147034725959,0.0188,"9","transient receptor potential cation channel, subfamily C, member 6"
