"symbol","logFC","P.Value","chr","description"
"Snhg16",-0.836920988905459,0.0056,"11","small nucleolar RNA host gene 16"
"Slc17a8",0.740833881387326,0.0088,"10","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8"
"Sp100",-0.736996137297644,0.0108,"1","nuclear antigen Sp100"
"Gng11",-0.711678266951888,0.0336,"6","guanine nucleotide binding protein (G protein), gamma 11"
"Gm12709",-0.658354448981084,0.0168,"4","predicted gene 12709"
"Mgat4c",0.635686011669804,0.008,"10","MGAT4 family, member C"
"Ciart",-0.611903994448729,0.0168,"3","circadian associated repressor of transcription"
"Rpl22l1",-0.594822670316062,0.0456,"3","ribosomal protein L22 like 1"
"Synpo2",0.589332095838522,0.012,"3","synaptopodin 2"
"Syk",0.58219449861642,0.0428,"13","spleen tyrosine kinase"
"Tmc6",-0.562490740668122,0.0484,"11","transmembrane channel-like gene family 6"
"Slc29a3",0.534797894210076,0.0188,"10","solute carrier family 29 (nucleoside transporters), member 3"
"Fbln2",-0.532847141871725,0.0416,"6","fibulin 2"
"C1qtnf12",-0.521430239291005,0.0144,"4","C1q and tumor necrosis factor related 12"
"Fgfbp3",-0.506176863900174,0.0184,"19","fibroblast growth factor binding protein 3"
"Crhr1",-0.503616959548523,0,"11","corticotropin releasing hormone receptor 1"
"Calhm5",0.466023149518624,0,"10","calcium homeostasis modulator family member 5"
"Kcnj2",0.464152091533008,0.006,"11","potassium inwardly-rectifying channel, subfamily J, member 2"
"Mapk12",-0.459186915288264,0.0084,"15","mitogen-activated protein kinase 12"
"Pdzd2",0.453554586994037,0.0356,"15","PDZ domain containing 2"
"Sema3c",0.444428814952794,0.0324,"5","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
"Zfp853",-0.44318049991986,0.0056,"5","zinc finger protein 853"
"Ubxn11",-0.430963993537737,0.0392,"4","UBX domain protein 11"
"Mitd1",-0.430162190810066,0.0216,"1","MIT, microtubule interacting and transport, domain containing 1"
"Fam229b",-0.429484941726374,0.04,"10","family with sequence similarity 229, member B"
