"symbol","logFC","P.Value","chr","description"
"H2-Q4",-0.54648982083649,0.0054,"17","histocompatibility 2, Q region locus 4"
"St3gal1",-0.343448794534135,0.0056,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"Lgals3bp",-0.42700484148697,0.0066,"11","lectin, galactoside-binding, soluble, 3 binding protein"
"Prrx1",-0.225043205649636,0.007,"1","paired related homeobox 1"
"Ddr2",-0.263601233945603,0.0072,"1","discoidin domain receptor family, member 2"
"Gabra2",0.271003146988336,0.0074,"5","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"Slc25a34",0.373878656517396,0.0078,"4","solute carrier family 25, member 34"
"Skap2",-0.25071327887804,0.0082,"6","src family associated phosphoprotein 2"
"Aste1",0.302279786004677,0.0092,"9","asteroid homolog 1"
"Alpl",-0.601630762030939,0.0094,"4","alkaline phosphatase, liver/bone/kidney"
"Atp2a3",-0.416601481079037,0.0096,"11","ATPase, Ca++ transporting, ubiquitous"
"Ide",-0.271687934197952,0.0096,"19","insulin degrading enzyme"
"Hspg2",-0.43508359169241,0.0118,"4","perlecan (heparan sulfate proteoglycan 2)"
"Acta2",-0.442949982057291,0.0124,"19","actin alpha 2, smooth muscle, aorta"
"Kcnmb4os2",0.321939640671836,0.014,"10","potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 2"
"Nckap5",-0.235104504404023,0.0146,"1","NCK-associated protein 5"
"Pbx3",-0.283175810968372,0.0148,"2","pre B cell leukemia homeobox 3"
"Zc3hav1",-0.211578179624257,0.019,"6","zinc finger CCCH type, antiviral 1"
"Fgf5",0.293529122796791,0.0194,"5","fibroblast growth factor 5"
"Ccn1",-0.311884643394684,0.02,"3","cellular communication network factor 1"
"Sh2b2",0.29661419355484,0.0204,"5","SH2B adaptor protein 2"
"Sp100",-0.406489439280625,0.021,"1","nuclear antigen Sp100"
"Myh11",-0.393203468424724,0.0212,"16","myosin, heavy polypeptide 11, smooth muscle"
"Tmem52",0.492614852257339,0.0214,"4","transmembrane protein 52"
"Gbp2",-0.568128242437896,0.0222,"3","guanylate binding protein 2"
