"symbol","logFC","P.Value","chr","description"
"H2-Q4",-0.54648982083649,0.0054,"17","histocompatibility 2, Q region locus 4"
"St3gal1",-0.343448794534135,0.0056,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"Lgals3bp",-0.42700484148697,0.0066,"11","lectin, galactoside-binding, soluble, 3 binding protein"
"Slc25a34",0.373878656517396,0.0078,"4","solute carrier family 25, member 34"
"Alpl",-0.601630762030939,0.0094,"4","alkaline phosphatase, liver/bone/kidney"
"Atp2a3",-0.416601481079037,0.0096,"11","ATPase, Ca++ transporting, ubiquitous"
"Hspg2",-0.43508359169241,0.0118,"4","perlecan (heparan sulfate proteoglycan 2)"
"Acta2",-0.442949982057291,0.0124,"19","actin alpha 2, smooth muscle, aorta"
"Sp100",-0.406489439280625,0.021,"1","nuclear antigen Sp100"
"Myh11",-0.393203468424724,0.0212,"16","myosin, heavy polypeptide 11, smooth muscle"
"Tmem52",0.492614852257339,0.0214,"4","transmembrane protein 52"
"Gbp2",-0.568128242437896,0.0222,"3","guanylate binding protein 2"
"Lgals9",-0.360128341279426,0.0222,"11","lectin, galactose binding, soluble 9"
"Sag",0.340246181703231,0.0236,"1","S-antigen, retina and pineal gland (arrestin)"
"Anpep",-0.568829062936423,0.025,"7","alanyl (membrane) aminopeptidase"
"Ldb2",-0.503855876870919,0.0258,"5","LIM domain binding 2"
"Irf7",-0.480947796400116,0.0262,"7","interferon regulatory factor 7"
"Ifit3b",-0.403681754241125,0.0266,"19","interferon-induced protein with tetratricopeptide repeats 3B"
"Slfn5",-0.362420158420642,0.0274,"11","schlafen 5"
"Igfbp7",-0.373162063566879,0.0294,"5","insulin-like growth factor binding protein 7"
"Col5a1",-0.364104886912647,0.0318,"2","collagen, type V, alpha 1"
"Cp",-0.336918511332766,0.0376,"3","ceruloplasmin"
"Oasl2",-0.6047514824989,0.0376,"5","2'-5' oligoadenylate synthetase-like 2"
"Pld4",-0.344099127891314,0.0378,"12","phospholipase D family, member 4"
"Bst2",-0.52347067931805,0.0412,"8","bone marrow stromal cell antigen 2"
