"direction","geneID","gene_count","rank","gene_description","treatgo_descriptions","logFC","P.Value","chr"
"Down","Ndufa13",40,1,"NADH:ubiquinone oxidoreductase subunit A13","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; establishment of protein localization to organelle; regulation of apoptotic signaling pathway; regulation of protein catabolic process; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; intrinsic apoptotic signaling pathway; protein targeting; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; establishment of protein localization to membrane; purine ribonucleotide biosynthetic process; negative regulation of apoptotic signaling pathway; mitochondrial transport; oxidative phosphorylation; regulation of intrinsic apoptotic signaling pathway; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; mitochondrial membrane organization; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly",-0.252678166714357,0.3352,"8"
"Down","Ndufs3",39,2,"NADH:ubiquinone oxidoreductase core subunit S3","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; regulation of apoptotic signaling pathway; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; intrinsic apoptotic signaling pathway; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; negative regulation of apoptotic signaling pathway; oxidative phosphorylation; regulation of intrinsic apoptotic signaling pathway; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; electron transport chain; respiratory electron transport chain; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; mitochondrial ATP synthesis coupled electron transport; ATP synthesis coupled electron transport; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; aerobic electron transport chain",-0.259508410130592,0.2348,"2"
"Down","Prkn",38,3,"parkin RBR E3 ubiquitin protein ligase","ribose phosphate metabolic process; cellular component disassembly; ribonucleotide metabolic process; purine ribonucleotide metabolic process; response to oxidative stress; negative regulation of protein modification process; regulation of apoptotic signaling pathway; regulation of protein catabolic process; vesicle organization; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; intrinsic apoptotic signaling pathway; regulation of protein stability; purine ribonucleoside triphosphate metabolic process; purine-containing compound biosynthetic process; macroautophagy; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; monosaccharide metabolic process; ATP metabolic process; ribonucleotide biosynthetic process; response to endoplasmic reticulum stress; hexose metabolic process; purine ribonucleotide biosynthetic process; regulation of post-translational protein modification; negative regulation of apoptotic signaling pathway; mitochondrial transport; regulation of intrinsic apoptotic signaling pathway; nucleoside triphosphate biosynthetic process; organelle disassembly; ribonucleoside triphosphate biosynthetic process; regulation of mitochondrion organization; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process",-0.461651778709643,0.2456,"17"
"Down","Vcp",37,4,"valosin containing protein","generation of precursor metabolites and energy; ribose phosphate metabolic process; cellular component disassembly; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; regulation of protein catabolic process; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; macroautophagy; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; Golgi vesicle transport; response to endoplasmic reticulum stress; endosomal transport; purine ribonucleotide biosynthetic process; regulation of post-translational protein modification; protein-RNA complex organization; oxidative phosphorylation; pyridine-containing compound metabolic process; nicotinamide nucleotide metabolic process; pyridine nucleotide metabolic process; nucleoside triphosphate biosynthetic process; organelle disassembly; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process",-0.0493281831302532,0.516,"4"
"Down","Myc",36,5,"myelocytomatosis oncogene","generation of precursor metabolites and energy; ribose phosphate metabolic process; cellular component disassembly; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; regulation of apoptotic signaling pathway; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; intrinsic apoptotic signaling pathway; positive regulation of DNA metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; monosaccharide metabolic process; ATP metabolic process; ribonucleotide biosynthetic process; hexose metabolic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation; regulation of intrinsic apoptotic signaling pathway; pyridine-containing compound metabolic process; nicotinamide nucleotide metabolic process; pyridine nucleotide metabolic process; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; ATP biosynthetic process; mitochondrial membrane organization",-0.0371232430172324,0.838,"15"
"Down","Ndufs2",36,6,"NADH:ubiquinone oxidoreductase core subunit S2","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; electron transport chain; respiratory electron transport chain; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; mitochondrial ATP synthesis coupled electron transport; ATP synthesis coupled electron transport; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; aerobic electron transport chain",-0.0655548778144945,0.5168,"1"
"Down","Ndufs8",36,7,"NADH:ubiquinone oxidoreductase core subunit S8","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; electron transport chain; respiratory electron transport chain; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; mitochondrial ATP synthesis coupled electron transport; ATP synthesis coupled electron transport; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; aerobic electron transport chain",-0.277040686792056,0.292,"19"
"Down","Ndufa10",35,8,"NADH:ubiquinone oxidoreductase subunit A10","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; electron transport chain; respiratory electron transport chain; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; mitochondrial ATP synthesis coupled electron transport; ATP synthesis coupled electron transport; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; aerobic electron transport chain",-0.189847468063398,0.3448,"1"
"Down","Ndufa12",35,9,"NADH:ubiquinone oxidoreductase subunit A12","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; response to oxidative stress; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; electron transport chain; respiratory electron transport chain; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; mitochondrial ATP synthesis coupled electron transport; ATP synthesis coupled electron transport; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly",-0.119833394784482,0.6256,"10"
"Down","Ndufa8",35,10,"NADH:ubiquinone oxidoreductase subunit A8","generation of precursor metabolites and energy; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; energy derivation by oxidation of organic compounds; cellular respiration; nucleoside triphosphate metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate metabolic process; aerobic respiration; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ATP metabolic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; oxidative phosphorylation; nucleoside triphosphate biosynthetic process; ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate biosynthetic process; purine nucleoside triphosphate biosynthetic process; mitochondrial respiratory chain complex assembly; ATP biosynthetic process; electron transport chain; respiratory electron transport chain; proton motive force-driven ATP synthesis; proton motive force-driven mitochondrial ATP synthesis; mitochondrial ATP synthesis coupled electron transport; ATP synthesis coupled electron transport; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; aerobic electron transport chain",-0.0897881394382525,0.7128,"2"
