"direction","geneID","gene_count","rank","gene_description","treatgo_descriptions","logFC","P.Value","chr"
"Down","Pten",58,1,"phosphatase and tensin homolog","cell junction assembly; ameboidal-type cell migration; regulation of neurogenesis; response to peptide; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; negative regulation of transport; negative regulation of protein modification process; regulation of cell growth; forebrain development; cognition; cell-substrate adhesion; response to peptide hormone; epithelial cell migration; epithelium migration; tissue migration; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; phospholipid metabolic process; regulation of synapse organization; learning or memory; negative regulation of locomotion; cellular response to peptide; glial cell differentiation; negative regulation of phosphorylation; vesicle-mediated transport in synapse; negative regulation of cell motility; regulation of endocytosis; canonical Wnt signaling pathway; mesenchyme development; postsynapse organization; developmental growth involved in morphogenesis; negative regulation of cell migration; negative regulation of protein phosphorylation; response to insulin; cellular response to peptide hormone stimulus; locomotory behavior; developmental cell growth; synapse assembly; regulation of cell junction assembly; regulation of epithelial cell migration; telencephalon development; regulation of cell morphogenesis; synaptic vesicle cycle; mesenchymal cell differentiation; vesicle localization; cell-matrix adhesion; endothelial cell migration; negative regulation of cell projection organization; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development; cell-substrate junction organization; cell-substrate junction assembly",-0.0318388402396197,0.8,"19"
"Down","Wnt5a",45,2,"wingless-type MMTV integration site family, member 5A","cell junction assembly; ameboidal-type cell migration; regulation of neurogenesis; positive regulation of cell projection organization; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; positive regulation of hydrolase activity; regulation of cell growth; forebrain development; epithelial cell migration; epithelium migration; tissue migration; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; transmembrane receptor protein serine/threonine kinase signaling pathway; regulation of synapse organization; negative regulation of locomotion; positive regulation of neurogenesis; renal system development; regulation of GTPase activity; kidney development; regulation of cellular response to growth factor stimulus; regulation of endocytosis; canonical Wnt signaling pathway; mesenchyme development; postsynapse organization; developmental growth involved in morphogenesis; regulation of Wnt signaling pathway; developmental cell growth; neuron projection guidance; synapse assembly; axon guidance; regulation of cell junction assembly; regulation of epithelial cell migration; telencephalon development; regulation of cell morphogenesis; mesenchymal cell differentiation; endothelial cell migration; epithelial cell development; negative regulation of cell projection organization; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development",-0.128762254640334,0.2356,"14"
"Down","Gsk3b",44,3,"glycogen synthase kinase 3 beta","cell junction assembly; regulation of neurogenesis; positive regulation of cell projection organization; cellular component disassembly; response to peptide; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; positive regulation of hydrolase activity; protein localization to cell periphery; negative regulation of protein modification process; regulation of cell growth; forebrain development; cell-substrate adhesion; response to peptide hormone; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; regulation of synapse organization; negative regulation of locomotion; positive regulation of neurogenesis; regulation of GTPase activity; cellular response to peptide; negative regulation of cell motility; canonical Wnt signaling pathway; mesenchyme development; developmental growth involved in morphogenesis; negative regulation of cell migration; regulation of Wnt signaling pathway; regulation of autophagy; response to insulin; cellular response to peptide hormone stimulus; developmental cell growth; synapse assembly; regulation of cell junction assembly; telencephalon development; mesenchymal cell differentiation; cell-matrix adhesion; negative regulation of cell projection organization; protein autophosphorylation; regulation of axonogenesis; dendrite morphogenesis; negative regulation of neuron projection development; protein localization to cell junction",-0.027097055788758,0.8004,"16"
"Down","Abl1",41,4,"c-abl oncogene 1, non-receptor tyrosine kinase","cell junction assembly; ameboidal-type cell migration; small GTPase-mediated signal transduction; positive regulation of cell projection organization; actin filament organization; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; negative regulation of protein modification process; regulation of cell growth; cognition; cell-substrate adhesion; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dendrite development; regulation of cellular component size; regulation of synapse structure or activity; regulation of supramolecular fiber organization; transmembrane receptor protein serine/threonine kinase signaling pathway; regulation of synapse organization; learning or memory; regulation of actin cytoskeleton organization; glial cell differentiation; regulation of cellular response to growth factor stimulus; negative regulation of phosphorylation; developmental growth involved in morphogenesis; regulation of Wnt signaling pathway; negative regulation of protein phosphorylation; developmental cell growth; regulation of small GTPase mediated signal transduction; regulation of cell junction assembly; regulation of epithelial cell migration; cell-matrix adhesion; endothelial cell migration; protein autophosphorylation; cell-substrate junction organization; cell-substrate junction assembly",-0.0496313853701542,0.5472,"2"
"Down","Slit2",41,5,"slit guidance ligand 2","cell junction assembly; ameboidal-type cell migration; regulation of neurogenesis; small GTPase-mediated signal transduction; actin filament organization; positive regulation of nervous system development; negative regulation of protein modification process; regulation of cell growth; forebrain development; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; regulation of cellular component size; regulation of synapse structure or activity; regulation of supramolecular fiber organization; regulation of synapse organization; negative regulation of locomotion; renal system development; kidney development; regulation of actin cytoskeleton organization; regulation of cellular response to growth factor stimulus; negative regulation of phosphorylation; negative regulation of cell motility; developmental growth involved in morphogenesis; negative regulation of cell migration; negative regulation of protein phosphorylation; developmental cell growth; neuron projection guidance; synapse assembly; axon guidance; regulation of small GTPase mediated signal transduction; regulation of cell junction assembly; regulation of epithelial cell migration; telencephalon development; endothelial cell migration; negative regulation of cell projection organization; regulation of axonogenesis; negative regulation of neuron projection development",-0.0603606799486354,0.8048,"5"
"Down","Tgfb1",41,6,"transforming growth factor, beta 1","ameboidal-type cell migration; regulation of neurogenesis; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; negative regulation of transport; positive regulation of nervous system development; protein localization to cell periphery; negative regulation of protein modification process; regulation of cell growth; protein localization to extracellular region; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; protein secretion; establishment of protein localization to extracellular region; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; positive regulation of neurogenesis; renal system development; kidney development; regulation of actin cytoskeleton organization; glial cell differentiation; regulation of cellular response to growth factor stimulus; negative regulation of phosphorylation; negative regulation of cell motility; protein localization to plasma membrane; regulation of endocytosis; canonical Wnt signaling pathway; mesenchyme development; developmental growth involved in morphogenesis; negative regulation of cell migration; regulation of Wnt signaling pathway; negative regulation of protein phosphorylation; regulation of epithelial cell migration; mesenchymal cell differentiation; endothelial cell migration; epithelial cell development",-0.222460674093683,0.2308,"7"
"Down","Lrp1",40,7,"low density lipoprotein receptor-related protein 1","cell junction assembly; regulation of neurogenesis; positive regulation of cell projection organization; response to peptide; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; protein localization to cell periphery; regulation of cell growth; cell-substrate adhesion; protein localization to extracellular region; regulation of actin filament-based process; protein secretion; establishment of protein localization to extracellular region; regulation of cellular component size; transmembrane receptor protein serine/threonine kinase signaling pathway; negative regulation of locomotion; positive regulation of neurogenesis; cellular response to peptide; regulation of actin cytoskeleton organization; glial cell differentiation; regulation of cellular response to growth factor stimulus; negative regulation of cell motility; protein localization to plasma membrane; regulation of endocytosis; developmental growth involved in morphogenesis; negative regulation of cell migration; regulation of Wnt signaling pathway; developmental cell growth; neuron projection guidance; axon guidance; receptor-mediated endocytosis; regulation of cell junction assembly; cell-matrix adhesion; negative regulation of cell projection organization; regulation of axonogenesis; negative regulation of neuron projection development; cell-substrate junction organization; cell-substrate junction assembly",-0.0581893706536132,0.7108,"10"
"Down","Mtor",40,8,"mechanistic target of rapamycin kinase","ameboidal-type cell migration; regulation of neurogenesis; positive regulation of cell projection organization; actin filament organization; response to peptide; gliogenesis; negative regulation of transport; positive regulation of nervous system development; negative regulation of protein modification process; regulation of cell growth; cognition; response to peptide hormone; epithelial cell migration; epithelium migration; tissue migration; regulation of actin filament-based process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; dendrite development; regulation of cellular component size; regulation of supramolecular fiber organization; learning or memory; positive regulation of neurogenesis; regulation of GTPase activity; cellular response to peptide; regulation of actin cytoskeleton organization; glial cell differentiation; negative regulation of phosphorylation; mesenchyme development; negative regulation of protein phosphorylation; macroautophagy; regulation of autophagy; response to insulin; cellular response to peptide hormone stimulus; locomotory behavior; developmental cell growth; regulation of epithelial cell migration; mesenchymal cell differentiation; protein autophosphorylation; learning",-0.106966101092175,0.1296,"4"
"Down","Ctnnb1",38,9,"catenin (cadherin associated protein), beta 1","cell junction assembly; regulation of neurogenesis; response to peptide; gliogenesis; Wnt signaling pathway; cell-cell signaling by wnt; positive regulation of nervous system development; negative regulation of protein modification process; forebrain development; cell-substrate adhesion; response to peptide hormone; regulation of synapse structure or activity; regulation of synapse organization; glycoprotein metabolic process; positive regulation of neurogenesis; renal system development; kidney development; cellular response to peptide; glial cell differentiation; regulation of cellular response to growth factor stimulus; vesicle-mediated transport in synapse; canonical Wnt signaling pathway; mesenchyme development; developmental growth involved in morphogenesis; regulation of Wnt signaling pathway; cellular response to peptide hormone stimulus; developmental cell growth; synapse assembly; glycoprotein biosynthetic process; regulation of cell junction assembly; telencephalon development; synaptic vesicle cycle; mesenchymal cell differentiation; vesicle localization; cell-matrix adhesion; establishment of vesicle localization; endothelium development; endothelial cell differentiation",-0.03199585875028,0.6744,"9"
"Down","Nf1",35,10,"neurofibromin 1","ameboidal-type cell migration; regulation of neurogenesis; small GTPase-mediated signal transduction; positive regulation of cell projection organization; gliogenesis; negative regulation of transport; positive regulation of hydrolase activity; negative regulation of protein modification process; forebrain development; cognition; cell-substrate adhesion; epithelial cell migration; epithelium migration; tissue migration; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; regulation of synapse structure or activity; regulation of synapse organization; learning or memory; negative regulation of locomotion; renal system development; regulation of GTPase activity; kidney development; glial cell differentiation; negative regulation of phosphorylation; negative regulation of cell motility; postsynapse organization; negative regulation of cell migration; negative regulation of protein phosphorylation; regulation of small GTPase mediated signal transduction; regulation of epithelial cell migration; telencephalon development; cell-matrix adhesion; endothelial cell migration; learning",-0.00928353842839336,0.9044,"11"
"Up","Npm1",35,1,"nucleophosmin 1","ribonucleoprotein complex biogenesis; RNA splicing; ncRNA processing; ribosome biogenesis; establishment of organelle localization; regulation of amide metabolic process; regulation of cell cycle phase transition; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; response to radiation; non-membrane-bounded organelle assembly; negative regulation of protein modification process; negative regulation of organelle organization; regulation of translation; regulation of mRNA metabolic process; regulation of protein stability; nucleocytoplasmic transport; nuclear transport; positive regulation of DNA metabolic process; rRNA metabolic process; protein localization to nucleus; RNA catabolic process; rRNA processing; DNA replication; mRNA catabolic process; regulation of microtubule-based process; regulation of post-translational protein modification; regulation of RNA splicing; regulation of protein modification by small protein conjugation or removal; regulation of organelle assembly; protein stabilization; regulation of mRNA processing; ribosomal small subunit biogenesis; regulation of mRNA splicing, via spliceosome",0.132217963006571,0.1356,"11"
"Up","Akt1",34,2,"thymoma viral proto-oncogene 1","ncRNA processing; establishment of protein localization to organelle; generation of precursor metabolites and energy; proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; negative regulation of protein modification process; cilium organization; regulation of apoptotic signaling pathway; negative regulation of organelle organization; protein localization to cell periphery; regulation of protein catabolic process; regulation of translation; response to oxidative stress; cilium assembly; energy derivation by oxidation of organic compounds; nucleocytoplasmic transport; nuclear transport; positive regulation of DNA metabolic process; protein localization to nucleus; regulation of mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; cellular respiration; tRNA metabolic process; regulation of post-translational protein modification; regulation of protein modification by small protein conjugation or removal; aerobic respiration; regulation of organelle assembly; mitochondrial transport; RNA modification; tRNA processing; tRNA modification",0.00433864961755859,0.9624,"12"
"Up","Trp53",31,3,"transformation related protein 53","ncRNA processing; establishment of protein localization to organelle; cellular component disassembly; generation of precursor metabolites and energy; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; regulation of apoptotic signaling pathway; negative regulation of organelle organization; response to oxidative stress; regulation of protein stability; energy derivation by oxidation of organic compounds; nucleocytoplasmic transport; nuclear transport; rRNA metabolic process; double-strand break repair; protein localization to nucleus; regulation of mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; regulation of chromosome organization; DNA replication; response to endoplasmic reticulum stress; protein stabilization; DNA-templated transcription initiation; mitochondrial transport; telomere organization; telomere maintenance; organelle disassembly; transcription initiation at RNA polymerase II promoter; regulation of telomere maintenance",0.144947028053171,0.0316,"11"
"Up","Myc",27,4,"myelocytomatosis oncogene","cellular component disassembly; generation of precursor metabolites and energy; mitotic cell cycle phase transition; ribose phosphate metabolic process; ribonucleotide metabolic process; response to radiation; purine ribonucleotide metabolic process; regulation of apoptotic signaling pathway; energy derivation by oxidation of organic compounds; positive regulation of DNA metabolic process; intrinsic apoptotic signaling pathway; cellular respiration; regulation of chromosome organization; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; aerobic respiration; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; DNA-templated transcription initiation; telomere organization; telomere maintenance; oxidative phosphorylation; transcription initiation at RNA polymerase II promoter; regulation of telomere maintenance",0.157438621168304,0.1836,"15"
"Up","Prkn",27,5,"parkin RBR E3 ubiquitin protein ligase","cellular component disassembly; proteasome-mediated ubiquitin-dependent protein catabolic process; establishment of organelle localization; ribose phosphate metabolic process; ribonucleotide metabolic process; purine ribonucleotide metabolic process; negative regulation of protein modification process; regulation of apoptotic signaling pathway; negative regulation of organelle organization; regulation of protein catabolic process; response to oxidative stress; regulation of protein stability; regulation of supramolecular fiber organization; intrinsic apoptotic signaling pathway; nucleotide biosynthetic process; nucleoside phosphate biosynthetic process; regulation of post-translational protein modification; response to endoplasmic reticulum stress; regulation of protein modification by small protein conjugation or removal; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; purine ribonucleotide biosynthetic process; protein stabilization; mitochondrial transport; organelle disassembly",0.0872275414365147,0.742,"17"
"Up","Pml",26,6,"promyelocytic leukemia","establishment of protein localization to organelle; proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of amide metabolic process; mitotic cell cycle phase transition; regulation of cell cycle phase transition; response to radiation; regulation of apoptotic signaling pathway; negative regulation of organelle organization; regulation of translation; response to oxidative stress; regulation of protein stability; nucleocytoplasmic transport; nuclear transport; positive regulation of DNA metabolic process; double-strand break repair; protein localization to nucleus; regulation of mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; protein targeting; regulation of chromosome organization; regulation of DNA repair; response to endoplasmic reticulum stress; protein stabilization; telomere organization; telomere maintenance; regulation of telomere maintenance",0.0412846192858343,0.622,"9"
