"","symbol","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","0610009B22Rik","red",-0.0816774011679647,0.673606407196596
"2","0610009L18Rik","turquoise",-0.0249570361228339,0.897748781529162
"3","0610010F05Rik","turquoise",-0.00486239971736896,0.980028554856379
"4","0610010K14Rik","turquoise",-0.0994157951344882,0.607884799567254
"5","0610012G03Rik","blue",-0.0318730829668931,0.869626320936751
"6","0610030E20Rik","brown",0.0945735224111834,0.625558516504505
"7","0610040B10Rik","blue",0.212578319769287,0.268238784449399
"8","0610040J01Rik","yellow",0.314129214725534,0.0970071463939384
"9","1110002E22Rik","green",0.0831337937942978,0.66811240172858
"10","1110002L01Rik","blue",-0.0584105687924259,0.763436363628907
"11","1110004F10Rik","red",0.0163670727935994,0.932843498951487
"12","1110008P14Rik","blue",-0.120585774306054,0.533225137890688
"13","1110012L19Rik","blue",0.0339190931999342,0.861334885433586
"14","1110017D15Rik","green",-0.0164175341072003,0.932636912782052
"15","1110019D14Rik","grey",-0.109390141670267,0.57216123936885
"16","1110032A03Rik","blue",-0.0373852611995086,0.84732155776176
"17","1110032F04Rik","blue",-0.227807168586538,0.234627585089758
"18","1110038B12Rik","turquoise",0.018884844580118,0.922541338338903
"19","1110038F14Rik","turquoise",-0.0528019645993186,0.785599507045318
"20","1110046J04Rik","blue",-0.183698195630991,0.340143482436869
"21","1110051M20Rik","blue",-0.14266282597461,0.460357718736704
"22","1110059E24Rik","brown",-0.0644268594374883,0.739864261728958
"23","1110059G10Rik","turquoise",0.0171793442584455,0.929518626470576
"24","1110065P20Rik","blue",-0.141591820874271,0.463766584034161
"25","1190005I06Rik","turquoise",-0.141530520733927,0.463962094430559
"26","1190007I07Rik","turquoise",-0.19370078161434,0.314029106564506
"27","1300002E11Rik","yellow",-0.063517878647179,0.743411527392449
"28","1500004A13Rik","turquoise",-0.299444051911422,0.114546965834643
"29","1500009C09Rik","blue",-0.174091555773982,0.366421089951749
"30","1500009L16Rik","brown",0.0135350636438049,0.944444060833191
"31","1500011B03Rik","red",0.0513336230563669,0.791429799577635
"32","1500015A07Rik","yellow",-0.0271810152265776,0.888690630433242
"33","1500015L24Rik","green",0.205194747851569,0.285603727330174
"34","1500026H17Rik","turquoise",0.192013521938859,0.318344485286582
"35","1600012H06Rik","black",0.154052571335475,0.424936228914666
"36","1600014C10Rik","blue",-0.0628847764401687,0.745885230011133
"37","1600020E01Rik","turquoise",0.00552084346718313,0.977324759742535
"38","1600029O15Rik","blue",-0.0699377328200694,0.718472227451397
"39","1700001K19Rik","yellow",0.134789513900093,0.485723620437716
"40","1700001L05Rik","yellow",-0.116827347679357,0.546154061437485
"41","1700001L19Rik","grey",-0.0391314436184345,0.840278875373057
"42","1700001O22Rik","turquoise",-0.144959092482184,0.453093789097346
"43","1700003E16Rik","blue",-0.0597005625265595,0.758363857495912
"44","1700003M07Rik","turquoise",0.0359357872669833,0.853176331026578
"45","1700007F19Rik","blue",0.222496779338638,0.246012039625783
"46","1700007K13Rik","green",-0.0638945896721091,0.741940797763228
"47","1700008J07Rik","turquoise",-0.0173050620999267,0.92900412766253
"48","1700008O03Rik","turquoise",-0.0851761712854186,0.660436082858499
"49","1700010I14Rik","grey",0.0948423826187836,0.624571747840877
"50","1700012D01Rik","grey",0.0251920379273512,0.89679101748812
"51","1700013F07Rik","tan",-0.0211248737059689,0.913385880459005
"52","1700016A09Rik","greenyellow",0.108077355042977,0.57680884534864
"53","1700016K19Rik","green",0.00672342926457071,0.97238718640536
"54","1700017B05Rik","turquoise",-0.00588184839456902,0.975842452526055
"55","1700018L02Rik","turquoise",-0.0465389364293721,0.810543114604226
"56","1700019D03Rik","grey",0.131854480945406,0.495358603005762
