"symbol","logFC","P.Value","chr","description"
"Zbtb39",0.246375669463793,0,"10","zinc finger and BTB domain containing 39"
"Crhr1",-0.503616959548523,0,"11","corticotropin releasing hormone receptor 1"
"Pola2",0.263982474561041,0,"19","polymerase (DNA directed), alpha 2"
"Tle4",0.235036804299176,0,"19","transducin-like enhancer of split 4"
"Zfp719",0.288015801537658,0,"7","zinc finger protein 719"
"Epha7",0.21924179256903,0,"4","Eph receptor A7"
"Nol4",0.220278474906024,0,"18","nucleolar protein 4"
"Card10",-0.288867332786349,0,"15","caspase recruitment domain family, member 10"
"Rtl4",0.345686140758459,0,"X","retrotransposon Gag like 4"
"Marcks",0.240131935515368,0,"10","myristoylated alanine rich protein kinase C substrate"
"Tob1",0.262037624560121,0,"11","transducer of ErbB-2.1"
"Phlda1",0.292386266792991,0,"10","pleckstrin homology like domain, family A, member 1"
"Golph3",0.211561085164607,0,"15","golgi phosphoprotein 3"
"Amer3",0.222942685269492,0,"1","APC membrane recruitment 3"
"Atp7a",0.282862554022597,0,"X","ATPase, Cu++ transporting, alpha polypeptide"
"Klhl9",0.202310483829024,0,"4","kelch-like 9"
"Rrp9",-0.267019125089553,0,"9","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
"Mex3b",0.344591315715537,0,"7","mex3 RNA binding family member B"
"Gpr137b",-0.354522715906856,0,"13","G protein-coupled receptor 137B"
"Zfp804a",0.356621934135001,0,"2","zinc finger protein 804A"
"Calhm5",0.466023149518624,0,"10","calcium homeostasis modulator family member 5"
"Trib2",0.287928018865035,0,"12","tribbles pseudokinase 2"
"Tmem229b",0.268682487298082,0,"12","transmembrane protein 229B"
"Snhg16",-0.836920988905459,0.0056,"11","small nucleolar RNA host gene 16"
"Pdik1l",0.229771779367601,0.0056,"4","PDLIM1 interacting kinase 1 like"
